policy,baseline,block_days,component,saving_yuan,ci95_low_yuan,ci95_high_yuan,seed,replicates,scope
D56,X_strong_morning85,7,planned_cost_yuan,157090.4506499638,70541.0381556005,237543.27080810195,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56,X_strong_morning85,7,emergency_cost_yuan,-124772.82297835595,-286392.3672979988,28469.564698510338,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56,X_strong_morning85,7,total_cost_yuan,32317.627671607814,-109929.32821154656,163730.41209352796,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56,X_strong_morning85,14,planned_cost_yuan,157090.4506499638,37876.77188609783,256617.68383192862,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56,X_strong_morning85,14,emergency_cost_yuan,-124772.82297835595,-300020.98323813576,54634.2281958545,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56,X_strong_morning85,14,total_cost_yuan,32317.627671607814,-125573.62216479583,173578.818404636,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D28,X_strong_morning85,7,planned_cost_yuan,157257.81717392933,80242.38031015923,223714.59846848366,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D28,X_strong_morning85,7,emergency_cost_yuan,-123231.43705148925,-222715.6525726778,-30491.961745209566,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D28,X_strong_morning85,7,total_cost_yuan,34026.380122440045,-61091.48479527561,121829.19905817718,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D28,X_strong_morning85,14,planned_cost_yuan,157257.81717392933,49170.086320072456,239758.03068001516,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D28,X_strong_morning85,14,emergency_cost_yuan,-123231.43705148925,-227797.85986617563,-27323.568571592954,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D28,X_strong_morning85,14,total_cost_yuan,34026.380122440045,-63878.49850392106,121071.9963503244,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D112,X_strong_morning85,7,planned_cost_yuan,274753.06592896243,164211.66257462627,372353.01340942853,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D112,X_strong_morning85,7,emergency_cost_yuan,-194363.28882616945,-430554.48609024816,-9563.721853928342,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D112,X_strong_morning85,7,total_cost_yuan,80389.77710279298,-115755.06817606352,230578.1434474379,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D112,X_strong_morning85,14,planned_cost_yuan,274753.06592896243,127194.4196343618,418787.07420319837,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D112,X_strong_morning85,14,emergency_cost_yuan,-194363.28882616945,-448696.8834488849,17514.707785423656,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D112,X_strong_morning85,14,total_cost_yuan,80389.77710279298,-110347.84164520595,236233.4439029224,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_risk625,X_strong_morning85,7,planned_cost_yuan,44098.35900687656,-51667.602830107564,128506.50069782833,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_risk625,X_strong_morning85,7,emergency_cost_yuan,5753.15585139935,-112984.53487654452,143010.22027738809,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_risk625,X_strong_morning85,7,total_cost_yuan,49851.51485827585,-55596.605512556656,162455.20349202407,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_risk625,X_strong_morning85,14,planned_cost_yuan,44098.35900687656,-90390.23980908086,166830.66653476717,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_risk625,X_strong_morning85,14,emergency_cost_yuan,5753.15585139935,-125827.81229605319,156490.59121968312,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_risk625,X_strong_morning85,14,total_cost_yuan,49851.51485827585,-59624.29979791842,158009.27435853067,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_mu069,X_strong_morning85,7,planned_cost_yuan,55744.71945960516,-27408.254648488703,131694.0388134078,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_mu069,X_strong_morning85,7,emergency_cost_yuan,-89923.70900874381,-240314.46283076785,59786.42561795152,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_mu069,X_strong_morning85,7,total_cost_yuan,-34178.98954913871,-165955.40055450887,98732.79062636,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_mu069,X_strong_morning85,14,planned_cost_yuan,55744.71945960516,-64935.91497201006,158549.79468548752,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_mu069,X_strong_morning85,14,emergency_cost_yuan,-89923.70900874381,-260132.90449173894,76772.13029619186,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_mu069,X_strong_morning85,14,total_cost_yuan,-34178.98954913871,-176976.57456751814,94521.52416689403,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_mu0,X_strong_morning85,7,planned_cost_yuan,197866.56058635743,111845.0038707922,274198.1402733664,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_mu0,X_strong_morning85,7,emergency_cost_yuan,-275748.15050935827,-457713.2870619718,-117663.23777414579,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_mu0,X_strong_morning85,7,total_cost_yuan,-77881.5899230009,-238164.25162580577,66411.4733072509,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_mu0,X_strong_morning85,14,planned_cost_yuan,197866.56058635743,87616.92466264397,293382.50637001125,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_mu0,X_strong_morning85,14,emergency_cost_yuan,-275748.15050935827,-476015.69882832724,-113619.70315796959,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
D56_mu0,X_strong_morning85,14,total_cost_yuan,-77881.5899230009,-257844.9628651326,75465.17706828682,20260915,2000,"Fixed observed paths; descriptive dependence-aware resampling, not post-selection or future guarantee."
