date,slot_id,load_actual_kw,interval_end,interval_start,load_raw_time_label,load_source_row,load_source_column,pv_actual_kw,pv_raw_time_label,pv_source_row,pv_source_column,actual_price_yuan_per_kwh,price_raw_time_label,price_source_row,price_source_column,fixed_price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,net_load_actual_kw,net_load_actual_kwh,available_time
2025-01-01,1,3529.7296,2025-01-01T00:10:00,2025-01-01T00:00:00,00:10:00,2,B,0.0,00:10:00,2,B,0.4527,00:10:00,2,B,0.4248,588.2882666666667,0.0,3529.7296,588.2882666666667,2025-01-01T00:10:00
2025-01-01,2,3609.5287,2025-01-01T00:20:00,2025-01-01T00:10:00,00:20:00,2,C,0.0,00:20:00,2,C,0.4733,00:20:00,2,C,0.4245,601.5881166666667,0.0,3609.5287,601.5881166666667,2025-01-01T00:20:00
2025-01-01,3,3726.5600000000004,2025-01-01T00:30:00,2025-01-01T00:20:00,00:30:00,2,D,0.0,00:30:00,2,D,0.4843,00:30:00,2,D,0.4269,621.0933333333334,0.0,3726.56,621.0933333333334,2025-01-01T00:30:00
2025-01-01,4,3510.6311,2025-01-01T00:40:00,2025-01-01T00:30:00,00:40:00,2,E,0.0,00:40:00,2,E,0.4541,00:40:00,2,E,0.4272,585.1051833333333,0.0,3510.6311,585.1051833333333,2025-01-01T00:40:00
2025-01-01,5,3502.5625,2025-01-01T00:50:00,2025-01-01T00:40:00,00:50:00,2,F,0.0,00:50:00,2,F,0.4266,00:50:00,2,F,0.4271,583.7604166666666,0.0,3502.5625,583.7604166666666,2025-01-01T00:50:00
2025-01-01,6,3787.01,2025-01-01T01:00:00,2025-01-01T00:50:00,01:00:00,2,G,0.0,01:00:00,2,G,0.4311,01:00:00,2,G,0.4285,631.1683333333334,0.0,3787.01,631.1683333333334,2025-01-01T01:00:00
2025-01-01,7,3900.3205,2025-01-01T01:10:00,2025-01-01T01:00:00,01:10:00,2,H,0.0,01:10:00,2,H,0.4544,01:10:00,2,H,0.4311,650.0534166666666,0.0,3900.3205,650.0534166666666,2025-01-01T01:10:00
2025-01-01,8,3916.8376,2025-01-01T01:20:00,2025-01-01T01:10:00,01:20:00,2,I,0.0,01:20:00,2,I,0.4483,01:20:00,2,I,0.4302,652.8062666666666,0.0,3916.8376,652.8062666666666,2025-01-01T01:20:00
2025-01-01,9,3817.28,2025-01-01T01:30:00,2025-01-01T01:20:00,01:30:00,2,J,0.0,01:30:00,2,J,0.4251,01:30:00,2,J,0.4279,636.2133333333334,0.0,3817.28,636.2133333333334,2025-01-01T01:30:00
2025-01-01,10,3533.0136,2025-01-01T01:40:00,2025-01-01T01:30:00,01:40:00,2,K,0.0,01:40:00,2,K,0.444,01:40:00,2,K,0.4312,588.8356,0.0,3533.0136,588.8356,2025-01-01T01:40:00
2025-01-01,11,3694.6612999999998,2025-01-01T01:50:00,2025-01-01T01:40:00,01:50:00,2,L,0.0,01:50:00,2,L,0.478,01:50:00,2,L,0.4333,615.7768833333333,0.0,3694.6613,615.7768833333333,2025-01-01T01:50:00
2025-01-01,12,4064.7300000000005,2025-01-01T02:00:00,2025-01-01T01:50:00,02:00:00,2,M,0.0,02:00:00,2,M,0.4941,02:00:00,2,M,0.4311,677.455,0.0,4064.73,677.455,2025-01-01T02:00:00
2025-01-01,13,3810.6709999999994,2025-01-01T02:10:00,2025-01-01T02:00:00,02:10:00,2,N,0.0,02:10:00,2,N,0.484,02:10:00,2,N,0.4293,635.1118333333333,0.0,3810.671,635.1118333333333,2025-01-01T02:10:00
2025-01-01,14,3844.9495,2025-01-01T02:20:00,2025-01-01T02:10:00,02:20:00,2,O,0.0,02:20:00,2,O,0.4751,02:20:00,2,O,0.4324,640.8249166666667,0.0,3844.9495,640.8249166666667,2025-01-01T02:20:00
2025-01-01,15,4234.62,2025-01-01T02:30:00,2025-01-01T02:20:00,02:30:00,2,P,0.0,02:30:00,2,P,0.488,02:30:00,2,P,0.4367,705.77,0.0,4234.62,705.77,2025-01-01T02:30:00
2025-01-01,16,4109.9755,2025-01-01T02:40:00,2025-01-01T02:30:00,02:40:00,2,Q,0.0,02:40:00,2,Q,0.5215,02:40:00,2,Q,0.4348,684.9959166666666,0.0,4109.9755,684.9959166666666,2025-01-01T02:40:00
2025-01-01,17,3996.8945000000003,2025-01-01T02:50:00,2025-01-01T02:40:00,02:50:00,2,R,0.0,02:50:00,2,R,0.5498,02:50:00,2,R,0.4335,666.1490833333334,0.0,3996.8945,666.1490833333334,2025-01-01T02:50:00
2025-01-01,18,4102.19,2025-01-01T03:00:00,2025-01-01T02:50:00,03:00:00,2,S,0.0,03:00:00,2,S,0.5471,03:00:00,2,S,0.4357,683.6983333333333,0.0,4102.19,683.6983333333333,2025-01-01T03:00:00
2025-01-01,19,4086.0576999999994,2025-01-01T03:10:00,2025-01-01T03:00:00,03:10:00,2,T,0.0,03:10:00,2,T,0.5067,03:10:00,2,T,0.4374,681.0096166666666,0.0,4086.0577,681.0096166666666,2025-01-01T03:10:00
2025-01-01,20,4133.7626,2025-01-01T03:20:00,2025-01-01T03:10:00,03:20:00,2,U,0.0,03:20:00,2,U,0.4769,03:20:00,2,U,0.4371,688.9604333333333,0.0,4133.7626,688.9604333333333,2025-01-01T03:20:00
2025-01-01,21,4179.18,2025-01-01T03:30:00,2025-01-01T03:20:00,03:30:00,2,V,0.0,03:30:00,2,V,0.4669,03:30:00,2,V,0.4356,696.5300000000001,0.0,4179.18,696.5300000000001,2025-01-01T03:30:00
2025-01-01,22,3953.3711,2025-01-01T03:40:00,2025-01-01T03:30:00,03:40:00,2,W,0.0,03:40:00,2,W,0.4501,03:40:00,2,W,0.4353,658.8951833333333,0.0,3953.3711,658.8951833333333,2025-01-01T03:40:00
2025-01-01,23,3910.7496,2025-01-01T03:50:00,2025-01-01T03:40:00,03:50:00,2,X,0.0,03:50:00,2,X,0.4608,03:50:00,2,X,0.436,651.7916,0.0,3910.7496,651.7916,2025-01-01T03:50:00
2025-01-01,24,4099.31,2025-01-01T04:00:00,2025-01-01T03:50:00,04:00:00,2,Y,0.0,04:00:00,2,Y,0.4927,04:00:00,2,Y,0.4378,683.2183333333334,0.0,4099.31,683.2183333333334,2025-01-01T04:00:00
2025-01-01,25,4123.8623,2025-01-01T04:10:00,2025-01-01T04:00:00,04:10:00,2,Z,0.0,04:10:00,2,Z,0.4976,04:10:00,2,Z,0.4401,687.3103833333333,0.0,4123.8623,687.3103833333333,2025-01-01T04:10:00
2025-01-01,26,4169.0068,2025-01-01T04:20:00,2025-01-01T04:10:00,04:20:00,2,AA,0.0,04:20:00,2,AA,0.4889,04:20:00,2,AA,0.4389,694.8344666666667,0.0,4169.0068,694.8344666666667,2025-01-01T04:20:00
2025-01-01,27,4260.24,2025-01-01T04:30:00,2025-01-01T04:20:00,04:30:00,2,AB,0.0,04:30:00,2,AB,0.4885,04:30:00,2,AB,0.4364,710.04,0.0,4260.24,710.04,2025-01-01T04:30:00
2025-01-01,28,4217.2222,2025-01-01T04:40:00,2025-01-01T04:30:00,04:40:00,2,AC,0.0,04:40:00,2,AC,0.5042,04:40:00,2,AC,0.4393,702.8703666666667,0.0,4217.2222,702.8703666666667,2025-01-01T04:40:00
2025-01-01,29,4261.857,2025-01-01T04:50:00,2025-01-01T04:40:00,04:50:00,2,AD,0.0,04:50:00,2,AD,0.5178,04:50:00,2,AD,0.4422,710.3095,0.0,4261.857,710.3095,2025-01-01T04:50:00
