date,slot_id,load_actual_kw,interval_end,interval_start,load_raw_time_label,load_source_row,load_source_column,pv_actual_kw,pv_raw_time_label,pv_source_row,pv_source_column,actual_price_yuan_per_kwh,price_raw_time_label,price_source_row,price_source_column,fixed_price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,net_load_actual_kw,net_load_actual_kwh,available_time,issue_time,forecast_history_end,dispatch_time,decision_input_cutoff,price_yuan_per_kwh,load_forecast_kwh,pv_forecast_kwh,grid_plan_kwh,selected_index,selected_candidate,risk_delta_kwh,charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,forecast_emergency_kwh,forecast_charge_kwh,forecast_discharge_kwh,forecast_energy_start_kwh,forecast_energy_end_kwh,forecast_surplus_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-01-24,1,2454.856,2025-01-24T00:10:00,2025-01-24T00:00:00,00:10:00,25,B,0.0,00:10:00,25,B,0.3048,00:10:00,25,B,0.4248,409.1426666666667,0.0,2454.856,409.1426666666667,2025-01-24T00:10:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T00:10:00,2025-01-24T00:10:00,0.4248,364.8331256277157,0.09863773620576857,540.3181343442243,4,point_incumbent,27.280378734877683,131.1754676775576,0.0,0.0,0.0,0.0,0.0,6000.0,6118.057920909801,0.0,175.5836464527144,0.0,6000.0,6158.025281807443,0.0,229.52714346942648,0.0,229.52714346942648
2025-01-24,2,2503.1642,2025-01-24T00:20:00,2025-01-24T00:10:00,00:20:00,25,C,0.0,00:20:00,25,C,0.3072,00:20:00,25,C,0.4245,417.1940333333334,0.0,2503.1642,417.1940333333334,2025-01-24T00:20:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T00:20:00,2025-01-24T00:20:00,0.4245,386.25626117631026,0.3633251256183183,539.3468984735503,4,point_incumbent,27.280378734877683,122.15286514021687,0.0,0.0,0.0,0.0,0.0,6118.057920909801,6227.995499535997,0.0,153.4539624228583,0.0,6158.025281807443,6296.133847988016,0.0,228.95275840202208,0.0,228.95275840202208
2025-01-24,3,2653.22,2025-01-24T00:30:00,2025-01-24T00:20:00,00:30:00,25,D,0.0,00:30:00,25,D,0.3419,00:30:00,25,D,0.4269,442.2033333333333,0.0,2653.22,442.2033333333333,2025-01-24T00:30:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T00:30:00,2025-01-24T00:30:00,0.4269,450.1290119811034,0.7809283067332312,605.8448985539965,4,point_incumbent,27.280378734877683,163.64156522066315,0.0,0.0,0.0,0.0,0.0,6227.995499535997,6375.272908234593,0.0,156.4968148796263,0.0,6296.133847988016,6436.98098137968,0.0,258.6351871927011,0.0,258.6351871927011
2025-01-24,4,2860.271,2025-01-24T00:40:00,2025-01-24T00:30:00,00:40:00,25,E,0.0,00:40:00,25,E,0.3798,00:40:00,25,E,0.4272,476.71183333333335,0.0,2860.271,476.71183333333335,2025-01-24T00:40:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T00:40:00,2025-01-24T00:40:00,0.4272,472.3553626435992,1.3300803799677872,660.592729045763,4,point_incumbent,27.280378734877683,183.88089571242966,0.0,0.0,0.0,0.0,0.0,6375.272908234593,6540.76571437578,0.0,189.56744678213153,0.0,6436.98098137968,6607.591683483599,0.0,282.20521384834996,0.0,282.20521384834996
2025-01-24,5,2880.7933,2025-01-24T00:50:00,2025-01-24T00:40:00,00:50:00,25,F,0.0,00:50:00,25,F,0.3823,00:50:00,25,F,0.4271,480.13221666666664,0.0,2880.7933,480.13221666666664,2025-01-24T00:50:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T00:50:00,2025-01-24T00:50:00,0.4271,440.6535371995405,1.9818428152590795,632.1338673715403,4,point_incumbent,27.280378734877683,152.00165070487367,0.0,0.0,0.0,0.0,0.0,6540.76571437578,6677.567200010166,0.0,193.46217298725884,0.0,6607.591683483599,6781.707639172132,0.0,269.9843747543849,0.0,269.9843747543849
2025-01-24,6,2778.73,2025-01-24T01:00:00,2025-01-24T00:50:00,01:00:00,25,G,0.0,01:00:00,25,G,0.3679,01:00:00,25,G,0.4285,463.12166666666667,0.0,2778.73,463.12166666666667,2025-01-24T01:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T01:00:00,2025-01-24T01:00:00,0.4285,407.36622335525476,2.70061099385335,565.7998472107408,4,point_incumbent,27.280378734877683,102.67818054407417,0.0,0.0,0.0,0.0,0.0,6677.567200010166,6769.977562499833,0.0,161.13423484933946,0.0,6781.707639172132,6926.728450536538,0.0,242.44523452980243,0.0,242.44523452980243
2025-01-24,7,2843.3884,2025-01-24T01:10:00,2025-01-24T01:00:00,01:10:00,25,H,0.0,01:10:00,25,H,0.3868,01:10:00,25,H,0.4311,473.89806666666664,0.0,2843.3884,473.89806666666664,2025-01-24T01:10:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T01:10:00,2025-01-24T01:10:00,0.4311,434.8804923953798,3.445244772951057,552.3608727386757,4,point_incumbent,35.880152311859355,78.46280607200902,0.0,0.0,0.0,0.0,0.0,6769.977562499833,6840.594087964641,0.0,120.92562511624686,0.0,6926.728450536538,7035.56151314116,0.0,238.12277223764306,0.0,238.12277223764306
2025-01-24,8,2844.8353,2025-01-24T01:20:00,2025-01-24T01:10:00,01:20:00,25,I,0.0,01:20:00,25,I,0.3812,01:20:00,25,I,0.4302,474.1392166666667,0.0,2844.8353,474.1392166666667,2025-01-24T01:20:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T01:20:00,2025-01-24T01:20:00,0.4302,446.2478219025699,4.170400126898761,591.0496870755499,4,point_incumbent,35.880152311859355,116.91047040888316,0.0,0.0,0.0,0.0,0.0,6840.594087964641,6945.813511332636,0.0,148.97226529987876,0.0,7035.56151314116,7169.63655191105,0.0,254.26957537990157,0.0,254.26957537990157
2025-01-24,9,2777.55,2025-01-24T01:30:00,2025-01-24T01:20:00,01:30:00,25,J,0.0,01:30:00,25,J,0.3569,01:30:00,25,J,0.4279,462.925,0.0,2777.55,462.925,2025-01-24T01:30:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T01:30:00,2025-01-24T01:30:00,0.4279,431.59004468751533,4.8280335296093035,608.6853782165556,4,point_incumbent,35.880152311859355,145.76037821655558,0.0,0.0,0.0,0.0,0.0,6945.813511332636,7076.997851727536,0.0,181.9233670586496,0.0,7169.63655191105,7333.367582263835,0.0,260.45647333886416,0.0,260.45647333886416
2025-01-24,10,2879.605,2025-01-24T01:40:00,2025-01-24T01:30:00,01:40:00,25,K,0.0,01:40:00,25,K,0.3801,01:40:00,25,K,0.4312,479.93416666666667,0.0,2879.605,479.93416666666667,2025-01-24T01:40:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T01:40:00,2025-01-24T01:40:00,0.4312,454.1731454657523,5.369046882431862,591.5905781387604,4,point_incumbent,35.880152311859355,111.65641147209374,0.0,0.0,0.0,0.0,0.0,7076.997851727536,7177.48862205242,0.0,142.78647955544,0.0,7333.367582263835,7461.875413863731,0.0,255.0938572934335,0.0,255.0938572934335
