hour,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,grid_plan_kwh,unused_grid_kwh,policy
0,1050598.2298178384,0.0,1050598.2298178384,0.0,2463711.1568948613,23563.574308091815,B0
1,719860.0957454843,1801.780590653747,721661.876336138,835.4931195611023,1672349.7134805112,8939.250755227378,B0
2,577696.9602908425,2668.438192775156,580365.3984836177,1230.350766768709,1333689.3653328635,5061.0659293536255,B0
3,509331.53561990464,3076.109513812809,512407.64513371745,1408.9927355305076,1166772.5736366466,1902.382030179915,B0
4,508450.7940224015,4270.433112240242,512721.2271346417,1943.642939392568,1157186.74135827,1786.9790612575912,B0
5,552566.3040049183,19046.67529562987,571612.9793005482,5642.1728131366135,1272471.410902552,36823.52936369613,B0
6,196465.38170108778,193154.95189810742,389620.33359919523,44548.441204253126,229448.17595541285,0.0,B0
7,265542.92773940094,141064.48807934672,406607.41581874766,33693.99153096791,346614.73442297487,1473.901819931474,B0
8,2615.9500609122624,251375.30151604448,253991.25157695674,47129.6613068507,2271.0975445149074,0.0,B0
9,17148.909992113975,267489.7265130619,284638.6365051759,54454.785587846556,18074.900422603176,0.0,B0
10,57795.76759787451,91253.77151204605,149049.53910992056,19206.34895184788,104176.66411088342,2648.9053928727326,B0
11,303764.5960805994,925.3308411316674,304689.9269217311,387.2208275000003,643807.9829636416,24160.729804508803,B0
12,250492.69668709385,0.0,250492.69668709385,0.0,549846.7426368115,62654.73492739556,B0
13,27299.859692425416,0.0,27299.859692425416,0.0,31499.242205675935,1991.340242653507,B0
14,85286.53948264723,580.6832684576459,85867.22275110487,149.62096698431532,127407.43872519753,6623.503064166412,B0
15,588313.8120199628,4321.420689719034,592635.232709682,1155.9516731148196,799012.6692445481,92111.27845161557,B0
16,960133.1573981853,4829.154947877106,964962.3123460624,1089.6606875946136,1081516.2812360544,31961.41602550209,B0
17,1351157.3689299433,4765.451147335012,1355922.8200772784,904.2996913848187,1322128.25623035,8778.491055024884,B0
18,1020595.1203272324,42439.33762940048,1063034.4579566328,6387.020806599187,812352.9072898497,772.2300148722406,B0
19,54938.00928851428,539635.9731580436,594573.9824465578,80060.67534516608,40750.863175362,0.0,B0
20,568807.7000612046,2506192.6774249114,3075000.377486116,370613.92912978196,515200.7285239056,0.0,B0
21,1177538.6859312144,180142.71481378324,1357681.4007449977,39991.740669158185,1429370.334953038,1632.9098909575243,B0
22,625667.2744329654,30153.364224925215,655820.6386578907,14385.638521938155,1506118.3956052463,7978.1230462794265,B0
23,515763.8904565984,56664.04109998081,572427.9315565792,26664.482419519827,1214152.0214357073,9498.804891506905,B0
0,808200.2257512561,702.0071129758319,808902.2328642319,329.64144766666595,1895767.0578416886,15814.451336643237,B1
1,551897.2401605706,3006.611686759834,554903.8518473305,1396.181023,1281529.110209907,6360.905645061726,B1
2,525165.5637475343,3318.904627916667,528484.4683754509,1530.0727000000002,1211323.2878857634,4744.403273045264,B1
3,504157.89339284814,2689.391966130831,506847.28535897896,1231.743467499999,1154949.9288836666,2533.617344238684,B1
4,478414.30693153164,2685.6653139522505,481099.9722454839,1223.3391711666668,1088958.7158823353,2583.859336625518,B1
5,492625.0529927347,3919.2064190491683,496544.2594117839,1232.3593183333337,1126092.454281657,27959.42549661264,B1
6,213891.3910905861,31418.364011931957,245309.75510251807,7191.209681405342,250095.386547,0.0,B1
7,280145.010363778,67428.35550217553,347573.36586595356,15309.986339333322,364939.2396994877,3318.235603086418,B1
8,1744.895521758336,197984.31073667697,199729.2062584353,36991.596716730615,1500.894116666669,0.0,B1
9,10700.797176544984,237421.4111761862,248122.20835273116,48387.34064249999,11312.582849999982,0.0,B1
10,55278.85742021023,95743.13479565424,151021.99221586448,20099.796903166683,102022.9665174897,5511.668497119334,B1
11,326930.19045540283,819.1710992750006,327749.36155467783,340.6748833333336,693573.8026561728,60308.82032222217,B1
12,269585.3210568584,0.0,269585.3210568584,0.0,590486.6623860843,98106.95456193411,B1
13,31382.0992379,0.0,31382.0992379,0.0,36344.82787916667,5556.049191769545,B1
14,78193.32559010577,0.0,78193.32559010577,0.0,116811.06302674898,5018.4154989711815,B1
15,542396.6262893459,5429.603069722677,547826.2293590687,1427.0165223333363,736430.164489712,65212.322405249,B1
16,971371.7236331592,11840.178824527413,983211.9024576866,2650.3869198333327,1092961.5415583334,26798.184719001194,B1
17,1451627.150090335,12866.060154125005,1464493.21024446,2476.327166666668,1420138.0851666667,16582.86698518518,B1
18,1086703.3990071567,39117.5768709833,1125820.97587814,5919.154783333327,864823.1258166668,6242.110452469144,B1
19,52858.977174045045,417652.6849781741,470511.6621522191,61960.39698314402,39206.15165000003,0.0,B1
20,575748.9501213983,1850659.6045341485,2426408.554655547,273425.541882089,521146.22445000004,0.0,B1
21,1254832.219939482,100681.86799915288,1355514.087938635,22889.16677527777,1592695.5680240642,4453.465315172992,B1
22,909583.9060504796,13781.537679852912,923365.4437303325,6593.3015063333305,2189125.430123889,20890.235663411248,B1
23,790222.4533114302,15384.125727386034,805606.5790388163,7244.356707446243,1861257.813701445,42655.70945443526,B1
0,1131823.2249937311,0.0,1131823.2249937311,0.0,2654063.7700755056,62542.017249534736,P_floor
1,752181.2718985442,0.0,752181.2718985442,0.0,1747624.8242323839,17864.03495238711,P_floor
2,621711.879126779,0.0,621711.879126779,0.0,1435492.950511829,12047.89454537691,P_floor
3,538389.5212377614,1078.9052628823472,539468.4265006437,494.4117151770253,1233330.4003250645,9518.384897533066,P_floor
4,546260.0939573108,862.3307674489942,547122.4247247598,392.4353654429679,1243207.4763407647,15760.696447431694,P_floor
5,636410.552227874,1811.8089483577023,638222.3611762318,515.9262550060331,1451757.9920381769,222385.13886877088,P_floor
6,272967.4597426617,19584.252856324892,292551.7125989866,4533.939789972078,318723.700702752,0.0,P_floor
7,360840.6260599364,8164.103822895935,369004.7298828324,1992.1392191915386,468791.6368281398,22704.734852203652,P_floor
8,4265.85989583211,6792.185653918447,11058.045549750557,1261.5697825450245,3743.5408356714443,0.0,P_floor
9,24488.68768997393,56405.38190419031,80894.06959416423,11543.753034279098,25708.89110485016,0.0,P_floor
10,87488.61805840481,38233.47833052943,125722.09638893425,8019.256538350604,153760.54145826446,11617.119932108151,P_floor
11,438133.25106679474,0.0,438133.25106679474,0.0,928294.8186829344,122968.59034321047,P_floor
12,357490.1869157224,0.0,357490.1869157224,0.0,773896.3087574245,325887.01054388867,P_floor
13,49454.55618262391,0.0,49454.55618262391,0.0,57211.653676888374,21305.067486088406,P_floor
14,105850.94813566645,0.0,105850.94813566645,0.0,157811.7325181133,18910.443202986025,P_floor
15,647950.7443619588,0.0,647950.7443619588,0.0,881609.7800689293,210991.43960929554,P_floor
16,1050185.9364940985,0.0,1050185.9364940985,0.0,1183373.2242215117,95844.12392146369,P_floor
17,1552421.6216477058,0.0,1552421.6216477058,0.0,1516831.1997174616,78921.34057092856,P_floor
18,1215136.9675261679,9748.207538260436,1224885.1750644282,1449.256767580779,965670.5446359026,38401.45755922492,P_floor
19,81236.36882444087,96890.74016086369,178127.10898530454,14372.566554580882,60256.97241882998,0.0,P_floor
20,641705.1567311849,374977.15852323844,1016682.3152544234,55335.504205951554,574564.7227703724,0.0,P_floor
21,1223956.1799393103,25901.07819092421,1249857.2581302344,6292.958191698024,1451821.0285784793,0.0,P_floor
22,504112.65410713776,11460.342239454701,515572.9963465925,5477.7796644215705,1205347.9916355768,0.0,P_floor
23,517102.578861544,9363.678616091394,526466.2574776354,4407.85591538372,1216950.9682189007,0.0,P_floor
0,1115433.3731264984,0.0,1115433.3731264984,0.0,2615642.7630318636,60618.83211211038,X_strong_morning85
1,711852.8128268744,0.0,711852.8128268744,0.0,1653985.5189287183,13908.904301324994,X_strong_morning85
2,610317.319661289,0.0,610317.319661289,0.0,1408950.7668046544,14033.153354005864,X_strong_morning85
3,538389.5212377614,1078.9052628823472,539468.4265006437,494.4117151770253,1233330.4003250645,14688.882640771111,X_strong_morning85
4,543838.9314245143,862.3307674489942,544701.2621919633,392.4353654429679,1237727.1411909666,19143.070601219224,X_strong_morning85
5,617773.0778830502,1811.8089483577023,619584.8868314079,515.9262550060331,1408035.8115045426,216068.93212803706,X_strong_morning85
6,275926.6063482016,19717.822543957078,295644.4288921586,4564.438634048385,322284.76943326736,0.0,X_strong_morning85
7,367241.8855623898,8164.103822895935,375405.9893852857,1992.1392191915386,477098.017447755,22997.657350605947,X_strong_morning85
8,4265.85989583211,9521.956933312256,13787.816829144367,1786.4552908801993,3743.5408356714443,0.0,X_strong_morning85
9,27549.890927061337,52003.640150764884,79553.53107782622,10638.63627422633,28897.36032896075,0.0,X_strong_morning85
10,87816.45866710477,36955.50269084722,124771.961357952,7745.976018172554,152765.58394698435,13235.37261426312,X_strong_morning85
11,400432.1827412795,819.1710992750006,401251.3538405545,340.6748833333336,848550.6778813846,80526.95395766977,X_strong_morning85
12,325168.66995696106,0.0,325168.66995696106,0.0,705740.5736120201,272618.1129675038,X_strong_morning85
13,39058.97939803436,0.0,39058.97939803436,0.0,45152.55135142783,12037.90327915571,X_strong_morning85
14,90129.10859619088,0.0,90129.10859619088,0.0,134641.63220225708,10548.93005349166,X_strong_morning85
15,585296.4233333586,0.0,585296.4233333586,0.0,795299.1336417625,132793.3202865014,X_strong_morning85
16,1007268.2097660063,3094.1977896863405,1010362.4075556926,679.6579828060486,1134846.8609018088,55583.62843257125,X_strong_morning85
17,1518378.555894051,2785.638526953511,1521164.1944210045,549.6925824195788,1483194.613863465,44407.25378326715,X_strong_morning85
18,1354203.7261712747,5629.274403985872,1359833.0005752605,836.0722417920499,1075104.861311279,63674.1060636602,X_strong_morning85
19,116766.93146440014,113907.46206767061,230674.39353207074,16898.82381167038,86610.14639417003,0.0,X_strong_morning85
20,711857.671302431,370230.370315184,1082088.0416176151,54163.83042880875,631656.2505089246,0.0,X_strong_morning85
21,1279808.6648150869,2916.7908114565876,1282725.4556265434,661.2282452369566,1519234.6188395773,0.0,X_strong_morning85
22,504112.65410713776,6517.70183185695,510630.35593899473,3109.0572278728637,1205347.9916355768,0.0,X_strong_morning85
23,517102.578861544,8275.487036108218,525378.0658976523,3895.0937634696065,1216950.9682189007,0.0,X_strong_morning85
0,967541.3189844516,2172.0053596662974,969713.3243441179,1018.4230048410412,2268779.181203079,1633.1458928432924,D56
1,715187.3344970021,2269.34521700352,717456.6797140057,1053.7256356101468,1661151.507043006,218.75303649564432,D56
2,624625.1323134269,1407.5161728721082,626032.648486299,649.669132388191,1441418.9115138848,2377.8449734747815,D56
3,567881.2270353265,336.9829369055019,568218.209972232,154.47329075808628,1300901.9999843726,13280.413210966279,D56
4,572330.030682419,89.82725206072988,572419.8579344796,40.85254500851092,1302535.277342396,24738.663075780518,D56
5,607857.8752394293,608.0240777976136,608465.899317227,202.80393678966053,1384750.3088852994,136858.953991479,D56
6,274196.8162548871,18733.57798910195,292930.394243989,4348.774856047762,320033.55592517153,0.0,D56
7,373081.1995479783,17992.20545134081,391073.4049993191,4368.930128802776,485381.0818341944,9277.676019034623,D56
8,6318.863672545104,32793.31028839447,39112.17396093957,6154.180428406136,5563.1575602323555,0.0,D56
9,29061.73545382764,75103.80190653486,104165.53736036249,15343.423812962781,30403.276373708275,0.0,D56
10,75970.1635942444,43673.9024858178,119644.0660800622,9166.77149333802,131955.97594883316,5338.630218127133,D56
11,376931.0125664023,764.5212770509258,377695.5338434533,317.2315434045156,799839.492178392,77375.09376402044,D56
12,315622.5136174624,0.0,315622.5136174624,0.0,687179.7371661548,260034.45266115345,D56
13,50078.96384418603,0.0,50078.96384418603,0.0,57866.769465340985,19860.07667188726,D56
14,107974.16076699285,0.0,107974.16076699285,0.0,161186.87444848893,19292.417507002297,D56
15,644112.1953272249,1978.2601159379424,646090.4554431628,503.32688707139295,873764.9497682315,201686.3867675042,D56
16,1027683.9101904811,4142.437918731235,1031826.3481092124,935.7880407083876,1157054.882319141,73438.04553782908,D56
17,1495205.7193323318,2334.2578515215764,1497539.9771838533,450.501856846381,1463965.6464373337,44711.48090093757,D56
18,1245367.3806858151,7578.891636435683,1252946.272322251,1143.8248828498245,987374.561583342,6441.826354988509,D56
19,196590.55508066807,118344.89199781648,314935.4470784846,17555.700986603348,145840.90660839144,0.0,D56
20,687185.5945550826,380865.69346149,1068051.2880165726,56510.617069146756,605958.7020579723,0.0,D56
21,1188261.6612169119,48322.60390552135,1236584.2651224332,10745.540322007919,1419480.1080820288,0.0,D56
22,529184.5013450017,2194.4650411356733,531378.9663861374,1037.2962583816884,1270624.2589218705,0.0,D56
23,514649.7775142705,7358.4656378629525,522008.2431521335,3458.871327538225,1211196.4329589251,0.0,D56
0,1008334.4932454734,1647.7379962629925,1009982.2312417363,772.3037346026094,2364437.2681192667,4180.7955630485185,D28
1,731705.8187492051,1616.0236461093018,733321.8423953144,750.4823735657745,1699694.1574212576,1365.076133344618,D28
2,618017.6060008254,1252.6085203569646,619270.2145211824,578.050111841979,1426358.9406939254,4238.205928417267,D28
3,555514.7497124537,392.47534688925157,555907.2250593429,179.63995150639977,1272568.2374592577,14302.655540924874,D28
4,559566.044918273,814.7531757769275,560380.7980940499,371.31749610669067,1273497.8511594338,29686.480042637755,D28
5,612738.6551272514,198.88383314520328,612937.5389603967,89.99571342958842,1391525.0072644039,136692.9801071889,D28
6,282015.49786534783,19921.489970014623,301936.98783536244,4642.105736622831,329315.484130601,0.0,D28
7,377269.24644657713,14324.3460979118,391593.5925444889,3493.8313514048737,490096.7268643175,21617.29572003236,D28
8,6681.114629062632,21970.59133149752,28651.70596056015,4141.811145778035,5882.2494918536895,0.0,D28
9,27485.973335580195,62077.45476356455,89563.42809914474,12663.844902636782,28821.956012378745,0.0,D28
10,74917.57398486341,41170.95818974771,116088.53217461113,8657.530760822117,132559.2471295084,6874.575368684507,D28
11,389355.3564731454,787.1919958370402,390142.5484689825,326.95583423939945,825693.9635735044,86830.07835244907,D28
12,312509.36204385903,0.0,312509.36204385903,0.0,680940.8464355734,253851.59382087417,D28
13,53316.72444321177,0.0,53316.72444321177,0.0,61588.47361745568,25705.936253428597,D28
14,104221.59390735209,0.0,104221.59390735209,0.0,155121.62776920572,16858.516835724313,D28
15,641469.2058189742,2234.4918806489727,643703.6976996232,566.0000192706884,870771.1061654489,193649.66240889308,D28
16,1028361.1744987305,4735.0497381718715,1033096.2242369023,1076.518535715941,1158002.549258571,76621.90760254428,D28
17,1489449.1427275164,2460.4175579426196,1491909.560285459,468.01653961715726,1459002.0651680208,39760.66869617026,D28
