slot_id,raw_time_label,start_minute,end_minute,start_time,end_time,price_yuan_per_kwh,source_row
1,00:10:00,0,10,00:00:00,00:10:00,0.4248,2
2,00:20:00,10,20,00:10:00,00:20:00,0.4245,3
3,00:30:00,20,30,00:20:00,00:30:00,0.4269,4
4,00:40:00,30,40,00:30:00,00:40:00,0.4272,5
5,00:50:00,40,50,00:40:00,00:50:00,0.4271,6
6,01:00:00,50,60,00:50:00,01:00:00,0.4285,7
7,01:10:00,60,70,01:00:00,01:10:00,0.4311,8
8,01:20:00,70,80,01:10:00,01:20:00,0.4302,9
9,01:30:00,80,90,01:20:00,01:30:00,0.4279,10
10,01:40:00,90,100,01:30:00,01:40:00,0.4312,11
11,01:50:00,100,110,01:40:00,01:50:00,0.4333,12
12,02:00:00,110,120,01:50:00,02:00:00,0.4311,13
13,02:10:00,120,130,02:00:00,02:10:00,0.4293,14
14,02:20:00,130,140,02:10:00,02:20:00,0.4324,15
15,02:30:00,140,150,02:20:00,02:30:00,0.4367,16
16,02:40:00,150,160,02:30:00,02:40:00,0.4348,17
17,02:50:00,160,170,02:40:00,02:50:00,0.4335,18
18,03:00:00,170,180,02:50:00,03:00:00,0.4357,19
19,03:10:00,180,190,03:00:00,03:10:00,0.4374,20
20,03:20:00,190,200,03:10:00,03:20:00,0.4371,21
21,03:30:00,200,210,03:20:00,03:30:00,0.4356,22
22,03:40:00,210,220,03:30:00,03:40:00,0.4353,23
23,03:50:00,220,230,03:40:00,03:50:00,0.436,24
24,04:00:00,230,240,03:50:00,04:00:00,0.4378,25
25,04:10:00,240,250,04:00:00,04:10:00,0.4401,26
26,04:20:00,250,260,04:10:00,04:20:00,0.4389,27
27,04:30:00,260,270,04:20:00,04:30:00,0.4364,28
28,04:40:00,270,280,04:30:00,04:40:00,0.4393,29
29,04:50:00,280,290,04:40:00,04:50:00,0.4422,30
30,05:00:00,290,300,04:50:00,05:00:00,0.4395,31
31,05:10:00,300,310,05:00:00,05:10:00,0.4333,32
32,05:20:00,310,320,05:10:00,05:20:00,0.4439,33
33,05:30:00,320,330,05:20:00,05:30:00,0.4301,34
34,05:40:00,330,340,05:30:00,05:40:00,0.3713,35
