date,slot_id,load_actual_kw,interval_end,interval_start,load_raw_time_label,load_source_row,load_source_column,pv_actual_kw,pv_raw_time_label,pv_source_row,pv_source_column,actual_price_yuan_per_kwh,price_raw_time_label,price_source_row,price_source_column,fixed_price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,net_load_actual_kw,net_load_actual_kwh,available_time,issue_time,forecast_history_end,dispatch_time,decision_input_cutoff,price_yuan_per_kwh,load_forecast_kwh,pv_forecast_kwh,grid_plan_kwh,selected_index,selected_candidate,risk_delta_kwh,charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,forecast_emergency_kwh,forecast_charge_kwh,forecast_discharge_kwh,forecast_energy_start_kwh,forecast_energy_end_kwh,forecast_surplus_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-01-15,1,3620.6386,2025-01-15T00:10:00,2025-01-15T00:00:00,00:10:00,16,B,0.0,00:10:00,16,B,0.4662,00:10:00,16,B,0.4248,603.4397666666667,0.0,3620.6386,603.4397666666667,2025-01-15T00:10:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T00:10:00,2025-01-15T00:10:00,0.4248,630.0752870030816,0.0,841.4341679784529,1,profile_incumbent,26.338168883891864,237.9944013117862,0.0,0.0,0.0,0.0,0.0,6000.0,6214.194961180608,0.0,211.35888097537133,0.0,6000.0,6190.222992877834,0.0,357.4412345572468,0.0,357.4412345572468
2025-01-15,2,3708.3377,2025-01-15T00:20:00,2025-01-15T00:10:00,00:20:00,16,C,0.0,00:20:00,16,C,0.4762,00:20:00,16,C,0.4245,618.0562833333333,0.0,3708.3377,618.0562833333333,2025-01-15T00:20:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T00:20:00,2025-01-15T00:20:00,0.4245,647.1065007593129,0.040865291902777656,861.5345709737567,1,profile_incumbent,26.338168883891864,243.47828764042333,0.0,0.0,0.0,0.0,0.0,6214.194961180608,6433.325420056988,0.0,214.4689355063466,0.0,6190.222992877834,6383.245034833546,0.0,365.7214253783597,0.0,365.7214253783597
2025-01-15,3,3838.32,2025-01-15T00:30:00,2025-01-15T00:20:00,00:30:00,16,D,0.0,00:30:00,16,D,0.4606,00:30:00,16,D,0.4269,639.72,0.0,3838.32,639.72,2025-01-15T00:30:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T00:30:00,2025-01-15T00:30:00,0.4269,622.8566449032713,0.41045542219734843,812.0346887392211,1,profile_incumbent,26.338168883891864,172.31468873922108,0.0,0.0,0.0,0.0,0.0,6433.325420056988,6588.408639922287,0.0,189.58849925814718,0.0,6383.245034833546,6553.8746841658785,0.0,346.65760862277347,0.0,346.65760862277347
2025-01-15,4,3697.5425,2025-01-15T00:40:00,2025-01-15T00:30:00,00:40:00,16,E,0.0,00:40:00,16,E,0.4507,00:40:00,16,E,0.4272,616.2570833333333,0.0,3697.5425,616.2570833333333,2025-01-15T00:40:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T00:40:00,2025-01-15T00:40:00,0.4272,569.7139183371559,0.984059359146559,756.0069451425156,1,profile_incumbent,26.338168883891864,139.74986180918233,0.0,0.0,0.0,0.0,0.0,6588.408639922287,6714.183515550551,0.0,187.2770861645064,0.0,6553.8746841658785,6722.424061713934,0.0,322.9661669648827,0.0,322.9661669648827
2025-01-15,5,3616.2551,2025-01-15T00:50:00,2025-01-15T00:40:00,00:50:00,16,F,0.0,00:50:00,16,F,0.4401,00:50:00,16,F,0.4271,602.7091833333333,0.0,3616.2551,602.7091833333333,2025-01-15T00:50:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T00:50:00,2025-01-15T00:50:00,0.4271,570.8342660767677,1.7290185455478815,757.3013307866537,1,profile_incumbent,26.338168883891864,154.59214745332042,0.0,0.0,0.0,0.0,0.0,6714.183515550551,6853.31644825854,0.0,188.1960832554339,0.0,6722.424061713934,6891.800536643825,0.0,323.4433983789798,0.0,323.4433983789798
2025-01-15,6,3730.26,2025-01-15T01:00:00,2025-01-15T00:50:00,01:00:00,16,G,0.0,01:00:00,16,G,0.4398,01:00:00,16,G,0.4285,621.71,0.0,3730.26,621.71,2025-01-15T01:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T01:00:00,2025-01-15T01:00:00,0.4285,618.2787886482676,2.604893897504132,776.7469955719697,1,profile_incumbent,26.338168883891864,155.03699557196967,0.0,0.0,0.0,0.0,0.0,6853.31644825854,6992.849744273312,0.0,161.07310082120625,0.0,6891.800536643825,7036.76632738291,0.0,332.83608760258903,0.0,332.83608760258903
2025-01-15,7,3846.9076,2025-01-15T01:10:00,2025-01-15T01:00:00,01:10:00,16,H,0.0,01:10:00,16,H,0.4682,01:10:00,16,H,0.4311,641.1512666666666,0.0,3846.9076,641.1512666666666,2025-01-15T01:10:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T01:10:00,2025-01-15T01:10:00,0.4311,622.4263619024687,3.564662058493034,757.9173931270552,1,profile_incumbent,40.43412651353932,116.76612646038859,0.0,0.0,0.0,0.0,0.0,6992.849744273312,7097.939258087662,0.0,139.05569328307956,0.0,7036.76632738291,7161.916451337682,0.0,326.7381881770735,0.0,326.7381881770735
2025-01-15,8,3898.524,2025-01-15T01:20:00,2025-01-15T01:10:00,01:20:00,16,I,0.0,01:20:00,16,I,0.4659,01:20:00,16,I,0.4302,649.754,0.0,3898.524,649.754,2025-01-15T01:20:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T01:20:00,2025-01-15T01:20:00,0.4302,601.1626183292444,4.556129421635546,753.5307599139647,1,profile_incumbent,40.43412651353932,103.77675991396472,0.0,0.0,0.0,0.0,0.0,7097.939258087662,7191.33834201023,0.0,156.92427100635587,0.0,7161.916451337682,7303.148295243402,0.0,324.16893291498764,0.0,324.16893291498764
2025-01-15,9,3875.21,2025-01-15T01:30:00,2025-01-15T01:20:00,01:30:00,16,J,0.0,01:30:00,16,J,0.4332,01:30:00,16,J,0.4279,645.8683333333333,0.0,3875.21,645.8683333333333,2025-01-15T01:30:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T01:30:00,2025-01-15T01:30:00,0.4279,604.0383747809832,5.523534239114844,526.1943880091727,1,profile_incumbent,40.43412651353932,0.0,119.67394532416063,0.0,0.0,0.0,0.0,7191.33834201023,7058.367291650052,0.0,0.0,72.32045253269564,7303.148295243402,7222.79223687374,0.0,225.158578629125,0.0,225.158578629125
2025-01-15,10,3815.078,2025-01-15T01:40:00,2025-01-15T01:30:00,01:40:00,16,K,0.0,01:40:00,16,K,0.4363,01:40:00,16,K,0.4312,635.8463333333333,0.0,3815.078,635.8463333333333,2025-01-15T01:40:00,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15T01:40:00,2025-01-15T01:40:00,0.4312,652.9862389252431,6.409303034574347,793.033506738689,1,profile_incumbent,40.43412651353932,157.18717340535568,0.0,0.0,0.0,0.0,0.0,7058.367291650052,7199.835747714872,0.0,146.4565708480202,0.0,7222.79223687374,7354.603150636958,0.0,341.9560481057227,0.0,341.9560481057227
