policy,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,days,intervals,initial_energy_kwh,final_energy_kwh,inventory_value_yuan_per_kwh,inventory_adjusted_cost_yuan,emergency_share_of_load,emergency_intervals,emergency_days,solver_runtime_seconds,solver_max_runtime_seconds,solver_max_mip_gap,solver_failures,solver_fallbacks,wall_seconds,unused_grid_cost_yuan,emergency_share_load,passes_emergency_cap,passes_stricter_P_emergency_cap,passes_joint,passes_stricter_joint,solver_count,total_saving_vs_B0_yuan,ordinary_saving_vs_B0_yuan,emergency_saving_vs_B0_yuan,inventory_adjusted_saving_vs_B0_yuan,total_saving_vs_B1_yuan,ordinary_saving_vs_B1_yuan,emergency_saving_vs_B1_yuan,inventory_adjusted_saving_vs_B1_yuan,total_saving_vs_P_yuan,ordinary_saving_vs_P_yuan,emergency_saving_vs_P_yuan,inventory_adjusted_saving_vs_P_yuan,total_saving_vs_P_terminal_yuan,ordinary_saving_vs_P_terminal_yuan,emergency_saving_vs_P_terminal_yuan,inventory_adjusted_saving_vs_P_terminal_yuan,total_saving_vs_P_floor_yuan,ordinary_saving_vs_P_floor_yuan,emergency_saving_vs_P_floor_yuan,inventory_adjusted_saving_vs_P_floor_yuan,total_saving_vs_S_terminal_yuan,ordinary_saving_vs_S_terminal_yuan,emergency_saving_vs_S_terminal_yuan,inventory_adjusted_saving_vs_S_terminal_yuan,meets_user_emergency_cap,passes_user_requirement,study_stage
B0,19839930.398287483,751884.1216948977,11987831.567381367,4345851.825469283,16333683.392850649,6468111.533041743,5243260.664473787,1427774.156447757,330363.1500750936,1097411.0063726634,334,48096,7268.4231640740745,2723.6201529907166,0.6895775000000001,16336817.386749024,0.020316756018460853,4446,324,8.751930335027282,0.05950454098638147,2.757153279003857e-16,0,0,17.049212958008866,193233.07897957333,0.020316756018460853,False,False,False,False,,0.0,0.0,0.0,0.0,-955476.0420574397,275826.00912508555,-1231302.0511825262,-958034.7576727569,-2124173.547497116,1579832.9985785112,-3704006.546075632,-2129742.837321067,-2298054.599400986,1407303.8533500582,-3705358.452751047,-2300678.603847932,-2310844.794352103,1373733.3783017993,-3684578.1726539023,-2310331.011334529,-2312005.580492107,1373801.7937007789,-3685807.3741928875,-2311491.7974745333,False,False,reference
B1,20243492.085644614,519849.5915405929,12263657.576506453,3114549.774286757,15378207.350793209,6632272.907899279,5372891.878119217,1564771.1524384758,420651.70110225386,1144119.4513362218,334,48096,7268.4231640740745,6434.175696518038,0.6895775000000001,15378782.629076267,0.01404692161049852,2747,306,8.902649167037453,0.060444041999289766,2.079371789209053e-16,0,0,17.326168457992026,235087.7956176543,0.01404692161049852,False,False,False,False,,955476.0420574397,-275826.00912508555,1231302.0511825262,958034.7576727569,0.0,0.0,0.0,0.0,-1168697.5054396763,1304006.9894534256,-2472704.4948931057,-1171708.0796483103,-1342578.5573435463,1131477.8442249727,-2474056.401568521,-1342643.8461751752,-1355368.7522946633,1097907.3691767137,-2453276.121471376,-1352296.2536617722,-1356529.5384346675,1097975.7845756933,-2454505.3230103613,-1353457.0398017764,False,False,reference
P,22223636.400577143,105682.08824927587,13567664.565959878,641845.2793936513,14209509.845353533,6746890.389348881,5461802.79622026,3105041.400731131,1706751.3288019402,1398290.0719291908,334,48096,7268.4231640740745,10800.0,0.6895775000000001,14207074.549427956,0.002855649082789451,648,115,7.10921716595476,0.05058979199384339,5.243293391438093e-16,0,0,15.7055784999975,955093.5540551502,0.002855649082789451,True,True,False,False,,2124173.547497116,-1579832.9985785112,3704006.546075632,2129742.837321067,1168697.5054396763,-1304006.9894534256,2472704.4948931057,1171708.0796483103,0.0,0.0,0.0,0.0,-173881.05190386996,-172529.14522845298,-1351.9066754148807,-170935.76652686484,-186671.246854987,-206099.62027671188,19428.373421729542,-180588.17401346192,-187832.03299499117,-206031.20487773232,18199.171882744646,-181748.9601534661,True,False,reference
P_terminal,21839559.57665098,105418.64543077363,13395135.420731425,640493.3727182364,14035628.793449663,6438517.526022172,5215864.807276535,2783136.008369449,1360632.0897933524,1422503.918576097,334,48096,7268.4231640740745,6528.855165656465,0.6895775000000001,14036138.782901092,0.002848530561046685,643,114,8.978810411033919,0.06537779100472108,5.345269820780356e-16,0,0,17.674891417002073,797864.0281640652,0.002848530561046685,True,True,False,False,,2298054.599400986,-1407303.8533500582,3705358.452751047,2300678.603847932,1342578.5573435463,-1131477.8442249727,2474056.401568521,1342643.8461751752,173881.05190386996,172529.14522845298,1351.9066754148807,170935.76652686484,0.0,0.0,0.0,0.0,-12790.194951117039,-33570.4750482589,20780.280097144423,-9652.407486597076,-13950.981091121212,-33502.05964927934,19551.078558159526,-10813.193626601249,True,False,reference
P_floor,21709846.670354728,116089.3529995809,13361564.945683166,661273.6528153808,14022838.598498546,6262055.860909414,5077026.132406618,2701716.7998848464,1287669.4949824326,1414047.3049024136,334,48096,7268.4231640740745,1978.550864081664,,14026486.375414494,,898,116,8.362238930989406,0.05984066700330004,4.01310126908503e-16,0,0,20.596854167000856,768060.4550450046,0.003136865100857292,True,False,False,False,334.0,2310844.794352103,-1373733.3783017993,3684578.1726539023,2310331.011334529,1355368.7522946633,-1097907.3691767137,2453276.121471376,1352296.2536617722,186671.246854987,206099.62027671188,-19428.373421729542,180588.17401346192,12790.194951117039,33570.4750482589,-20780.280097144423,9652.407486597076,0.0,0.0,0.0,0.0,-1160.786140004173,68.41539897955954,-1229.2015389848966,-1160.786140004173,True,False,reference
S_terminal,21710595.118406385,115496.9390143515,13361633.361082146,660044.4512763959,14021677.812358541,6262577.099082971,5077448.335327199,2701773.7986983014,1287711.4290039558,1414062.3696943452,334,48096,7268.4231640740745,1978.550864081664,,14025325.58927449,,886,116,26.897669290876365,0.06349000000045635,5.246264885082638e-16,0,0,47.318008083006134,768077.0231073315,0.0031208574075804367,True,False,False,False,1002.0,2312005.580492107,-1373801.7937007789,3685807.3741928875,2311491.7974745333,1356529.5384346675,-1097975.7845756933,2454505.3230103613,1353457.0398017764,187832.03299499117,206031.20487773232,-18199.171882744646,181748.9601534661,13950.981091121212,33502.05964927934,-19551.078558159526,10813.193626601249,1160.786140004173,-68.41539897955954,1229.2015389848966,1160.786140004173,0.0,0.0,0.0,0.0,True,True,reference
T_day_trim,21434151.071148917,145138.6485703474,13176060.760154199,853532.1015871086,14029592.861741308,6271850.948776574,5084960.153579018,2453209.429555043,1074372.191654435,1378837.2379006082,334,48096,7268.4231640740745,1978.550864081664,,14033240.638657257,,972,121,7.929139753061463,0.05930179099959787,4.182235147216388e-15,0,0,19.793314333001035,619625.4395034455,0.003921809793250872,False,False,False,False,334.0,2304090.5311093405,-1188229.1927728318,3492319.723882175,2303576.7480917666,1348614.4890519008,-912403.1836477462,2261017.672699649,1345541.9904190097,179916.98361222446,391603.8058056794,-211686.82219345728,173833.91077069938,6035.931708354503,219074.66057722643,-213038.72886887216,2898.1442438345402,-6754.263242762536,185504.18552896753,-192258.44877172774,-6754.263242762536,-7915.049382766709,185572.6009279471,-193487.65031071263,-7915.049382766709,True,False,original_ten
T_evening_hedge,21740529.809206083,94072.59811200532,13481675.51735773,531588.1897906393,14013263.70714837,6192334.501453927,5020357.846697727,2723436.2575952234,1307781.1375559669,1415655.1200392563,334,48096,7268.4231640740745,2194.089252911632,,14016762.853640994,,683,97,8.09921908886463,0.060472249999293126,2.7035624935029865e-16,0,0,20.181034834007733,794640.7123801934,0.002541947580374476,True,True,False,False,334.0,2320419.685702279,-1493843.9499763623,3814263.6356786443,2320054.5331080295,1364943.6436448395,-1218017.9408512767,2582961.584496118,1362019.7754352726,196246.13820516318,85989.04860214889,110257.08960301196,190311.6957869623,22365.086301293224,-86540.09662630409,108905.18292759708,19375.929260097444,9574.891350176185,-120110.57167456299,129685.4630247415,9723.521773500368,8414.105210172012,-120042.15627558343,128456.26148575661,8562.735633496195,True,True,original_ten
T_rebalance,21467022.23237072,119807.33406862838,13297074.389580607,701926.0813285937,13999000.4709092,6206965.711450486,5032209.126794941,2472883.486817132,1092301.9147903677,1380581.5720267645,334,48096,7268.4231640740745,2194.089252911632,,14002499.617401825,,744,102,7.9860266168252565,0.06068470799073111,2.721461202864302e-16,0,0,19.794838792004157,643645.5494596198,0.003237329137909727,False,False,False,False,334.0,2334682.921941448,-1309242.8221992403,3643925.7441406897,2334317.7693471983,1379206.8798840083,-1033416.8130741548,2412623.6929581636,1376283.0116744414,210509.37444433197,270590.17637927085,-60080.80193494237,204574.93202613108,36628.32254046202,98061.03115081787,-61432.70861035725,33639.16549926624,23838.12758934498,64490.55610255897,-40652.42851321283,23986.75801266916,22677.341449340805,64558.97150153853,-41881.630052197725,22825.971872664988,True,True,original_ten
T_soft,21579049.171133548,118866.42368671655,13315728.033550583,687373.7138944892,14003101.747445071,6236929.147140438,5056586.515098951,2578383.4678121116,1180561.6616496295,1397821.8061624826,334,48096,7268.4231640740745,2075.194369411556,,14006682.881174222,,831,110,8.132570337009383,0.055008583003655076,2.813256530440838e-16,0,0,20.47728225000901,698305.324121212,0.0032119046793888484,False,False,False,False,334.0,2330581.6454055775,-1327896.4661692157,3658478.111574794,2330134.505574802,1375105.6033481378,-1052070.4570441302,2427176.060392268,1372099.747902045,206408.09790846147,251936.53240929544,-45528.43450083793,200391.6682537347,32527.04600459151,79407.38718084246,-46880.34117625281,29455.901726869866,19736.85105347447,45836.91213258356,-26100.06107910839,19803.49424027279,18576.064913470298,45905.32753156312,-27329.262618093286,18642.708100268617,True,True,original_ten
