date,interval_start,interval_end,grid_plan_kwh,planned_cost_yuan
2025-03-20,2025-03-20T10:00:00,2025-03-20T10:10:00,0.0,0.0
2025-03-20,2025-03-20T12:00:00,2025-03-20T12:10:00,514.6185405801798,226.9982382499173
2025-03-20,2025-03-20T14:00:00,2025-03-20T14:10:00,0.0,0.0
2025-03-20,2025-03-20T16:00:00,2025-03-20T16:10:00,515.5506228886616,426.41192019121195
2025-03-20,2025-03-20T18:00:00,2025-03-20T18:10:00,699.3670423469364,878.4749418919868
2025-03-20,2025-03-20T20:00:00,2025-03-20T20:10:00,0.0,0.0
2025-06-21,2025-06-21T10:00:00,2025-06-21T10:10:00,0.0,0.0
2025-06-21,2025-06-21T12:00:00,2025-06-21T12:10:00,0.0,0.0
2025-06-21,2025-06-21T14:00:00,2025-06-21T14:10:00,0.0,0.0
2025-06-21,2025-06-21T16:00:00,2025-06-21T16:10:00,174.84091981306517,144.6109247773862
2025-06-21,2025-06-21T18:00:00,2025-06-21T18:10:00,608.5820416797022,764.4399025538739
2025-06-21,2025-06-21T20:00:00,2025-06-21T20:10:00,0.0,0.0
2025-09-23,2025-09-23T10:00:00,2025-09-23T10:10:00,0.0,0.0
2025-09-23,2025-09-23T12:00:00,2025-09-23T12:10:00,378.5640801651891,166.98461576086493
2025-09-23,2025-09-23T14:00:00,2025-09-23T14:10:00,0.0,0.0
2025-09-23,2025-09-23T16:00:00,2025-09-23T16:10:00,507.6646734396762,419.8894514019562
2025-09-23,2025-09-23T18:00:00,2025-09-23T18:10:00,818.4140253124024,1028.0098571949086
2025-09-23,2025-09-23T20:00:00,2025-09-23T20:10:00,12.187664339288176,16.46919082168011
2025-12-21,2025-12-21T10:00:00,2025-12-21T10:10:00,0.0,0.0
2025-12-21,2025-12-21T12:00:00,2025-12-21T12:10:00,938.4235862559977,413.9386438975206
2025-12-21,2025-12-21T14:00:00,2025-12-21T14:10:00,0.0,0.0
2025-12-21,2025-12-21T16:00:00,2025-12-21T16:10:00,834.4234749119773,690.1516560996964
2025-12-21,2025-12-21T18:00:00,2025-12-21T18:10:00,777.0643384972007,976.0705155863337
2025-12-21,2025-12-21T20:00:00,2025-12-21T20:10:00,0.0,0.0
