date,interval_start,interval_end,grid_plan_kwh,planned_cost_yuan
2025-03-20,2025-03-20T10:00:00,2025-03-20T10:10:00,0.0,0.0
2025-03-20,2025-03-20T12:00:00,2025-03-20T12:10:00,541.612533486079,238.90528852070943
2025-03-20,2025-03-20T14:00:00,2025-03-20T14:10:00,0.0,0.0
2025-03-20,2025-03-20T16:00:00,2025-03-20T16:10:00,527.0199818231001,435.89822696588607
2025-03-20,2025-03-20T18:00:00,2025-03-20T18:10:00,680.0864697988361,854.2566147143181
2025-03-20,2025-03-20T20:00:00,2025-03-20T20:10:00,0.0,0.0
2025-06-21,2025-06-21T10:00:00,2025-06-21T10:10:00,0.0,0.0
2025-06-21,2025-06-21T12:00:00,2025-06-21T12:10:00,0.0,0.0
2025-06-21,2025-06-21T14:00:00,2025-06-21T14:10:00,0.0,0.0
2025-06-21,2025-06-21T16:00:00,2025-06-21T16:10:00,185.78812685869843,153.66535972482947
2025-06-21,2025-06-21T18:00:00,2025-06-21T18:10:00,228.22021541129766,286.667412578131
2025-06-21,2025-06-21T20:00:00,2025-06-21T20:10:00,0.0,0.0
2025-09-23,2025-09-23T10:00:00,2025-09-23T10:10:00,0.0,0.0
2025-09-23,2025-09-23T12:00:00,2025-09-23T12:10:00,423.5865596801211,186.8440314749014
2025-09-23,2025-09-23T14:00:00,2025-09-23T14:10:00,0.0,0.0
2025-09-23,2025-09-23T16:00:00,2025-09-23T16:10:00,527.7507892758621,436.5026778100655
2025-09-23,2025-09-23T18:00:00,2025-09-23T18:10:00,774.8819629858555,973.329233706533
2025-09-23,2025-09-23T20:00:00,2025-09-23T20:10:00,0.0,0.0
2025-12-21,2025-12-21T10:00:00,2025-12-21T10:10:00,0.0,0.0
2025-12-21,2025-12-21T12:00:00,2025-12-21T12:10:00,962.3769413433664,424.50446882655893
2025-12-21,2025-12-21T14:00:00,2025-12-21T14:10:00,0.0,0.0
2025-12-21,2025-12-21T16:00:00,2025-12-21T16:10:00,846.9421898962803,700.5058852632134
2025-12-21,2025-12-21T18:00:00,2025-12-21T18:10:00,761.2015068352924,956.1452127358108
2025-12-21,2025-12-21T20:00:00,2025-12-21T20:10:00,0.0,0.0
