date,interval_start,interval_end,grid_plan_kwh,planned_cost_yuan
2025-03-20,2025-03-20T10:00:00,2025-03-20T10:10:00,0.0,0.0
2025-03-20,2025-03-20T12:00:00,2025-03-20T12:10:00,579.313240059533,255.53507019026
2025-03-20,2025-03-20T14:00:00,2025-03-20T14:10:00,0.0,0.0
2025-03-20,2025-03-20T16:00:00,2025-03-20T16:10:00,537.2382941489543,444.3497930906001
2025-03-20,2025-03-20T18:00:00,2025-03-20T18:10:00,658.3276498044286,826.9253609193428
2025-03-20,2025-03-20T20:00:00,2025-03-20T20:10:00,0.0,0.0
2025-06-21,2025-06-21T10:00:00,2025-06-21T10:10:00,0.0,0.0
2025-06-21,2025-06-21T12:00:00,2025-06-21T12:10:00,0.0,0.0
2025-06-21,2025-06-21T14:00:00,2025-06-21T14:10:00,0.0,0.0
2025-06-21,2025-06-21T16:00:00,2025-06-21T16:10:00,215.9638283834073,178.62368245591617
2025-06-21,2025-06-21T18:00:00,2025-06-21T18:10:00,0.0,0.0
2025-06-21,2025-06-21T20:00:00,2025-06-21T20:10:00,0.0,0.0
2025-09-23,2025-09-23T10:00:00,2025-09-23T10:10:00,0.0,0.0
2025-09-23,2025-09-23T12:00:00,2025-09-23T12:10:00,451.66324294411334,199.2286564626484
2025-09-23,2025-09-23T14:00:00,2025-09-23T14:10:00,0.0,0.0
2025-09-23,2025-09-23T16:00:00,2025-09-23T16:10:00,543.1180328503809,449.21292497055003
2025-09-23,2025-09-23T18:00:00,2025-09-23T18:10:00,749.2058379124657,941.0774530018481
2025-09-23,2025-09-23T20:00:00,2025-09-23T20:10:00,0.0,0.0
2025-12-21,2025-12-21T10:00:00,2025-12-21T10:10:00,0.0,0.0
2025-12-21,2025-12-21T12:00:00,2025-12-21T12:10:00,979.9552051782351,432.2582410041195
2025-12-21,2025-12-21T14:00:00,2025-12-21T14:10:00,0.0,0.0
2025-12-21,2025-12-21T16:00:00,2025-12-21T16:10:00,856.6561549186176,708.5403057331886
2025-12-21,2025-12-21T18:00:00,2025-12-21T18:10:00,746.9042949471698,938.18648488314
2025-12-21,2025-12-21T20:00:00,2025-12-21T20:10:00,0.0,0.0
