date,slot_id,load_actual_kw,interval_end,interval_start,load_raw_time_label,load_source_row,load_source_column,pv_actual_kw,pv_raw_time_label,pv_source_row,pv_source_column,actual_price_yuan_per_kwh,price_raw_time_label,price_source_row,price_source_column,fixed_price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,net_load_actual_kw,net_load_actual_kwh,available_time,issue_time,forecast_history_end,dispatch_time,decision_input_cutoff,price_yuan_per_kwh,load_forecast_kwh,pv_forecast_kwh,risk_delta_kwh,plan_load_kwh,plan_pv_kwh,selected_index,selected_tau,selected_profile,selected_terminal,selected_terminal_energy_kwh,grid_plan_kwh,charge_plan_kwh,discharge_plan_kwh,energy_start_plan_kwh,energy_end_plan_kwh,pv_curtailment_plan_kwh,charge_mode_plan,charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-03-20,1,3299.0689,2025-03-20T00:10:00,2025-03-20T00:00:00,00:10:00,80,B,0.0,00:10:00,80,B,0.4487,00:10:00,80,B,0.4248,549.8448166666667,0.0,3299.0689,549.8448166666667,2025-03-20T00:10:00,2025-03-20 00:00:00,2025-03-20 00:00:00,2025-03-20T00:10:00,2025-03-20T00:10:00,0.4248,599.953889516172,0.6881231779921642,18.878672061640852,618.8325615778128,0.6881231779921642,0,0.75,X_uniform75,1200.0,1200.0,1451.477771733154,833.3333333333333,0.0,2143.2050117279787,2893.2050117279787,0.0,1.0,833.3333333333334,0.0,0.0,68.29962173315391,68.29962173315391,0.0,2143.2050117279787,2893.2050117279787,616.5877574322438,0.0,616.5877574322438
2025-03-20,2,3421.881,2025-03-20T00:20:00,2025-03-20T00:10:00,00:20:00,80,C,0.0,00:20:00,80,C,0.4373,00:20:00,80,C,0.4245,570.3135,0.0,3421.881,570.3135,2025-03-20T00:20:00,2025-03-20 00:00:00,2025-03-20 00:00:00,2025-03-20T00:20:00,2025-03-20T00:20:00,0.4245,593.4156177461416,0.7635675828808566,18.878672061640852,612.2942898077824,0.7635675828808566,0,0.75,X_uniform75,1200.0,1200.0,1444.8640555582347,833.3333333333333,0.0,2893.2050117279787,3643.2050117279787,0.0,1.0,833.3333333333334,0.0,0.0,41.21722222490132,41.21722222490132,0.0,2893.2050117279787,3643.2050117279787,613.3447915844706,0.0,613.3447915844706
2025-03-20,3,3683.11,2025-03-20T00:30:00,2025-03-20T00:20:00,00:30:00,80,D,0.0,00:30:00,80,D,0.4311,00:30:00,80,D,0.4269,613.8516666666667,0.0,3683.11,613.8516666666667,2025-03-20T00:30:00,2025-03-20 00:00:00,2025-03-20 00:00:00,2025-03-20T00:30:00,2025-03-20T00:30:00,0.4269,580.4393460126182,0.23923107243809127,18.878672061640852,599.318018074259,0.23923107243809127,0,0.75,X_uniform75,1200.0,1200.0,1432.4121203351542,833.3333333333333,0.0,3643.2050117279787,4393.205011727979,0.0,1.0,818.5604536684875,0.0,0.0,0.0,0.0,0.0,3643.2050117279787,4379.909420029618,611.4967341710774,0.0,611.4967341710774
2025-03-20,4,3476.737,2025-03-20T00:40:00,2025-03-20T00:30:00,00:40:00,80,E,0.0,00:40:00,80,E,0.4344,00:40:00,80,E,0.4272,579.4561666666667,0.0,3476.737,579.4561666666667,2025-03-20T00:40:00,2025-03-20 00:00:00,2025-03-20 00:00:00,2025-03-20T00:40:00,2025-03-20T00:40:00,0.4272,589.9157636485189,0.0,18.878672061640852,608.7944357101597,0.0,0,0.75,X_uniform75,1200.0,1200.0,1442.1277690434931,833.3333333333333,0.0,4393.205011727979,5143.205011727979,0.0,1.0,833.3333333333334,0.0,0.0,29.338269043493028,29.338269043493028,0.0,4379.909420029618,5129.909420029618,616.0769829353803,0.0,616.0769829353803
2025-03-20,5,3302.6695,2025-03-20T00:50:00,2025-03-20T00:40:00,00:50:00,80,F,0.0,00:50:00,80,F,0.4238,00:50:00,80,F,0.4271,550.4449166666667,0.0,3302.6695,550.4449166666667,2025-03-20T00:50:00,2025-03-20 00:00:00,2025-03-20 00:00:00,2025-03-20T00:50:00,2025-03-20T00:50:00,0.4271,585.7067371611821,0.0,18.878672061640852,604.5854092228229,0.0,0,0.75,X_uniform75,1200.0,1200.0,1437.9187425561563,833.3333333333333,0.0,5143.205011727979,5893.205011727979,0.0,1.0,833.3333333333334,0.0,0.0,54.14049255615623,54.14049255615623,0.0,5129.909420029618,5879.909420029618,614.1350949457343,0.0,614.1350949457343
2025-03-20,6,3426.94,2025-03-20T01:00:00,2025-03-20T00:50:00,01:00:00,80,G,0.0,01:00:00,80,G,0.4296,01:00:00,80,G,0.4285,571.1566666666666,0.0,3426.94,571.1566666666666,2025-03-20T01:00:00,2025-03-20 00:00:00,2025-03-20 00:00:00,2025-03-20T01:00:00,2025-03-20T01:00:00,0.4285,563.8726304229446,0.0,18.878672061640852,582.7513024845854,0.0,0,0.75,X_uniform75,1200.0,1200.0,1416.0846358179188,833.3333333333333,0.0,5893.205011727979,6643.205011727979,0.0,1.0,833.3333333333334,0.0,0.0,11.594635817918743,11.594635817918743,0.0,5879.909420029618,6629.909420029618,606.7922664479781,0.0,606.7922664479781
2025-03-20,7,3609.5343,2025-03-20T01:10:00,2025-03-20T01:00:00,01:10:00,80,H,0.0,01:10:00,80,H,0.4989,01:10:00,80,H,0.4311,601.5890499999999,0.0,3609.5343,601.5890499999999,2025-03-20T01:10:00,2025-03-20 00:00:00,2025-03-20 00:00:00,2025-03-20T01:10:00,2025-03-20T01:10:00,0.4311,557.0724677171621,0.0,20.746626978911564,577.8190946960736,0.0,0,0.75,X_uniform75,1200.0,1200.0,577.8190946960736,0.0,0.0,6643.205011727979,6643.205011727979,0.0,-0.0,0.0,23.76995530392628,0.0,0.0,0.0,0.0,6629.909420029618,6603.49835858081,249.09781172347735,0.0,249.09781172347735
2025-03-20,8,3668.9025,2025-03-20T01:20:00,2025-03-20T01:10:00,01:20:00,80,I,0.0,01:20:00,80,I,0.5083,01:20:00,80,I,0.4302,611.48375,0.0,3668.9025,611.48375,2025-03-20T01:20:00,2025-03-20 00:00:00,2025-03-20 00:00:00,2025-03-20T01:20:00,2025-03-20T01:20:00,0.4302,550.5681314738787,0.0,20.746626978911564,571.3147584527902,0.0,0,0.75,X_uniform75,1200.0,1200.0,1404.6480917861236,833.3333333333333,0.0,6643.205011727979,7393.205011727979,0.0,1.0,793.1643417861236,0.0,0.0,0.0,0.0,0.0,6603.49835858081,7317.346266188321,604.2796090863905,0.0,604.2796090863905
2025-03-20,9,3589.3,2025-03-20T01:30:00,2025-03-20T01:20:00,01:30:00,80,J,0.0,01:30:00,80,J,0.4468,01:30:00,80,J,0.4279,598.2166666666667,0.0,3589.3,598.2166666666667,2025-03-20T01:30:00,2025-03-20 00:00:00,2025-03-20 00:00:00,2025-03-20T01:30:00,2025-03-20T01:30:00,0.4279,543.8389841690238,0.0,20.746626978911564,564.5856111479353,0.0,0,0.75,X_uniform75,1200.0,1200.0,1397.9189444812687,833.3333333333333,0.0,7393.205011727979,8143.205011727979,0.0,1.0,799.702277814602,0.0,0.0,0.0,0.0,0.0,7317.346266188321,8037.078316221463,598.1695163435348,0.0,598.1695163435348
2025-03-20,10,3503.6157,2025-03-20T01:40:00,2025-03-20T01:30:00,01:40:00,80,K,0.0,01:40:00,80,K,0.4284,01:40:00,80,K,0.4312,583.9359499999999,0.0,3503.6157,583.9359499999999,2025-03-20T01:40:00,2025-03-20 00:00:00,2025-03-20 00:00:00,2025-03-20T01:40:00,2025-03-20T01:40:00,0.4312,557.3656575097407,0.0,20.746626978911564,578.1122844886522,0.0,0,0.75,X_uniform75,1200.0,1200.0,578.1122844886522,0.0,0.0,8143.205011727979,8143.205011727979,0.0,-0.0,0.0,5.823665511347713,0.0,0.0,0.0,0.0,8037.078316221463,8030.60757676441,249.28201707150686,0.0,249.28201707150686
