date,slot_id,load_actual_kw,interval_end,interval_start,load_raw_time_label,load_source_row,load_source_column,pv_actual_kw,pv_raw_time_label,pv_source_row,pv_source_column,actual_price_yuan_per_kwh,price_raw_time_label,price_source_row,price_source_column,fixed_price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,net_load_actual_kw,net_load_actual_kwh,available_time,issue_time,forecast_history_end,dispatch_time,decision_input_cutoff,price_yuan_per_kwh,load_forecast_kwh,pv_forecast_kwh,risk_delta_kwh,plan_load_kwh,plan_pv_kwh,selected_index,selected_tau,selected_profile,selected_terminal,selected_terminal_energy_kwh,grid_plan_kwh,charge_plan_kwh,discharge_plan_kwh,energy_start_plan_kwh,energy_end_plan_kwh,pv_curtailment_plan_kwh,charge_mode_plan,charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-01-24,1,2454.856,2025-01-24T00:10:00,2025-01-24T00:00:00,00:10:00,25,B,0.0,00:10:00,25,B,0.3048,00:10:00,25,B,0.4248,409.1426666666667,0.0,2454.856,409.1426666666667,2025-01-24T00:10:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T00:10:00,2025-01-24T00:10:00,0.4248,364.8331256277157,0.09863773620576857,16.819738877829423,381.6528645055451,0.09863773620576857,0,0.75,X_uniform75,1200.0,1200.0,1214.8875601026725,833.3333333333333,0.0,6000.0,6750.0,0.0,1.0,805.7448934360059,0.0,0.0,0.0,0.0,0.0,6000.0,6725.170404092405,516.0842355316153,0.0,516.0842355316153
2025-01-24,2,2503.1642,2025-01-24T00:20:00,2025-01-24T00:10:00,00:20:00,25,C,0.0,00:20:00,25,C,0.3072,00:20:00,25,C,0.4245,417.1940333333334,0.0,2503.1642,417.1940333333334,2025-01-24T00:20:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T00:20:00,2025-01-24T00:20:00,0.4245,386.25626117631026,0.3633251256183183,16.819738877829423,403.0760000541397,0.3633251256183183,0,0.75,X_uniform75,1200.0,1200.0,1236.0460082618547,833.3333333333333,0.0,6750.0,7500.0,0.0,1.0,818.8519749285213,0.0,0.0,0.0,0.0,0.0,6725.170404092405,7462.1371815280745,524.7015305071573,0.0,524.7015305071573
2025-01-24,3,2653.22,2025-01-24T00:30:00,2025-01-24T00:20:00,00:30:00,25,D,0.0,00:30:00,25,D,0.3419,00:30:00,25,D,0.4269,442.2033333333333,0.0,2653.22,442.2033333333333,2025-01-24T00:30:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T00:30:00,2025-01-24T00:30:00,0.4269,450.1290119811034,0.7809283067332312,16.819738877829423,466.94875085893284,0.7809283067332312,0,0.75,X_uniform75,1200.0,1200.0,1299.5011558855329,833.3333333333333,0.0,7500.0,8250.0,0.0,1.0,833.3333333333334,0.0,0.0,23.964489218866106,23.964489218866106,0.0,7462.1371815280745,8212.137181528075,554.757043447534,0.0,554.757043447534
2025-01-24,4,2860.271,2025-01-24T00:40:00,2025-01-24T00:30:00,00:40:00,25,E,0.0,00:40:00,25,E,0.3798,00:40:00,25,E,0.4272,476.71183333333335,0.0,2860.271,476.71183333333335,2025-01-24T00:40:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T00:40:00,2025-01-24T00:40:00,0.4272,472.3553626435992,1.3300803799677872,16.819738877829423,489.17510152142864,1.3300803799677872,0,0.75,X_uniform75,1200.0,1200.0,1321.178354474794,833.3333333333333,0.0,8250.0,9000.0,0.0,1.0,833.3333333333334,0.0,0.0,11.133187808127445,11.133187808127445,0.0,8212.137181528075,8962.137181528075,564.4073930316321,0.0,564.4073930316321
2025-01-24,5,2880.7933,2025-01-24T00:50:00,2025-01-24T00:40:00,00:50:00,25,F,0.0,00:50:00,25,F,0.3823,00:50:00,25,F,0.4271,480.13221666666664,0.0,2880.7933,480.13221666666664,2025-01-24T00:50:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T00:50:00,2025-01-24T00:50:00,0.4271,440.6535371995405,1.9818428152590795,16.819738877829423,457.4732760773699,1.9818428152590795,0,0.75,X_uniform75,1200.0,1200.0,1288.824766595444,833.3333333333333,0.0,9000.0,9750.0,0.0,1.0,808.6925499287775,0.0,0.0,0.0,0.0,0.0,8962.137181528075,9689.960476463973,550.4570578129142,0.0,550.4570578129142
2025-01-24,6,2778.73,2025-01-24T01:00:00,2025-01-24T00:50:00,01:00:00,25,G,0.0,01:00:00,25,G,0.3679,01:00:00,25,G,0.4285,463.12166666666667,0.0,2778.73,463.12166666666667,2025-01-24T01:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T01:00:00,2025-01-24T01:00:00,0.4285,407.36622335525476,2.70061099385335,16.819738877829423,424.1859622330842,2.70061099385335,0,0.75,X_uniform75,1200.0,1200.0,421.48535123923085,0.0,0.0,9750.0,9750.0,0.0,-0.0,0.0,41.63631542743582,0.0,0.0,0.0,0.0,9689.960476463973,9643.697903766822,180.60647300601042,0.0,180.60647300601042
2025-01-24,7,2843.3884,2025-01-24T01:10:00,2025-01-24T01:00:00,01:10:00,25,H,0.0,01:10:00,25,H,0.3868,01:10:00,25,H,0.4311,473.89806666666664,0.0,2843.3884,473.89806666666664,2025-01-24T01:10:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T01:10:00,2025-01-24T01:10:00,0.4311,434.8804923953798,3.445244772951057,26.76735109637466,461.6478434917545,3.445244772951057,0,0.75,X_uniform75,1200.0,1200.0,458.2025987188034,0.0,0.0,9750.0,9750.0,0.0,0.0,0.0,15.695467947863222,0.0,0.0,0.0,0.0,9643.697903766822,9626.258494935862,197.53114030767614,0.0,197.53114030767614
2025-01-24,8,2844.8353,2025-01-24T01:20:00,2025-01-24T01:10:00,01:20:00,25,I,0.0,01:20:00,25,I,0.3812,01:20:00,25,I,0.4302,474.1392166666667,0.0,2844.8353,474.1392166666667,2025-01-24T01:20:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T01:20:00,2025-01-24T01:20:00,0.4302,446.2478219025699,4.170400126898761,26.76735109637466,473.0151729989446,4.170400126898761,0,0.75,X_uniform75,1200.0,1200.0,468.84477287204584,0.0,0.0,9750.0,9750.0,0.0,-0.0,0.0,5.294443794620861,0.0,0.0,0.0,0.0,9626.258494935862,9620.375779608506,201.69702128955413,0.0,201.69702128955413
2025-01-24,9,2777.55,2025-01-24T01:30:00,2025-01-24T01:20:00,01:30:00,25,J,0.0,01:30:00,25,J,0.3569,01:30:00,25,J,0.4279,462.925,0.0,2777.55,462.925,2025-01-24T01:30:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T01:30:00,2025-01-24T01:30:00,0.4279,431.59004468751533,4.8280335296093035,26.76735109637466,458.35739578389,4.8280335296093035,0,0.75,X_uniform75,1200.0,1200.0,786.8626955876141,333.3333333333333,0.0,9750.0,10050.0,0.0,1.0,323.9376955876141,0.0,0.0,0.0,0.0,0.0,9620.375779608506,9911.91970563736,336.6985474419401,0.0,336.6985474419401
2025-01-24,10,2879.605,2025-01-24T01:40:00,2025-01-24T01:30:00,01:40:00,25,K,0.0,01:40:00,25,K,0.3801,01:40:00,25,K,0.4312,479.93416666666667,0.0,2879.605,479.93416666666667,2025-01-24T01:40:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24T01:40:00,2025-01-24T01:40:00,0.4312,454.1731454657523,5.369046882431862,26.76735109637466,480.940496562127,5.369046882431862,0,0.75,X_uniform75,1200.0,1200.0,475.57144967969515,0.0,0.0,10050.0,10050.0,0.0,-0.0,0.0,4.36271698697152,0.0,0.0,0.0,0.0,9911.91970563736,9907.072242318502,205.06640910188457,0.0,205.06640910188457
