date,grid_plan_kwh,planned_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,selected_profile,selected_terminal
2025-02-01,39445.270932138454,21579.317933633163,0.0,0.0,21579.317933633163,13840.364227758657,14722.529959306607,5949.260730353069,2258.3636812846144,3690.8970490684546,7268.4231640740745,3366.3843476050797,X_day50,1200.0
2025-02-02,89850.89530579188,57583.59280183575,0.0,0.0,57583.59280183575,21194.831950842425,17113.933319469314,7413.718724418777,7354.544657752111,59.174066666666704,3366.3843476050797,3426.25163728625,X_day50,1200.0
2025-02-03,87628.70344597276,56024.39383036432,0.0,0.0,56024.39383036432,21633.76129826974,18082.72414931118,3860.749797014207,3860.749797014207,0.0,3426.25163728625,2804.72108427215,X_day50,1200.0
2025-02-04,89107.0475505361,56869.490572848525,0.0,0.0,56869.490572848525,23424.014625407584,18911.02018557938,3399.189160707886,3399.189160707886,0.0,2804.72108427215,2874.08959649523,X_day50,1200.0
2025-02-05,87430.1417407451,55637.57317021727,0.0,0.0,55637.57317021727,22815.7305695701,18741.81342951481,2607.7976173564634,2607.7976173564634,0.0,2874.08959649523,2584.0099652029808,X_day50,1200.0
2025-02-06,88824.38441120673,56816.50984081557,6.410854759157814,37.44900807562037,56853.95884889119,22184.530161710045,17772.894440570184,4148.102328159356,4148.102328159356,0.0,2584.0099652029808,2802.4266212196044,X_day50,1200.0
2025-02-07,41897.79562383892,22215.01690020687,0.0,0.0,22215.01690020687,18597.924485203042,15462.790293439972,6956.981765409187,2375.438665501983,4581.543099907204,2802.4266212196044,2359.6805540801497,X_day50,1200.0
2025-02-08,37619.34082726243,19892.239212767377,0.0,0.0,19892.239212767377,18408.844945937482,15108.437397362288,2741.7705620205716,228.54673341780372,2513.2238286027678,2359.6805540801497,2140.4883416880034,X_day50,1200.0
2025-02-09,83182.02642742098,52338.33387018339,1381.4951685301592,9478.888853243327,61817.22272342672,22444.307963875817,18539.338996326256,1103.1366617349108,1103.1366617349108,0.0,2140.4883416880034,1741.0999577026198,X_day50,1200.0
2025-02-10,85148.20952764992,53805.34738250887,0.0,0.0,53805.34738250887,20946.16860016706,16640.272591126206,6515.675935275724,6016.012901942391,499.6630333333337,1741.0999577026198,2103.459929934971,X_day50,1200.0
2025-02-11,82728.16627070511,52067.7618975665,0.0,0.0,52067.7618975665,22354.440438346133,18190.896617079274,3344.025316104924,3195.987016104924,148.03830000000016,2103.459929934971,2010.3489721361852,X_day50,1200.0
2025-02-12,82448.5996659731,51926.655229853575,0.0,0.0,51926.655229853575,22217.14773940236,18104.023292766706,3068.739086004112,2905.3548026707786,163.38428333333331,2010.3489721361852,1890.2005011908554,X_day50,1200.0
2025-02-13,81838.62791056785,51480.47003609277,0.0,0.0,51480.47003609277,20049.49546916931,16001.014240683868,6460.667665415741,5917.550419808538,543.1172456072022,1890.2005011908554,2155.8417115722687,X_day50,1200.0
2025-02-14,35843.32929278212,19117.405628186163,0.0,0.0,19117.405628186163,18034.902923407222,14893.326033049349,2899.9505857575773,344.6596259016694,2555.2909598559077,2155.8417115722687,1839.1143059172693,X_day50,1200.0
2025-02-15,35750.94039386128,18941.74746368844,0.0,0.0,18941.74746368844,17925.420984790915,14802.868488205395,3348.296797275766,99.41859271975204,3248.878204556014,1839.1143059172693,1524.3615386675467,X_day50,1200.0
2025-02-16,79809.63556497061,49703.06453993655,1129.2357236346033,7101.661344149606,56804.72588408616,22877.25152732146,18331.644094173203,1015.8847554569495,1015.8847554569495,0.0,1524.3615386675467,1745.3944752866394,X_day50,1200.0
2025-02-17,78745.12939602295,49065.749717139064,18.91428938728461,86.05055956745134,49151.80027670652,21180.428933748324,17114.986949652528,3514.738534647774,2868.0395013144403,646.6990333333338,1745.3944752866394,1791.1283493795493,X_day50,1200.0
2025-02-18,78157.53136507819,48780.35888639193,44.999999999999886,202.89263333333284,48983.251519725265,21988.686021111476,17638.578338160136,1761.0358987935174,1665.1995880939296,95.83631069958768,1791.1283493795493,1982.5253926463956,X_day50,1200.0
2025-02-19,77728.00902555036,48491.12597044204,103.53882420665059,458.03828061302625,48949.16425105507,22976.38517258929,19160.610025642764,1136.4453194771513,1136.4453194771513,0.0,1982.5253926463956,1371.7053528181277,X_day50,1200.0
2025-02-20,77789.6206071037,48274.41542193832,39.31574272402145,182.5581997526498,48456.97362169097,22580.799663056732,17864.392784534873,2119.395737972528,2111.42015232407,7.975585648458529,1371.7053528181277,1845.0997334193314,X_day50,1200.0
2025-02-21,34903.48000564142,18465.20577043794,0.0,0.0,18465.20577043794,17679.692442179043,14275.550984517346,5939.076514646388,245.87456353936307,5693.201951107025,1845.0997334193314,1895.0996152500884,X_day50,1200.0
2025-02-22,34911.268551919784,18442.591541812595,0.0,0.0,18442.591541812595,17620.69956575792,14262.552275026912,3708.358377855439,126.22471302220333,3582.1336648332353,1895.0996152500884,1906.4489188467564,X_day50,1200.0
2025-02-23,76540.665868525,47445.994769208846,30.2356847067299,136.42752224079982,47582.42229144964,22472.5457274709,18374.65261186105,941.1547542885478,941.1547542885478,0.0,1906.4489188467564,1715.4593937249615,X_day50,1200.0
2025-02-24,75656.81563814203,46790.77372712004,47.33587531348621,213.73214621836945,47004.50587333841,21481.038399546007,17375.07245884039,3395.1519560832326,2427.650056083233,967.5018999999999,1715.4593937249615,1742.7578879381526,X_day50,1200.0
2025-02-25,75844.58369644733,47028.29549150177,91.74812004817215,410.1045604758259,47438.400051977595,20425.561331614597,16289.541738012918,5978.988989560488,4433.149256227155,1545.8397333333337,1742.7578879381526,2026.2722663769407,X_day50,1200.0
2025-02-26,74918.3846747382,46501.408047085555,293.5264067606203,2017.7457335620875,48519.15378064764,20945.4538943623,17077.121695307844,2528.7308491110357,1923.5040824443688,605.2267666666669,2026.2722663769407,1902.6011098498536,X_day50,1200.0
2025-02-27,73943.41690787803,45764.31838475486,63.74118577430083,298.8464703236308,46063.16485507849,23032.686104267337,18533.279992533862,2551.1677819188517,2044.6041819188536,506.5635999999984,1902.6011098498536,2039.4852786528345,X_day50,1200.0
2025-02-28,33716.47609586314,17747.992027598364,0.0,0.0,17747.992027598364,17032.35868259172,13804.371719273016,7195.895582544436,346.2414040447547,6849.654178499682,2039.4852786528345,2030.4172937931412,X_day50,1200.0
2025-03-01,33766.4730244928,17780.57912097453,0.0,0.0,17780.57912097453,16052.840555158824,13045.03204570818,7099.898581708821,50.28067305750676,7049.617908651315,2030.4172937931412,1983.4937426492172,X_day50,1200.0
2025-03-02,73051.97579866949,45077.11692021528,4535.208306124764,30721.800539686534,75798.91745990182,19148.16438937884,15729.388034894826,1810.1006836435654,1810.1006836435654,0.0,1983.4937426492172,1739.7438765403695,X_day50,1200.0
2025-03-03,73934.18293866277,45715.10348767286,3114.71783525687,20038.74845135768,65753.85193903054,21240.962481852144,17366.59338828634,1157.3850470204966,1157.3850470204966,0.0,1739.7438765403695,1560.3952343335982,X_day50,1200.0
2025-03-04,75690.48042348951,46848.62735346296,0.0,0.0,46848.62735346296,22888.634099474144,17975.196151660188,1577.5845423422174,1323.8441402282883,253.74040211392915,1560.3952343335982,2187.7257553490003,X_day50,1200.0
2025-03-05,76149.02691592362,47250.039602959485,3.2866666666666333,14.95268999999985,47264.99229295948,20078.34191800707,16264.926103527096,6208.425751443639,5582.428084776971,625.9976666666671,2187.7257553490003,2186.0933665252583,X_day50,1200.0
2025-03-06,75433.55016488531,46945.43150682651,0.0,0.0,46945.43150682651,19863.59234575765,16214.482910701472,5843.786596495791,4607.230296495791,1236.5562999999997,2186.0933665252583,2047.234354705515,X_day50,1200.0
2025-03-07,33192.00292456765,17558.580729396315,0.0,0.0,17558.580729396315,15351.064607252909,12297.858409602346,9216.511193583756,390.94086921567845,8825.570324368078,2047.234354705515,2198.9053794527445,X_day50,1200.0
2025-03-08,31829.49875696428,17028.145577878335,0.0,0.0,17028.145577878335,15569.856692839354,12403.604376373401,9600.106923831663,524.9964834531461,9075.110440378518,2198.9053794527445,2429.993762593275,X_day50,1200.0
2025-03-09,72508.0729007114,44805.41219272322,0.0,0.0,44805.41219272322,20702.617778946766,16651.67038425447,5123.600456019109,4033.7281510704097,1089.8723049486991,2429.993762593275,2560.4937811404016,X_day50,1200.0
2025-03-10,70800.04256989568,43838.4567788912,733.4412271030225,5115.609307354668,48954.06608624587,20016.151040723864,16914.04206172322,389.3033679980539,389.3033679980539,0.0,2560.4937811404016,1781.6496492105168,X_day50,1200.0
2025-03-11,71823.38886539244,44093.28846111304,0.0,0.0,44093.28846111304,20560.814940558754,16362.645392218743,3686.300517052424,2556.7924170524234,1129.508100000001,1781.6496492105168,2105.665993248128,X_day50,1200.0
