date,grid_plan_kwh,planned_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,selected_profile,selected_terminal
2025-02-01,39382.06324845071,21262.85677330998,0.0,0.0,21262.85677330998,13201.364362064147,14694.853653102651,6497.37660615588,2726.04210615588,3771.3345,7268.4231640740745,2822.03591981775,X_evening85_day60,1200.0
2025-02-02,90434.69374978826,57558.18937202282,0.0,0.0,57558.18937202282,21447.707198818778,17280.773460303273,7911.482061272755,7852.307994606089,59.174066666666704,2822.03591981775,2924.1129984176873,X_evening85_day60,1200.0
2025-02-03,88330.42579661765,56173.465046834855,0.0,0.0,56173.465046834855,21902.30552835675,18147.000319737625,4358.204087998527,4358.204087998527,0.0,2924.1129984176873,2472.854285341401,X_evening85_day60,1200.0
2025-02-04,89673.96286539157,56969.1564531832,0.0,0.0,56969.1564531832,23512.078018184046,18967.595690692884,3934.6165879004025,3934.6165879004025,0.0,2472.854285341401,2558.618178714955,X_evening85_day60,1200.0
2025-02-05,87896.78893014113,55667.71523100202,0.0,0.0,55667.71523100202,22936.934798152193,18883.493160167538,3094.920308823153,3094.920308823153,0.0,2558.618178714955,2220.2004301991105,X_evening85_day60,1200.0
2025-02-06,89341.48891066156,56863.520103276176,6.410854759157814,37.44900807562037,56900.9691113518,22369.574976721036,17923.08428437917,4630.351856412177,4628.95103974551,1.400816666666742,2220.2004301991105,2438.2798154934194,X_evening85_day60,1200.0
2025-02-07,42420.25296605561,22239.12250245731,0.0,0.0,22239.12250245731,18855.926640616806,15711.137215427945,7469.78387420008,2769.5217823520215,4700.26209184806,2438.2798154934194,1951.7946637952696,X_evening85_day60,1200.0
2025-02-08,37784.00881797062,19766.942990759053,0.0,0.0,19766.942990759053,18693.583761553833,15340.902698111484,2854.1650378616073,356.52512835955963,2497.639909502048,1951.7946637952696,1730.5726068476233,X_evening85_day60,1200.0
2025-02-09,83799.60740547051,52427.34577681914,1154.401174358395,7947.253409551862,60374.59918637099,23148.84922090676,18881.440690009553,1131.184082265031,1131.184082265031,0.0,1730.5726068476233,1585.158361208642,X_evening85_day60,1200.0
2025-02-10,85508.89552688945,53794.16074598755,0.0,0.0,53794.16074598755,20881.354397200153,16816.636461822516,7117.540008178479,6617.876974845146,499.6630333333336,1585.158361208642,1693.2256944415437,X_evening85_day60,1200.0
2025-02-11,83414.51244735085,52214.78634133821,0.0,0.0,52214.78634133821,22583.664285149785,18351.27004238131,3961.5210712490334,3782.6778598957244,178.8432113533088,1693.2256944415437,1628.2235039860077,X_evening85_day60,1200.0
2025-02-12,83063.81144415923,52014.32198933889,0.0,0.0,52014.32198933889,22537.06577307718,18235.826687367575,3495.8362251162935,3332.45194178296,163.38428333333331,1628.2235039860077,1649.5530471248267,X_evening85_day60,1200.0
2025-02-13,82348.3634142044,51565.078575275904,0.0,0.0,51565.078575275904,20065.689483827842,16137.835748607597,7091.030662317484,6532.422227546365,558.6084347711192,1649.5530471248267,1777.7449730058884,X_evening85_day60,1200.0
2025-02-14,35971.94872587384,18950.241405814453,0.0,0.0,18950.241405814453,18296.98684970991,15150.87947977856,3024.039539275819,467.0853780276824,2556.9541612481366,1777.7449730058884,1410.7226046575163,X_evening85_day60,1200.0
2025-02-15,35958.17638736728,18817.878409852718,31.726734700055353,67.81883877977087,18885.69724863249,18302.431275867133,15014.619677644147,3422.0004238443476,169.18474499319956,3252.8156788511483,1410.7226046575163,1200.0,X_evening85_day60,1200.0
2025-02-16,80434.83856881825,49797.17119170082,826.5669946752363,5192.822444310056,54989.99363601088,23560.237239584563,18723.42381633719,1047.2130402461025,1047.2130402461025,0.0,1200.0,1600.4092752514518,X_evening85_day60,1200.0
2025-02-17,79269.15674304814,49132.290365018234,18.91428938728461,86.05055956745134,49218.34092458568,21129.56014854717,17228.257856509947,4202.905573731529,3556.206540398196,646.6990333333338,1600.4092752514518,1474.5046794884156,X_evening85_day60,1200.0
2025-02-18,78904.33055837068,48937.460378627824,44.999999999999886,202.89263333333284,49140.35301196116,22144.534422892117,17758.88368317075,2472.292035315975,2376.4557246163877,95.83631069958768,1474.5046794884156,1672.4926787904958,X_evening85_day60,1200.0
2025-02-19,78352.27104600151,48584.02109574612,103.53882420665059,458.03828061302625,49042.05937635914,23374.200235918863,19294.66640478413,1496.9486557400924,1496.9486557400924,0.0,1672.4926787904958,1270.7546635795516,X_evening85_day60,1200.0
2025-02-20,78338.30579206455,48387.377691240574,39.31574272402145,182.5581997526498,48569.93589099322,22534.70302764772,18020.32820534723,2870.112979154742,2729.750342312338,140.36263684240416,1270.7546635795516,1529.4004936322428,X_evening85_day60,1200.0
