month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,unused_grid_kwh,policy
2025-02,1136377.8843320017,151803.18653910546,1288181.070871107,25534.96220022854,54050.43167813505,B0
2025-03,1018651.9644208234,276487.8603177722,1295139.8247385956,49613.18891513535,32864.18535330867,B0
2025-04,836500.6244502033,287843.4274997467,1124344.05194995,51017.162702706635,16997.529322979124,B0
2025-05,835007.7820375098,325577.6479711109,1160585.4300086207,57657.64220054797,12876.253188241239,B0
2025-06,1117385.3011013556,596172.3416217691,1713557.6427231247,104055.36236436912,38212.54866595788,B0
2025-07,1304761.649938045,424558.0086756724,1729319.6586137174,75680.10391850659,46459.77731050576,B0
2025-08,1140962.2467783124,380198.1521107315,1521160.398889044,62687.417099486105,25149.017487666682,B0
2025-09,955684.1956288969,615190.2133341855,1570874.4089630824,103395.02436973139,41987.8780237967,B0
2025-10,975610.9092029216,474695.58185780543,1450306.491060727,82836.18540707558,15806.161928353185,B0
2025-11,1139812.1083983812,396821.4751720529,1536633.5835704342,67151.7133505631,9520.113901308267,B0
2025-12,1527076.9010929153,416503.93036933127,1943580.8314622466,72255.35916654726,36439.253214841025,B0
2025-02,1148866.9593852316,83468.4371991812,1232335.3965844128,13958.65309366666,56132.79162705964,B1
2025-03,1042534.7472761851,201388.39562350468,1243923.1428996897,32104.059140888883,44160.628181687214,B1
2025-04,860379.5024807085,206378.25455984857,1066757.7570405572,32216.308287345662,26374.44072708314,B1
2025-05,842743.9664987866,316520.3118885235,1159264.2783873102,49658.596647769475,16283.21261978992,B1
2025-06,1124712.7147464287,562065.6555013264,1686778.3702477552,95147.76476555168,45669.79537716048,B1
2025-07,1274714.2671029456,581818.7687718222,1856533.0358747677,104389.27763769371,28147.2941373952,B1
2025-08,1174371.1056274993,207533.08403021103,1381904.1896577103,31238.421239999985,25732.950775791258,B1
2025-09,1053889.5629500523,213836.51077227684,1267726.0737223292,34455.141787927954,87128.90389970277,B1
2025-10,1046869.8776715468,177393.4856334569,1224263.3633050036,29398.641728999966,45380.69887242794,B1
2025-11,1173523.4697626184,184199.3884603698,1357722.8582229882,30496.049580987637,19481.3473880658,B1
2025-12,1521051.4030044496,379947.48184623604,1900998.8848506855,66786.67762976133,26159.63749609048,B1
2025-02,1211872.3901153232,2399.049927748167,1214271.4400430715,522.0206828403311,122471.51653571163,P
2025-03,1116976.8384140488,33920.794863129275,1150897.633277178,5254.322860653053,112382.96052214401,P
2025-04,938236.497742668,33086.39256765579,971322.8903103238,5200.5034768341575,89150.31984382808,P
