date,block_start_hour,charge_actual_kwh,discharge_actual_kwh
2025-03-20,0,7727.654094974433,68.10321049189838
2025-03-20,4,1847.660746178638,5053.1651928532165
2025-03-20,8,6235.539697499536,2777.3772166666668
2025-03-20,12,3486.9765979669,419.4472367223657
2025-03-20,16,313.4719426187718,5320.295585788098
2025-03-20,20,681.1165289856212,2950.821055673109
2025-06-21,0,1019.2275927352995,6.160726345257899
2025-06-21,4,559.2830873764947,1980.3661721113315
2025-06-21,8,8552.692422500948,0.0
2025-06-21,12,0.0,0.0
2025-06-21,16,0.0,4755.361533333334
2025-06-21,20,2080.40860173725,2485.896583333333
2025-09-23,0,9025.27332392123,8.769190633760331
2025-09-23,4,1335.336373281001,5886.870498910074
2025-09-23,8,5490.627360258214,1896.6157166666667
2025-09-23,12,4227.92541620328,588.6673885243296
2025-09-23,16,348.83605279111237,5773.910290600557
2025-09-23,20,979.1678654931534,2802.2336909161554
2025-12-21,0,8708.197800933005,17.233948858870008
2025-12-21,4,1455.8412680025403,1362.652644212075
2025-12-21,8,5944.660450354866,6799.9018109284825
2025-12-21,12,6178.304442750729,2235.318644622527
2025-12-21,16,116.35053681639117,5423.083098098004
2025-12-21,20,1116.207089658586,2842.5257666666666
