date,grid_plan_kwh,planned_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,selected_profile,selected_terminal
2025-02-01,39952.83460347636,21508.502170981115,0.0,0.0,21508.502170981115,13067.144881939532,14706.019070985516,7213.532859189013,3241.832862865991,3971.699996323022,7268.4231640740745,2688.8323678357465,day_trim,1200.0
2025-02-02,91202.69209593948,57985.23196910403,0.0,0.0,57985.23196910403,21493.385560213836,17315.352613418676,8668.381199144322,8609.207132477653,59.174066666666704,2688.8323678357465,2793.5986904518936,day_trim,1200.0
2025-02-03,89024.08315543683,56546.702257860205,0.0,0.0,56546.702257860205,21916.780857668455,18091.543623062196,4981.929420830581,4981.929420830581,0.0,2793.5986904518936,2416.9863256177337,day_trim,1200.0
2025-02-04,90299.6454179629,57328.96854490501,0.0,0.0,57328.96854490501,23347.811856720262,18908.65913667883,4665.628747921485,4665.628747921485,0.0,2416.9863256177337,2420.3957336894955,day_trim,1200.0
2025-02-05,88620.696006183,56062.400730975955,0.0,0.0,56062.400730975955,22988.362251663333,18883.13130552809,3767.0380767144297,3767.0380767144297,0.0,2420.3957336894955,2128.6647540441736,day_trim,1200.0
2025-02-06,89966.6816649537,57208.31760950715,6.410854759157814,37.44900807562037,57245.76661758277,22321.99629405847,17941.364599077257,5321.403608064982,5320.002791398315,1.400816666666742,2128.6647540441736,2283.611864166518,day_trim,1200.0
2025-02-07,43001.16269532112,22518.10506999796,0.0,0.0,22518.10506999796,18661.872134833047,15542.341667269913,8075.9525610913215,3060.0796866483233,5015.872874442998,2283.611864166518,1810.028266327466,day_trim,1200.0
2025-02-08,38408.81051300085,20046.38103835703,0.0,0.0,20046.38103835703,18814.296661086562,15332.068410758826,3349.4195460064434,446.3440127950038,2903.0755332114395,1810.028266327466,1707.2636937955579,day_trim,1200.0
2025-02-09,84401.68691128824,52789.98569682541,660.5891072712462,4608.269612324214,57398.25530914963,23679.144552388378,19327.35369968111,1155.0691991855597,1155.0691991855597,0.0,1707.2636937955579,1543.6563468549718,day_trim,1200.0
2025-02-10,86181.29090022609,54201.906372991514,0.0,0.0,54201.906372991514,20847.19091373542,16852.607104960916,7860.069508118251,7360.406474784918,499.6630333333334,1543.6563468549718,1581.0091637047221,day_trim,1200.0
2025-02-11,84169.96321388375,52665.17613119003,0.0,0.0,52665.17613119003,22610.151648733452,18355.864765597395,4695.07919741436,4516.235986061051,178.8432113533088,1581.0091637047221,1534.740352456612,day_trim,1200.0
2025-02-12,83781.14225272283,52434.3096651693,0.0,0.0,52434.3096651693,22552.711055084263,18203.32139420916,4165.016458514383,4001.632175181049,163.38428333333331,1534.740352456612,1606.2676418000447,day_trim,1200.0
2025-02-13,83040.44097358896,51980.696627256824,0.0,0.0,51980.696627256824,20049.212297102014,16167.451642538314,7829.2013023585905,7270.563519025256,558.6377833333337,1606.2676418000447,1686.7235508159565,day_trim,1200.0
2025-02-14,36136.31203000501,19038.886270572344,0.0,0.0,19038.886270572344,18369.83504673818,15148.929967236056,3113.6051338362204,556.6509725880816,2556.954161248139,1686.7235508159565,1387.4306848402573,day_trim,1200.0
