date,grid_plan_kwh,planned_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,selected_profile,selected_terminal
2025-02-01,41251.65834005304,22453.402544735407,0.0,0.0,22453.402544735407,13138.61315282437,14381.539794861344,8116.409048756689,3894.0909487566887,4222.3181,7268.4231640740745,3113.6863406589555,evening_hedge,1200.0
2025-02-02,92061.63269428964,58891.926341718645,0.0,0.0,58891.926341718645,20997.268137332532,17009.28688528433,9717.373492241442,9658.199425574776,59.174066666666704,3113.6863406589555,3112.0200139423155,evening_hedge,1200.0
2025-02-03,89802.77106483687,57339.97504296954,0.0,0.0,57339.97504296954,21375.275449673918,17694.643809337926,5905.222924500877,5905.222924500877,0.0,3112.0200139423155,2689.052574940037,evening_hedge,1200.0
2025-02-04,91108.92250397489,58117.70777783822,0.0,0.0,58117.70777783822,22994.490561949224,18623.11443402111,5542.68242604677,5542.68242604677,0.0,2689.052574940037,2691.7447095597836,evening_hedge,1200.0
2025-02-05,89448.2052122863,56875.874530853725,0.0,0.0,56875.874530853725,22733.075356172667,18654.884281666982,4621.587154447279,4621.587154447279,0.0,2691.7447095597836,2423.8633282629808,evening_hedge,1200.0
2025-02-06,90782.72245187119,58018.990228503986,6.410854759157814,37.44900807562037,58056.4392365796,22047.249603277294,17713.590478882554,6184.416965568939,6183.016148902273,1.400816666666742,2423.8633282629808,2584.62077245416,evening_hedge,1200.0
2025-02-07,43710.83403098974,23159.42574640109,0.0,0.0,23159.42574640109,18110.738709983303,15093.047303865542,8887.46295820531,3475.8973582053086,5411.565600000001,2584.62077245416,2114.2330515885337,evening_hedge,1200.0
2025-02-08,39196.39388403131,20665.64889523759,0.0,0.0,20665.64889523759,18587.516887441096,15033.410364371315,4065.1246442948654,556.5992625208787,3508.5253817739867,2114.2330515885337,2139.2089565396095,evening_hedge,1200.0
2025-02-09,85053.87757463777,53509.85571800304,0.0,0.0,53509.85571800304,23972.00065440018,19695.47624342369,1221.9371969946042,1221.9371969946042,0.0,2139.2089565396095,1830.1470528067766,evening_hedge,1200.0
2025-02-10,86986.73948276218,54992.27182409108,0.0,0.0,54992.27182409108,20593.292141307462,16668.142552875834,8734.95231099721,8235.289277663878,499.6630333333334,1830.1470528067766,1843.9515878992322,evening_hedge,1200.0
2025-02-11,85002.755264225,53462.41599570455,0.0,0.0,53462.41599570455,22361.218255737054,18171.492838171016,5592.432713325628,5413.589501972319,178.8432113533088,1843.9515878992322,1778.5004200947853,evening_hedge,1200.0
2025-02-12,84666.14956248828,53261.31728490497,0.0,0.0,53261.31728490497,22206.994070639106,17913.649833413434,5106.069191929272,4942.684908595939,163.38428333333331,1778.5004200947853,1860.7397132106103,evening_hedge,1200.0
2025-02-13,83854.06435961627,52744.11827428842,0.0,0.0,52744.11827428842,19832.418057817235,16016.668566413391,8708.835851545753,8150.198068212419,558.6377833333339,1860.7397132106103,1913.6175581201328,evening_hedge,1200.0
2025-02-14,36363.54722871474,19399.130636081012,0.0,0.0,19399.130636081012,18205.721816315683,14866.634310273159,3222.6579060055487,667.3669461496388,2555.29095985591,1913.6175581201328,1780.2846258340692,evening_hedge,1200.0
2025-02-15,36088.9483429945,19151.991618408123,0.0,0.0,19151.991618408123,17921.114526336285,14736.381506859876,3624.1242235180925,375.24601896207827,3248.878204556014,1780.2846258340692,1535.5304696924245,evening_hedge,1200.0
2025-02-16,81758.62861215853,50932.887554778616,51.84298032315712,235.85963898020333,51168.74719375882,23605.00105423988,18800.542245340286,1628.6336835820841,1628.6336835820841,0.0,1535.5304696924245,1890.5400347968887,evening_hedge,1200.0
2025-02-17,80598.0218718696,50214.52876318977,18.91428938728461,86.05055956745134,50300.57932275723,20416.929988665226,16681.455942609282,5697.5989485342625,4903.117748534262,794.4812000000005,1890.5400347968887,1730.8259772519511,evening_hedge,1200.0
2025-02-18,80261.07686442493,50042.23837158925,44.999999999999886,202.89263333333284,50245.13100492258,21504.545973827077,17135.183760930006,3845.326868194523,3589.130470520023,256.1963976744998,1730.8259772519511,2045.8242859963175,evening_hedge,1200.0
2025-02-19,79528.96630460263,49614.430983477236,103.53882420665059,458.03828061302625,50072.469264090265,22339.982632805335,18639.755796273454,3052.9509089440658,2917.0185589440657,135.93235000000004,2045.8242859963175,1440.968881883951,evening_hedge,1200.0
2025-02-20,79787.56276440473,49469.45360775289,39.31574272402145,182.5581997526498,49652.011807505536,22243.622709892858,17665.890684460355,4256.01274836292,3864.198265029587,391.81448333333344,1440.968881883951,1831.461893609356,evening_hedge,1200.0
2025-02-21,35102.8140487171,18592.896566161984,0.0,0.0,18592.896566161984,17578.113739394164,14347.212366038102,6311.650642027704,618.4486909206792,5693.201951107025,1831.461893609356,1710.4171856884338,evening_hedge,1200.0
2025-02-22,35321.58935890859,18668.979105600407,0.0,0.0,18668.979105600407,17694.819664178427,14150.805666121949,3932.8124775187807,351.57412723778293,3581.238350280998,1710.4171856884338,1912.6374766468546,evening_hedge,1200.0
2025-02-23,78567.83505344983,48645.35862848553,30.2356847067299,136.42752224079982,48781.78615072633,22610.51454157011,18232.408524606533,2688.111037859651,2688.111037859651,0.0,1912.6374766468546,2003.8688700526966,evening_hedge,1200.0
2025-02-24,77355.17990076002,47855.95644098043,47.33587531348621,213.73214621836945,48069.6885871988,21053.410264625745,17138.958374074384,5285.030268855472,4317.528368855472,967.5018999999999,2003.8688700526966,1908.6510259109987,evening_hedge,1200.0
2025-02-25,77667.57407480439,48149.80903871474,91.74812004817215,410.1045604758259,48559.913599190564,19917.39341153818,16242.388033272087,8262.993583253134,6655.358142035408,1607.6354412177257,1908.6510259109987,1787.207281548603,evening_hedge,1200.0
2025-02-26,77027.39992381699,47673.69588222826,12.319999999999936,56.04983999999971,47729.74572222826,21696.895116065403,17085.700834864496,3613.677609282753,2851.756047577697,761.9215617050562,1787.207281548603,2330.3008472691376,evening_hedge,1200.0
2025-02-27,75353.88069977866,46638.121949642526,63.74118577430083,298.8464703236308,46936.96841996616,22485.133866411812,18494.311898537846,4470.2157176789915,3963.6521176789934,506.5635999999984,2330.3008472691376,2017.685884219938,evening_hedge,1200.0
2025-02-28,33941.99217180172,17919.450707522188,0.0,0.0,17919.450707522188,16924.317058858105,13894.108627390724,7619.1901903343405,769.5360118346589,6849.654178499682,2017.685884219938,1811.6727623136512,evening_hedge,1200.0
2025-03-01,34207.2717275874,18033.356357866156,0.0,0.0,18033.356357866156,16212.779733175705,13010.15413121634,7345.880192294702,299.98658679089255,7045.89360550381,1811.6727623136512,1947.4477097091853,evening_hedge,1200.0
2025-03-02,74978.55139202978,46151.778096971786,2884.19033037446,19572.626439904863,65724.40453687665,20752.79253823809,17067.597970133123,1819.2400876326124,1819.2400876326124,0.0,1947.4477097091853,1660.963249531108,evening_hedge,1200.0
2025-03-03,75951.60188653354,46874.06867009238,1461.6607833042633,8880.08732312872,55754.15599322111,22908.115913628353,18700.61139435601,1188.6115172321236,1188.6115172321236,0.0,1660.963249531108,1499.8104669566249,evening_hedge,1200.0
2025-03-04,77833.85703610664,48097.21028339775,0.0,0.0,48097.21028339775,22520.95153661608,17820.99216740003,3934.439733557252,3484.344783557252,450.0949500000004,1499.8104669566249,1967.5644416888429,evening_hedge,1200.0
2025-03-05,78375.5074603624,48546.68554505978,3.2866666666666333,14.95268999999985,48561.63823505978,20136.66195012434,16307.301486599867,8418.961646837919,7792.963980171253,625.9976666666671,1967.5644416888429,1971.3363228008982,evening_hedge,1200.0
2025-03-06,77679.76896441479,48282.34061816214,0.0,0.0,48282.34061816214,19666.313132063333,15965.712167451202,8038.513866469327,6801.9575664693275,1236.5562999999997,1971.3363228008982,1931.337955601014,evening_hedge,1200.0
2025-03-07,33581.80545917841,17823.584091862307,0.0,0.0,17823.584091862307,15313.217934161255,12312.167343125113,9658.469334808935,832.8990104408576,8825.570324368078,1931.337955601014,2033.048159540459,evening_hedge,1200.0
2025-03-08,32279.75048410143,17304.790449590637,0.0,0.0,17304.790449590637,15633.660005093358,12474.37211859526,10057.323080936667,982.2126405581517,9075.110440378516,2033.048159540459,2242.928699018639,evening_hedge,1200.0
