policy,profile,days
R_cost,anchor,2
R_cost,day_trim,158
R_cost,evening_hedge,63
R_cost,morning_hedge,3
R_cost,rebalance,26
R_cost,soft,26
R_cost,strong,56
R_guard,anchor,326
R_guard,morning_hedge,1
R_guard,rebalance,1
R_guard,soft,3
R_guard,strong,3
R_mean,anchor,273
R_mean,morning_hedge,16
R_mean,rebalance,4
R_mean,soft,21
R_mean,strong,20
R_w28,anchor,318
R_w28,rebalance,4
R_w28,soft,6
R_w28,strong,6
T_day_trim,day_trim,334
T_evening_hedge,evening_hedge,334
T_morning_hedge,morning_hedge,334
T_rebalance,rebalance,334
T_soft,soft,334
T_strong,strong,334
