date,block_start_minute,charge_actual_kwh,discharge_actual_kwh,block_end_minute
2025-03-20,0,2842.0738125665503,385.72771590057334,240
2025-03-20,240,970.4231320603789,6001.376815713945,480
2025-03-20,480,5447.6985351676285,2449.9586439971795,720
2025-03-20,720,5533.440703515504,254.72278333333327,960
2025-03-20,960,71.92602656946121,5691.364795985887,1200
2025-03-20,1200,7238.472204780704,3038.613576258935,1440
2025-06-21,0,259.79076417704346,2189.352081824102,240
2025-06-21,240,411.5444084762955,4543.487019410388,480
2025-06-21,480,10198.045249980236,0.0,720
2025-06-21,720,0.0,0.0,960
2025-06-21,960,100.52294889521318,5769.702532112324,1200
2025-06-21,1200,8522.247192209146,2545.130302464578,1440
2025-09-23,0,4525.21246291488,200.49179013872242,240
2025-09-23,240,1032.593698869789,6606.88207290912,480
2025-09-23,480,5599.96995230348,1896.6157166666667,720
2025-09-23,720,5380.1678878036555,443.57747812649245,960
2025-09-23,960,22.03145358579866,6162.277865111735,1200
2025-09-23,1200,5534.549126381373,2482.72481832364,1440
2025-12-21,0,5168.852233197679,135.70893329029684,240
2025-12-21,240,1430.6821343044912,1580.707082985345,480
2025-12-21,480,5698.3351932714995,7351.757881545873,720
2025-12-21,720,7434.140890958378,2469.595872952719,960
2025-12-21,960,35.277110681653426,5787.399648814231,1200
2025-12-21,1200,5476.1260340064455,2851.7333895145084,1440
