month,total_cost_yuan,contract_cost_yuan,emergency_cost_yuan,policy
2025-02,1339651.6551406337,1197319.8046913852,142331.8504492485,q42_fixed
2025-03,1274710.7679235556,1016965.8281204421,257744.93980311355,q42_fixed
2025-04,1086898.9234084878,818310.922648648,268588.0007598399,q42_fixed
2025-05,1123702.6205059404,819268.4930663077,304434.1274396326,q42_fixed
2025-06,1795764.9925275643,1195232.0351526851,600532.9573748792,q42_fixed
2025-07,1986730.677633206,1498642.4585451554,488088.2190880506,q42_fixed
2025-08,1710964.3644382535,1272755.195046668,438209.1693915856,q42_fixed
2025-09,1561373.2075603022,966561.6621042375,594811.5454560646,q42_fixed
2025-10,1423448.2449314373,972485.8039091879,450962.4410222494,q42_fixed
2025-11,1565251.2002713117,1188832.1473951214,376419.0528761905,q42_fixed
2025-12,2205246.0273327134,1729882.6109908456,475363.41634186765,q42_fixed
2025-02,1343213.5788555923,1199314.15744189,143899.42141370208,q42_ols
2025-03,1272745.4276086793,1020112.9837155788,252632.44389310046,q42_ols
2025-04,1090327.9417673245,820406.7348915741,269921.2068757504,q42_ols
2025-05,1126505.7419273525,821917.2164047349,304588.5255226177,q42_ols
2025-06,1792441.922248498,1193970.387063222,598471.535185276,q42_ols
2025-07,1957871.9536409634,1494587.594345227,463284.3592957364,q42_ols
2025-08,1687247.3714529728,1268731.9306588192,418515.4407941537,q42_ols
2025-09,1564103.4485299939,967680.4449125198,596423.0036174741,q42_ols
2025-10,1425814.5795170516,975205.3255665706,450609.2539504808,q42_ols
2025-11,1563868.4101906838,1190320.5155317995,373547.8946588843,q42_ols
2025-12,2206741.3216356793,1730936.3801651716,475804.9414705078,q42_ols
2025-02,1335558.2614734047,1188135.5540278899,147422.70744551503,q42_perfect
2025-03,1271576.323366684,1007264.0143683176,264312.3089983664,q42_perfect
2025-04,1086034.8115574385,808680.7190973767,277354.0924600619,q42_perfect
2025-05,1122064.2625753577,809254.9052349292,312809.35734042845,q42_perfect
2025-06,1781451.4210465616,1179377.2878721547,602074.133174407,q42_perfect
2025-07,1971875.6167846776,1481785.868754614,490089.7480300637,q42_perfect
2025-08,1701708.5083918509,1256383.0891101232,445325.4192817276,q42_perfect
2025-09,1560779.5516270082,955287.599631275,605491.9519957333,q42_perfect
2025-10,1421642.366155666,963160.1132303724,458482.2529252936,q42_perfect
2025-11,1564875.0418413775,1177310.1147105836,387564.92713079404,q42_perfect
2025-12,2196097.914265797,1719266.7814620065,476831.1328037907,q42_perfect
2025-02,1375138.1606860112,1212520.9748376617,162617.18584834953,q43_no_update_ols
2025-03,1263164.2028858678,1046359.5295127408,216804.67337312698,q43_no_update_ols
2025-04,1071801.5543134443,832918.5595691539,238882.99474429036,q43_no_update_ols
2025-05,1181395.8739549466,821249.371579444,360146.5023755026,q43_no_update_ols
2025-06,1603743.5877318394,1245560.7315894237,358182.85614241567,q43_no_update_ols
2025-07,2225303.6707570124,1500368.462139841,724935.2086171714,q43_no_update_ols
2025-08,1610567.3972290566,1318718.4492151388,291848.9480139179,q43_no_update_ols
2025-09,1383406.540150844,1023190.1162044032,360216.42394644074,q43_no_update_ols
2025-10,1292291.2116739522,1031874.1263528838,260417.08532106824,q43_no_update_ols
2025-11,1482564.747236245,1219803.4480865367,262761.2991497084,q43_no_update_ols
2025-12,2153080.259613124,1749091.492389006,403988.7672241181,q43_no_update_ols
2025-02,1274978.0194994651,1245106.8541299747,29871.16536949054,q43_all_A_ols
2025-03,1116640.513433991,1097142.503645833,19498.009788158044,q43_all_A_ols
2025-04,922756.9154845229,882436.0822655988,40320.83321892412,q43_all_A_ols
2025-05,976697.749591719,895072.0604455046,81625.6891462144,q43_all_A_ols
2025-06,1422422.070184401,1331350.4843168235,91071.58586757755,q43_all_A_ols
2025-07,1787303.344073384,1636550.7597141657,150752.58435921837,q43_all_A_ols
2025-08,1434562.9326268667,1377876.330424113,56686.60220275358,q43_all_A_ols
2025-09,1196269.0867880324,1109244.1512352885,87024.93555274396,q43_all_A_ols
2025-10,1153985.3700049957,1095509.3294668996,58476.04053809593,q43_all_A_ols
2025-11,1314927.3306415954,1292744.010519049,22183.32012254656,q43_all_A_ols
2025-12,1933519.3100740754,1832818.452732955,100700.8573411201,q43_all_A_ols
2025-02,1277302.5274994753,1254024.351496521,23278.17600295417,q43_all_B_ols
2025-03,1116889.254038539,1099531.0801666465,17358.17387189247,q43_all_B_ols
2025-04,925191.8286001215,885619.2576949468,39572.570905174696,q43_all_B_ols
2025-05,975085.9114608753,894588.3208830595,80497.59057781576,q43_all_B_ols
2025-06,1421555.2305958879,1330725.5210138895,90829.70958199825,q43_all_B_ols
2025-07,1798549.9881571054,1647257.7687471074,151292.21940999804,q43_all_B_ols
2025-08,1431772.2557995946,1376758.0345165832,55014.22128301146,q43_all_B_ols
2025-09,1189071.8690356412,1104727.4278608512,84344.44117479002,q43_all_B_ols
2025-10,1151233.8085822335,1094198.1261941097,57035.68238812371,q43_all_B_ols
2025-11,1318279.6902751185,1298597.8375717092,19681.852703409168,q43_all_B_ols
2025-12,1932376.9138815305,1833559.1458728905,98817.7680086401,q43_all_B_ols
2025-02,1274980.8493813805,1245109.6840118899,29871.165369490547,q43_all_A_hold0
2025-03,1116613.0115259315,1097115.0017377734,19498.00978815806,q43_all_A_hold0
2025-04,922690.5521863415,882439.6714552946,40250.88073104691,q43_all_A_hold0
2025-05,976696.5062622678,895070.8171160534,81625.6891462144,q43_all_A_hold0
2025-06,1422430.307455208,1331358.7215876305,91071.58586757755,q43_all_A_hold0
2025-07,1787296.933942399,1636544.3495831806,150752.5843592184,q43_all_A_hold0
2025-08,1434559.210242896,1377872.6080401426,56686.60220275356,q43_all_A_hold0
2025-09,1196304.914011025,1109279.9784582811,87024.93555274396,q43_all_A_hold0
2025-10,1153971.0938523216,1095495.0533142257,58476.04053809594,q43_all_A_hold0
2025-11,1314913.997975413,1292730.5537699582,22183.444205454907,q43_all_A_hold0
2025-12,1933519.8130912578,1832818.9557501378,100700.85734112009,q43_all_A_hold0
2025-02,1271142.7753684137,1242196.9794020788,28945.795966334874,q43_all_A_fixed
2025-03,1115760.8917125282,1095334.570225011,20426.321487517125,q43_all_A_fixed
2025-04,920896.7878403405,880586.9185478837,40309.86929245683,q43_all_A_fixed
2025-05,972051.6384067718,891101.6824166677,80949.95599010414,q43_all_A_fixed
2025-06,1423825.7017493194,1330567.5595204788,93258.14222884073,q43_all_A_fixed
2025-07,1792142.349633462,1639184.2142259507,152958.13540751138,q43_all_A_fixed
2025-08,1435743.8138966446,1377390.6269946394,58353.18690200516,q43_all_A_fixed
2025-09,1194708.8269392163,1107409.2502548245,87299.57668439184,q43_all_A_fixed
2025-10,1151452.2978950331,1093283.2941380069,58169.003757026265,q43_all_A_fixed
2025-11,1312804.9233803556,1291386.2171799834,21418.706200372213,q43_all_A_fixed
2025-12,1937349.6038171113,1833570.0402352295,103779.56358188183,q43_all_A_fixed
2025-02,1265889.3064888911,1234871.4472826817,31017.859206209494,q43_all_A_perfect
2025-03,1106274.7546179637,1085557.9219572928,20716.83266067086,q43_all_A_perfect
2025-04,912352.1299595676,871205.3177253851,41146.81223418254,q43_all_A_perfect
2025-05,964584.4606818882,877969.7617210334,86614.69896085485,q43_all_A_perfect
2025-06,1414688.0752604573,1315375.9369216284,99312.13833882895,q43_all_A_perfect
2025-07,1780700.7442849753,1622460.074315976,158240.66996899925,q43_all_A_perfect
2025-08,1427335.9885589657,1367034.5872918228,60301.40126714286,q43_all_A_perfect
2025-09,1185467.88124702,1097269.645751995,88198.23549502512,q43_all_A_perfect
2025-10,1143194.1678035732,1084681.3224165824,58512.84538699084,q43_all_A_perfect
2025-11,1304177.6550711843,1281921.29362239,22256.361448794436,q43_all_A_perfect
2025-12,1924045.3776164448,1821809.9699200136,102235.4076964314,q43_all_A_perfect
