date,interval_start,interval_end,intervals,emergency_kwh
2025-02-01,2025-02-01 20:40:00,2025-02-01 20:50:00,1,55.34420707452557
2025-02-01,2025-02-01 21:10:00,2025-02-01 21:40:00,3,27.96047818886759
2025-02-02,2025-02-02 20:30:00,2025-02-02 20:40:00,1,164.77252824356572
2025-02-03,2025-02-03 20:30:00,2025-02-03 20:40:00,1,516.3713980510875
2025-02-04,2025-02-04 20:30:00,2025-02-04 20:50:00,2,43.15123681178363
2025-02-05,2025-02-05 20:30:00,2025-02-05 20:50:00,2,518.8714381562468
2025-02-06,2025-02-06 20:30:00,2025-02-06 20:40:00,1,27.81403469210227
2025-02-06,2025-02-06 21:10:00,2025-02-06 21:20:00,1,21.086153844159707
2025-02-07,2025-02-07 20:40:00,2025-02-07 21:10:00,3,227.10528446502008
2025-02-08,2025-02-08 20:40:00,2025-02-08 20:50:00,1,453.0185973621342
2025-02-08,2025-02-08 21:30:00,2025-02-08 21:40:00,1,199.58731534232948
2025-02-09,2025-02-09 06:20:00,2025-02-09 06:30:00,1,35.50333333333333
2025-02-09,2025-02-09 10:00:00,2025-02-09 10:50:00,5,447.85918434917164
2025-02-09,2025-02-09 20:00:00,2025-02-09 20:20:00,2,1092.0124767796497
2025-02-09,2025-02-09 20:30:00,2025-02-09 21:10:00,4,734.1219840498558
2025-02-09,2025-02-09 21:20:00,2025-02-09 21:40:00,2,43.26267795729698
2025-02-10,2025-02-10 20:30:00,2025-02-10 21:00:00,3,330.23647268507943
2025-02-10,2025-02-10 21:20:00,2025-02-10 21:50:00,3,67.14473420952204
2025-02-11,2025-02-11 06:00:00,2025-02-11 06:10:00,1,50.592029297505746
2025-02-11,2025-02-11 06:20:00,2025-02-11 06:30:00,1,20.420000000000073
2025-02-11,2025-02-11 20:30:00,2025-02-11 21:40:00,7,806.3184939816391
2025-02-12,2025-02-12 06:00:00,2025-02-12 06:10:00,1,34.22442430961155
2025-02-12,2025-02-12 20:30:00,2025-02-12 21:50:00,8,716.0700163838225
2025-02-13,2025-02-13 05:50:00,2025-02-13 06:10:00,2,10.813058021910933
2025-02-13,2025-02-13 20:30:00,2025-02-13 21:10:00,4,476.5205716885142
2025-02-13,2025-02-13 21:30:00,2025-02-13 21:50:00,2,20.120250546268267
2025-02-14,2025-02-14 07:30:00,2025-02-14 08:30:00,6,753.6044329340518
2025-02-14,2025-02-14 20:30:00,2025-02-14 20:50:00,2,669.9411919843507
2025-02-14,2025-02-14 21:20:00,2025-02-14 21:40:00,2,24.83617056077055
2025-02-15,2025-02-15 07:30:00,2025-02-15 08:20:00,5,659.2202604318632
2025-02-15,2025-02-15 20:30:00,2025-02-15 21:50:00,8,926.6159308363896
2025-02-16,2025-02-16 05:50:00,2025-02-16 06:10:00,2,91.1114666666665
2025-02-16,2025-02-16 10:00:00,2025-02-16 10:50:00,5,702.724362283453
2025-02-16,2025-02-16 20:20:00,2025-02-16 20:40:00,2,1180.7886865517153
2025-02-16,2025-02-16 21:40:00,2025-02-16 21:50:00,1,14.90672508584712
2025-02-17,2025-02-17 06:00:00,2025-02-17 06:10:00,1,23.75683333333336
2025-02-17,2025-02-17 06:20:00,2025-02-17 06:30:00,1,11.56166666666661
2025-02-17,2025-02-17 20:10:00,2025-02-17 20:40:00,3,834.6433401277541
2025-02-17,2025-02-17 21:30:00,2025-02-17 21:40:00,1,12.904839922944824
2025-02-18,2025-02-18 06:00:00,2025-02-18 06:20:00,2,52.656733333333364
2025-02-18,2025-02-18 20:20:00,2025-02-18 20:40:00,2,801.7833984554748
2025-02-19,2025-02-19 05:50:00,2025-02-19 06:10:00,2,62.400049999999965
2025-02-19,2025-02-19 09:40:00,2025-02-19 10:40:00,6,585.4537878562248
2025-02-19,2025-02-19 20:30:00,2025-02-19 22:00:00,9,817.9652978280375
2025-02-20,2025-02-20 05:50:00,2025-02-20 06:10:00,2,71.0108666666664
2025-02-20,2025-02-20 10:40:00,2025-02-20 10:50:00,1,24.34877841178952
2025-02-20,2025-02-20 20:10:00,2025-02-20 21:20:00,7,847.3708459344666
2025-02-21,2025-02-21 07:20:00,2025-02-21 08:30:00,7,909.2412285748007
2025-02-21,2025-02-21 20:40:00,2025-02-21 21:20:00,4,503.24582526509084
2025-02-21,2025-02-21 21:40:00,2025-02-21 21:50:00,1,3.8019685528751666
2025-02-22,2025-02-22 07:20:00,2025-02-22 08:20:00,6,870.3857423243196
2025-02-22,2025-02-22 20:30:00,2025-02-22 20:50:00,2,502.9486521027991
2025-02-22,2025-02-22 21:30:00,2025-02-22 21:50:00,2,198.1090306995773
2025-02-23,2025-02-23 05:50:00,2025-02-23 06:10:00,2,84.42690000000005
2025-02-23,2025-02-23 10:00:00,2025-02-23 10:40:00,4,251.98529446865496
2025-02-23,2025-02-23 20:30:00,2025-02-23 20:40:00,1,594.3779660595628
2025-02-23,2025-02-23 21:00:00,2025-02-23 21:30:00,3,54.7538902534116
