date,interval_start,interval_end,intervals,emergency_kwh
2025-02-05,2025-02-05 20:30:00,2025-02-05 20:40:00,1,54.130662396002776
2025-02-07,2025-02-07 20:50:00,2025-02-07 21:10:00,2,44.89061695173494
2025-02-07,2025-02-07 21:30:00,2025-02-07 21:40:00,1,92.22127996069713
2025-02-08,2025-02-08 20:30:00,2025-02-08 20:50:00,2,248.81567698740525
2025-02-09,2025-02-09 20:50:00,2025-02-09 21:10:00,2,28.977908490919432
2025-02-09,2025-02-09 21:20:00,2025-02-09 21:40:00,2,36.952298756941374
2025-02-10,2025-02-10 05:50:00,2025-02-10 06:00:00,1,23.44464797936098
2025-02-10,2025-02-10 06:20:00,2025-02-10 06:30:00,1,16.68827753991377
2025-02-10,2025-02-10 21:30:00,2025-02-10 21:50:00,2,22.302046576832208
2025-02-11,2025-02-11 06:00:00,2025-02-11 06:10:00,1,24.393889506048254
2025-02-11,2025-02-11 06:20:00,2025-02-11 06:30:00,1,20.420000000000073
2025-02-11,2025-02-11 10:00:00,2025-02-11 10:40:00,4,318.25813230912746
2025-02-11,2025-02-11 20:30:00,2025-02-11 21:40:00,7,353.04722830284345
2025-02-12,2025-02-12 06:00:00,2025-02-12 06:10:00,1,6.113261162665822
2025-02-12,2025-02-12 06:20:00,2025-02-12 06:30:00,1,32.49333333333334
2025-02-12,2025-02-12 20:30:00,2025-02-12 21:50:00,8,215.53923797127038
2025-02-13,2025-02-13 06:10:00,2025-02-13 06:30:00,2,54.16402169373612
2025-02-13,2025-02-13 20:30:00,2025-02-13 21:10:00,4,180.025587835382
2025-02-13,2025-02-13 21:30:00,2025-02-13 21:40:00,1,17.913921874438756
2025-02-14,2025-02-14 08:00:00,2025-02-14 08:30:00,3,174.36604876158307
2025-02-14,2025-02-14 20:40:00,2025-02-14 20:50:00,1,68.53056103359611
2025-02-14,2025-02-14 21:20:00,2025-02-14 21:40:00,2,24.83617056077055
2025-02-15,2025-02-15 08:10:00,2025-02-15 08:20:00,1,13.443541683618989
2025-02-15,2025-02-15 20:30:00,2025-02-15 21:50:00,8,351.76675131015435
2025-02-16,2025-02-16 05:50:00,2025-02-16 06:10:00,2,63.152463581022175
2025-02-16,2025-02-16 06:20:00,2025-02-16 06:30:00,1,43.1099999999999
2025-02-16,2025-02-16 10:10:00,2025-02-16 10:50:00,4,567.4620399911219
2025-02-16,2025-02-16 20:30:00,2025-02-16 20:40:00,1,34.32532360454377
2025-02-16,2025-02-16 21:40:00,2025-02-16 21:50:00,1,14.13125972154262
2025-02-17,2025-02-17 05:50:00,2025-02-17 06:10:00,2,28.6288067368954
2025-02-17,2025-02-17 06:20:00,2025-02-17 06:30:00,1,11.56166666666661
2025-02-17,2025-02-17 20:30:00,2025-02-17 20:40:00,1,201.3347626421962
2025-02-17,2025-02-17 21:30:00,2025-02-17 21:40:00,1,12.904839922944621
2025-02-18,2025-02-18 05:50:00,2025-02-18 06:10:00,2,48.95164796638619
2025-02-18,2025-02-18 06:20:00,2025-02-18 06:30:00,1,10.793333333333294
2025-02-18,2025-02-18 20:30:00,2025-02-18 20:40:00,1,24.808601719207786
2025-02-19,2025-02-19 05:50:00,2025-02-19 06:10:00,2,36.802683041409296
2025-02-19,2025-02-19 06:20:00,2025-02-19 06:30:00,1,77.96624999999995
2025-02-19,2025-02-19 09:50:00,2025-02-19 10:40:00,5,287.028147489048
2025-02-19,2025-02-19 20:30:00,2025-02-19 21:50:00,8,222.3690695773746
2025-02-20,2025-02-20 05:50:00,2025-02-20 06:20:00,3,95.50084869606428
2025-02-20,2025-02-20 10:30:00,2025-02-20 10:50:00,2,94.90013211207238
2025-02-20,2025-02-20 20:50:00,2025-02-20 21:20:00,3,49.521388616150624
2025-02-21,2025-02-21 21:00:00,2025-02-21 21:20:00,2,45.95283866617844
2025-02-21,2025-02-21 21:40:00,2025-02-21 21:50:00,1,2.708638491405793
2025-02-22,2025-02-22 08:10:00,2025-02-22 08:20:00,1,39.61914078891857
2025-02-23,2025-02-23 06:00:00,2025-02-23 06:20:00,2,43.72907086525424
2025-02-23,2025-02-23 20:30:00,2025-02-23 20:40:00,1,21.652590547512204
2025-02-23,2025-02-23 21:00:00,2025-02-23 21:30:00,3,54.7538902534116
2025-02-23,2025-02-23 21:40:00,2025-02-23 21:50:00,1,4.591248589473503
2025-02-24,2025-02-24 06:00:00,2025-02-24 06:20:00,2,75.644242895645
2025-02-24,2025-02-24 21:40:00,2025-02-24 21:50:00,1,24.439571796924337
2025-02-25,2025-02-25 05:50:00,2025-02-25 06:30:00,4,81.12561452125942
2025-02-25,2025-02-25 20:50:00,2025-02-25 21:50:00,6,106.62492825794695
2025-02-26,2025-02-26 06:00:00,2025-02-26 06:30:00,3,58.47377311127525
2025-02-27,2025-02-27 05:50:00,2025-02-27 06:20:00,3,46.530285197165426
2025-02-27,2025-02-27 09:50:00,2025-02-27 10:20:00,3,130.74385353826437
2025-02-27,2025-02-27 20:30:00,2025-02-27 20:50:00,2,126.4305251495224
2025-02-27,2025-02-27 21:20:00,2025-02-27 21:40:00,2,46.167665727181905
2025-02-28,2025-02-28 20:40:00,2025-02-28 21:50:00,7,272.4121802730174
2025-03-01,2025-03-01 20:30:00,2025-03-01 21:20:00,5,247.81233307162267
2025-03-02,2025-03-02 20:50:00,2025-03-02 21:10:00,2,7.553203926511607
2025-03-02,2025-03-02 21:20:00,2025-03-02 21:40:00,2,69.76767191359765
2025-03-03,2025-03-03 20:40:00,2025-03-03 21:40:00,6,175.21348665316282
2025-03-04,2025-03-04 06:00:00,2025-03-04 06:10:00,1,0.6247333333333245
2025-03-04,2025-03-04 21:40:00,2025-03-04 21:50:00,1,2.05607662481882
2025-03-05,2025-03-05 05:50:00,2025-03-05 06:10:00,2,6.6182999999999765
2025-03-05,2025-03-05 20:30:00,2025-03-05 20:50:00,2,85.97825318100797
2025-03-05,2025-03-05 21:10:00,2025-03-05 21:30:00,2,16.20895850266497
2025-03-07,2025-03-07 21:30:00,2025-03-07 21:50:00,2,18.52207565253668
2025-03-08,2025-03-08 07:00:00,2025-03-08 08:00:00,6,123.41348311429056
2025-03-09,2025-03-09 09:50:00,2025-03-09 10:10:00,2,16.243705965268575
2025-03-10,2025-03-10 09:40:00,2025-03-10 10:20:00,4,208.38352046991986
2025-03-10,2025-03-10 20:30:00,2025-03-10 20:40:00,1,76.92493426689907
2025-03-12,2025-03-12 20:30:00,2025-03-12 20:40:00,1,1.2492721867478167
2025-03-12,2025-03-12 21:00:00,2025-03-12 21:10:00,1,8.93237454455393
2025-03-13,2025-03-13 20:30:00,2025-03-13 20:50:00,2,259.1969391345338
2025-03-14,2025-03-14 06:50:00,2025-03-14 07:10:00,2,57.88069270779221
2025-03-14,2025-03-14 20:40:00,2025-03-14 20:50:00,1,153.6008024285295
2025-03-15,2025-03-15 07:20:00,2025-03-15 07:30:00,1,29.393160108963684
2025-03-15,2025-03-15 07:40:00,2025-03-15 07:50:00,1,20.30522056367166
2025-03-15,2025-03-15 20:40:00,2025-03-15 21:50:00,7,314.9861803376942
2025-03-16,2025-03-16 05:50:00,2025-03-16 06:00:00,1,1.6399999999999864
2025-03-17,2025-03-17 08:50:00,2025-03-17 09:20:00,3,88.96118732828714
2025-03-20,2025-03-20 09:10:00,2025-03-20 10:00:00,5,327.41857266948693
2025-03-21,2025-03-21 06:30:00,2025-03-21 07:00:00,3,81.75447568978478
2025-03-21,2025-03-21 07:20:00,2025-03-21 07:40:00,2,21.37215980651256
2025-03-21,2025-03-21 20:40:00,2025-03-21 20:50:00,1,132.8187958517501
2025-03-21,2025-03-21 21:00:00,2025-03-21 21:50:00,5,167.89761633588148
2025-03-23,2025-03-23 20:30:00,2025-03-23 20:40:00,1,127.78682298409478
2025-03-23,2025-03-23 20:50:00,2025-03-23 21:10:00,2,27.14113948423924
2025-03-24,2025-03-24 09:20:00,2025-03-24 09:40:00,2,58.094931586006915
2025-03-25,2025-03-25 09:50:00,2025-03-25 10:40:00,5,193.84186108789308
2025-03-25,2025-03-25 20:30:00,2025-03-25 20:40:00,1,119.42561029556566
2025-03-25,2025-03-25 20:50:00,2025-03-25 21:30:00,4,131.46308642859972
2025-03-26,2025-03-26 20:30:00,2025-03-26 20:40:00,1,109.42326178869325
2025-03-27,2025-03-27 09:10:00,2025-03-27 09:40:00,3,151.49665999205035
2025-03-28,2025-03-28 21:30:00,2025-03-28 21:40:00,1,1.7905896959176855
2025-03-29,2025-03-29 20:40:00,2025-03-29 21:30:00,5,271.81284550743914
2025-03-31,2025-03-31 20:30:00,2025-03-31 20:40:00,1,35.069200817301635
2025-03-31,2025-03-31 20:50:00,2025-03-31 21:10:00,2,31.72471085283523
2025-03-31,2025-03-31 21:20:00,2025-03-31 21:50:00,3,51.077060144295636
2025-04-01,2025-04-01 20:30:00,2025-04-01 20:50:00,2,107.06020184860051
2025-04-01,2025-04-01 21:40:00,2025-04-01 21:50:00,1,31.096016967467584
2025-04-02,2025-04-02 20:30:00,2025-04-02 21:50:00,8,306.11468641654835
2025-04-03,2025-04-03 20:30:00,2025-04-03 20:40:00,1,193.10665693469423
2025-04-03,2025-04-03 21:00:00,2025-04-03 21:20:00,2,9.272606223242496
2025-04-04,2025-04-04 06:50:00,2025-04-04 07:00:00,1,76.81193615208795
