date,interval_start,interval_end,intervals,emergency_kwh
2025-02-02,2025-02-02 06:30:00,2025-02-02 06:40:00,1,28.455283856732194
2025-02-03,2025-02-03 06:20:00,2025-02-03 06:40:00,2,47.399227197401046
2025-02-05,2025-02-05 20:30:00,2025-02-05 20:40:00,1,54.13066239600357
2025-02-07,2025-02-07 21:30:00,2025-02-07 21:40:00,1,131.74843115215248
2025-02-08,2025-02-08 20:40:00,2025-02-08 20:50:00,1,248.8156769874054
2025-02-09,2025-02-09 20:50:00,2025-02-09 21:10:00,2,29.723194701442523
2025-02-09,2025-02-09 21:20:00,2025-02-09 21:40:00,2,36.95229875694149
2025-02-10,2025-02-10 06:20:00,2025-02-10 06:30:00,1,16.68827753991377
2025-02-10,2025-02-10 21:30:00,2025-02-10 21:50:00,2,22.730134984738854
2025-02-11,2025-02-11 06:00:00,2025-02-11 06:20:00,2,61.180905908258865
2025-02-11,2025-02-11 10:00:00,2025-02-11 10:40:00,4,299.86870982288485
2025-02-11,2025-02-11 20:30:00,2025-02-11 21:40:00,7,350.89150767927373
2025-02-12,2025-02-12 06:00:00,2025-02-12 06:20:00,2,14.113666949139429
2025-02-12,2025-02-12 10:10:00,2025-02-12 10:50:00,4,165.29897739990864
2025-02-12,2025-02-12 20:30:00,2025-02-12 22:00:00,9,221.67119774593584
2025-02-13,2025-02-13 20:30:00,2025-02-13 21:10:00,4,180.21703787376543
2025-02-13,2025-02-13 21:30:00,2025-02-13 21:40:00,1,17.913921874438756
2025-02-14,2025-02-14 08:00:00,2025-02-14 08:30:00,3,174.36604876158307
2025-02-14,2025-02-14 20:40:00,2025-02-14 20:50:00,1,68.53056103359611
2025-02-14,2025-02-14 21:20:00,2025-02-14 21:40:00,2,24.83617056077055
2025-02-15,2025-02-15 08:10:00,2025-02-15 08:20:00,1,13.443541683617966
2025-02-15,2025-02-15 20:30:00,2025-02-15 21:50:00,8,351.7667513101543
2025-02-16,2025-02-16 06:00:00,2025-02-16 06:10:00,1,20.49102898990509
2025-02-16,2025-02-16 06:20:00,2025-02-16 06:30:00,1,43.1099999999999
2025-02-16,2025-02-16 10:10:00,2025-02-16 10:50:00,4,564.8840107376643
2025-02-16,2025-02-16 20:30:00,2025-02-16 20:40:00,1,29.090577702603582
2025-02-16,2025-02-16 21:40:00,2025-02-16 21:50:00,1,14.131259721542914
2025-02-17,2025-02-17 05:50:00,2025-02-17 06:10:00,2,28.6288067368954
2025-02-17,2025-02-17 06:30:00,2025-02-17 06:40:00,1,4.2917999999999665
2025-02-17,2025-02-17 20:30:00,2025-02-17 20:40:00,1,209.19851051410518
2025-02-17,2025-02-17 21:30:00,2025-02-17 21:40:00,1,12.904839922944824
