date,block_start_minute,charge_actual_kwh,discharge_actual_kwh,block_end_minute
2025-03-20,0,4224.8272409726,299.4760125596739,240
2025-03-20,240,531.8320245008922,6474.064917441562,480
2025-03-20,480,5238.268162772036,1956.0070437151046,720
2025-03-20,720,5742.871075911093,254.72278333333327,960
2025-03-20,960,53.55229909820673,7175.782056726455,1200
2025-03-20,1200,6189.977734672923,1565.391915278406,1440
2025-06-21,0,226.287360194416,3937.3904937545685,240
2025-06-21,240,1240.7217128053742,1831.611868854782,480
2025-06-21,480,10225.198943382125,0.0,720
2025-06-21,720,0.0,0.0,960
2025-06-21,960,94.91184399827159,5779.565864056766,1200
2025-06-21,1200,6654.006294639468,2543.73991204073,1440
2025-09-23,0,5116.996541342398,154.51883479100616,240
2025-09-23,240,131.95660966748065,6648.394087748743,480
2025-09-23,480,5604.737749688813,1896.6157166666667,720
2025-09-23,720,5334.371533657001,443.57747812649245,960
2025-09-23,960,18.730833567782042,6906.472904936858,1200
2025-09-23,1200,5822.061930865355,1763.9297907475266,1440
2025-12-21,0,7014.274631308296,132.05962265149276,240
2025-12-21,240,198.16939403822778,907.8804117744493,480
2025-12-21,480,5690.025171892217,7343.4478601665905,720
2025-12-21,720,7507.508556228113,2916.012888516316,960
2025-12-21,960,35.277110681653426,6109.036504379674,1200
2025-12-21,1200,4091.577940712055,2156.746193033696,1440
