date,block_start_minute,charge_actual_kwh,discharge_actual_kwh,block_end_minute
2025-03-20,0,2601.4711928050033,385.72771590057334,240
2025-03-20,240,993.84577376161,6498.5810289715755,480
2025-03-20,480,2496.167467363741,2463.090377956887,720
2025-03-20,720,6254.9232267103025,254.72278333333327,960
2025-03-20,960,290.4650827870097,5275.90437471635,1200
2025-03-20,1200,6931.696670414398,2635.7342395447663,1440
2025-06-21,0,224.51098944239766,2882.38450740448,240
2025-06-21,240,1215.727957886595,4856.710056853244,480
2025-06-21,480,9655.625529208211,0.0,720
2025-06-21,720,0.0,0.0,960
2025-06-21,960,58.81966184862725,6198.996583301469,1200
2025-06-21,1200,8035.231905902925,2545.1303024645777,1440
2025-09-23,0,4328.39018271239,200.49179013872242,240
2025-09-23,240,982.1302796620629,7042.981367912566,480
2025-09-23,480,4666.458340971699,1896.6157166666667,720
2025-09-23,720,5046.9432390048205,580.2232745971988,960
2025-09-23,960,19.898938308020888,6192.81233191745,1200
2025-09-23,1200,5183.99325245601,2173.3459432614873,1440
2025-12-21,0,4616.627083245093,135.70893329029684,240
2025-12-21,240,2314.957918578845,2536.3937425505565,480
2025-12-21,480,5242.860950863743,8215.080646074555,720
2025-12-21,720,8096.593468079887,3008.393614399033,960
2025-12-21,960,35.27711068165354,6222.272085372364,1200
2025-12-21,1200,5549.548758290726,2851.7333895145084,1440
