date,block_start_minute,charge_actual_kwh,discharge_actual_kwh,block_end_minute
2025-03-20,0,2601.4711928050033,385.72771590057334,240
2025-03-20,240,993.84577376161,6498.5810289715755,480
2025-03-20,480,2496.167467363741,2463.090377956887,720
2025-03-20,720,6254.9232267103025,254.72278333333327,960
2025-03-20,960,290.4650827870097,5275.90437471635,1200
2025-03-20,1200,6931.696670414398,2635.7342395447663,1440
2025-06-21,0,56.435431645166695,5300.460609276843,240
2025-06-21,240,1213.7657033633911,4631.694663367163,480
2025-06-21,480,9765.526945707003,0.0,720
2025-06-21,720,0.0,0.0,960
2025-06-21,960,96.75957014476995,6117.397011559861,1200
2025-06-21,1200,9526.725900522551,2543.739912040729,1440
2025-09-23,0,4328.39018271239,200.49179013872242,240
2025-09-23,240,982.1302796620629,7202.139938469654,480
2025-09-23,480,4484.5628317635965,1896.6157166666667,720
2025-09-23,720,5723.056822539355,547.2038033199939,960
2025-09-23,960,36.40867394662337,6322.81505780933,1200
2025-09-23,1200,5183.99325245601,2376.859147058257,1440
2025-12-21,0,4661.079171102452,135.70893329029684,240
2025-12-21,240,2383.5336470383927,2536.393742550556,480
2025-12-21,480,5162.79522720868,8274.026327951598,720
2025-12-21,720,8090.146496163649,2826.4478157940034,960
2025-12-21,960,25.293456190606776,6256.891464846828,1200
2025-12-21,1200,5427.313319125978,2842.5257666666666,1440
