date,grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,emergency_intervals
2025-02-01,42431.080497346535,41115.005502056796,0.0,22055.754189070914,241.77178040199328,-470.1210898499059,21827.404879623,0.0,21827.404879623,19837.3895494684,15813.437546527539,2712.877565782601,1261.441752408114,1451.4358133744868,7268.4231640740745,7551.587595787255,0
2025-02-02,88435.60950748963,85883.2211927588,0.0,55245.78795668696,555.3468391894385,-878.7470642861214,54922.38773159028,0.0,54922.38773159028,23083.68113767564,18248.901589121935,2692.1636942050995,2692.1636942050995,0.0,7551.587595787255,8050.3432984487345,0
2025-02-03,90553.12293030864,86506.19814277063,0.0,56736.752740679,770.1037932752382,-1487.2526464017824,56019.60388755246,0.0,56019.60388755246,23426.431905624566,18772.4112831724,1635.2610203184652,1635.2610203184652,0.0,8050.3432984487345,8275.897254430389,0
2025-02-04,93800.56770754396,89242.15550587336,0.0,59419.44623569334,919.9794904110767,-1796.987664294226,58542.43806181019,0.0,58542.43806181019,23502.65893125307,18628.867232924065,3173.49985754436,3173.148074211027,0.3517833333332874,8275.897254430389,8729.54892264252,0
2025-02-05,87346.02721037663,87616.21626036834,54.130662396002776,54715.54386320465,2158.1577863173034,-556.6001356356064,56317.10151388635,377.61550087451536,56694.71701476086,23266.79179619651,18697.545325495656,2352.673468730158,2350.620968730158,2.0524999999999807,8729.54892264252,8894.61117755754,1
2025-02-06,93825.00996369893,87299.9408464722,0.0,59424.70405256595,967.6231803282195,-2560.124022900756,57832.203209993415,0.0,57832.203209993415,23537.107898951745,18593.41378440662,2085.189515260404,2085.189515260404,0.0,8894.61117755754,9418.659637273426,0
2025-02-07,43246.09952052943,40160.836109274314,137.1118969124321,22328.758615831463,1.456669451727066e-13,-880.8977055534518,21447.86091027801,662.0389905505913,22109.8999008286,19522.710219177436,15896.603382212495,4866.161502555141,683.6817795476986,4182.479723007442,9418.659637273426,9326.20618763034,3
2025-02-08,34981.16874130971,36341.10876417527,248.81567698740525,17672.245205075116,1953.239555713423,-2.206661520176567e-14,19625.48476078854,1663.6592966282753,21289.144057416812,20057.146528937166,16189.844421635189,1145.4596171940254,63.77245690522341,1081.687160288802,9326.20618763034,9388.922039634685,2
2025-02-09,84699.78611737242,85004.42979894739,65.9302072478608,52621.32404218703,1886.9127815774698,-322.25105946284015,54185.98576430166,311.94246084029885,54497.92822514196,23503.350961451644,19043.217707780645,1054.810785857584,1054.810785857584,0.0,9388.922039634685,9382.807118518229,4
2025-02-10,81855.39681140831,78707.96482120281,62.43497209610696,50833.35072840322,1239.5737251971077,-1294.7939324013726,50778.130521198946,276.1080975526803,51054.23861875163,23273.01622570793,19008.407294552755,179.15327881041617,179.15327881041617,0.0,9382.807118518229,9208.069172152296,4
2025-02-11,81629.12204633754,79044.07198433223,716.1192501180192,50873.93218482265,2029.4446838320744,-1426.4498974031562,51476.92697125157,3933.0857344683095,55410.01270571988,23172.07311722025,18801.689028326557,169.21001222322343,169.21001222322343,0.0,9208.069172152296,9172.169390621018,13
2025-02-12,82210.47896725556,79704.9439844369,254.14583246726954,51089.80087192177,3016.3369834458213,-1432.709850468902,52673.42800489869,1384.0809610465315,54057.50896594522,23365.889569993462,18960.14877370787,286.6128872852544,286.6128872852544,0.0,9172.169390621018,9134.638032828612,10
2025-02-13,77258.27763085702,76098.01366629153,252.10353140355687,47282.3069950392,1467.2889462610024,-707.3896942048169,48042.20624709539,1482.5144004112221,49524.72064750661,23342.902441132625,18894.240194583002,571.9759344787989,571.9759344787989,0.0,9134.638032828612,9149.650013644641,7
2025-02-14,34286.72001526524,35333.27301986963,267.7327803559497,17427.337324936663,1453.2822017290964,-4.634443939721677e-14,18880.61952666576,1517.2386850783134,20397.858211744075,19525.080285787048,16027.211298906988,2301.3349966788546,160.70134667885642,2140.6336499999984,9149.650013644641,8914.209716511883,6
2025-02-15,34217.71507035302,35044.728496688105,365.21029299377335,17638.015829549167,1667.9937991700854,-160.41029636666656,19145.599332352584,1850.0353241398043,20995.634656492388,19179.47707773727,15795.382617431156,2745.7532293757663,56.617362709100234,2689.135866666666,8914.209716511883,8625.313955996358,9
2025-02-16,83015.57888997284,79215.22765670838,722.1810868982303,51329.79502209695,4419.056493097593,-2156.2371743324125,53592.614340862136,3478.76364317022,57071.377984032355,22709.90580146594,18374.98149193431,225.10533407498258,225.10533407498258,0.0,8625.313955996358,8647.583075166473,9
2025-02-17,82746.91244708809,75376.63668072467,254.43007596870285,50765.368795177485,3236.136256073961,-2950.2261280159646,51051.27892323548,1651.8476634415836,52703.12658667706,21911.120561259213,17821.371298010214,357.45432677769975,357.45432677769975,0.0,8647.583075166473,8566.067915843976,5
2025-02-18,73710.17024270337,76366.9579962604,84.55358301892727,45281.37769193669,4813.256361548465,-120.0502417078174,49974.58381177733,445.02293133441293,50419.60674311175,21314.407604051212,17263.760404946992,309.47659684177415,309.47659684177415,0.0,8566.067915843976,8567.07875399341,4
2025-02-19,73962.20035665955,76562.68258940613,624.1661501078319,45488.23563887283,3633.2977261026126,-33.896114694444705,49087.637250281,3218.2766550240713,52305.91390530507,23295.130719297547,19137.299021080136,149.68965796322607,149.68965796322607,0.0,8567.07875399341,8269.030822383276,16
2025-02-20,76996.77022258722,75286.43512979137,239.9223694242873,46875.01230503061,2327.018605624253,-931.8182301892118,48270.212680465644,1101.11856616313,49371.331246628775,22754.363012192,18524.10619903477,302.9669527250984,302.9669527250984,0.0,8269.030822383276,8165.617312206332,8
2025-02-21,32844.7924882879,34205.291012016634,48.66147715758423,16614.983787277914,1817.5972629640003,-2.6633983907231597e-14,18432.581050241915,221.29910652602916,18653.880156767944,17905.792506063855,14835.251106507683,5623.149056284709,11.317721336545105,5611.831334948165,8165.617312206332,7797.21822709971,3
