policy,date,issue_hour,horizon_intervals,milp_objective_yuan,lp_lower_bound_yuan,milp_minus_lp_yuan,lp_max_primal_violation,runtime_seconds,passed
fixed_raw,2025-04-01,0,144,40455.5805267657,40455.58052676569,7.275957614183426e-12,4.547473508864641e-13,0.005709625002054963,True
fixed_raw,2025-04-01,6,108,29834.02148490562,29834.021484905625,-3.637978807091713e-12,4.547473508864641e-13,0.005453583005873952,True
fixed_raw,2025-04-01,12,72,24955.46614746349,24955.4661474635,-1.0913936421275139e-11,2.2737367544323206e-13,0.0033223330028704368,True
fixed_raw,2025-04-01,18,36,15879.371138777595,15879.371138777598,-3.637978807091713e-12,2.2737367544323206e-13,0.0019681249978020787,True
fixed_raw,2025-06-21,0,144,19763.135904887888,19763.135904887895,-7.275957614183426e-12,4.547473508864641e-13,0.00436700000136625,True
fixed_raw,2025-06-21,6,108,14715.907239708104,14715.907239708104,0.0,9.094947017729282e-13,0.004215459004626609,True
fixed_raw,2025-06-21,12,72,14718.348758999213,14718.348758999211,1.8189894035458565e-12,9.094947017729282e-13,0.003281416000390891,True
fixed_raw,2025-06-21,18,36,11657.94537905122,11657.945379051222,-1.8189894035458565e-12,9.094947017729282e-13,0.001905582998006139,True
fixed_raw,2025-09-23,0,144,41134.91093440114,41134.91093440113,7.275957614183426e-12,1.1368683772161603e-13,0.004391583002870902,True
fixed_raw,2025-09-23,6,108,29463.062487254043,29463.062487254043,0.0,4.547473508864641e-13,0.004498333000810817,True
fixed_raw,2025-09-23,12,72,27187.018172115073,27187.018172115073,0.0,2.0463630789890883e-13,0.0031572910011163913,True
fixed_raw,2025-09-23,18,36,18705.27941040237,18705.27941040237,0.0,2.5263741715914674e-13,0.0019413330010138452,True
fixed_raw,2025-12-21,0,144,60123.745416962156,60123.74541696215,7.275957614183426e-12,9.094947017729282e-13,0.004520124995906372,True
fixed_raw,2025-12-21,6,108,46414.69978939316,46414.69978939314,2.1827872842550278e-11,9.094947017729282e-13,0.004528457997366786,True
fixed_raw,2025-12-21,12,72,34933.25170162936,34933.25170162935,7.275957614183426e-12,9.094947017729282e-13,0.0032247499984805472,True
fixed_raw,2025-12-21,18,36,14704.214745864765,14704.214745864769,-3.637978807091713e-12,9.094947017729282e-13,0.0018768750014714897,True
fixed_w28,2025-04-01,0,144,38994.99930747833,38994.99930747831,1.4551915228366852e-11,4.547473508864641e-13,0.005055749999883119,True
