comparison_id,comparison_label,scope,start_date,end_date,days,raw_policy,corrected_policy,raw_total_cost_yuan,corrected_total_cost_yuan,cash_gain_yuan,contract_cost_gain_yuan,emergency_cost_gain_yuan,emergency_energy_reduction_kwh,raw_initial_energy_kwh,raw_end_energy_kwh,corrected_initial_energy_kwh,corrected_end_energy_kwh,inventory_value_yuan_per_kwh,raw_inventory_adjusted_cost_yuan,corrected_inventory_adjusted_cost_yuan,inventory_adjusted_gain_yuan,winning_days,losing_days,tie_days,best_day,best_daily_gain_yuan,worst_day,worst_daily_gain_yuan
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,february_december,2025-02-01,2025-12-31,334,fixed_raw,fixed_w14,13772880.061223056,13736212.994924419,36667.06629863754,-15356.786234443032,52023.85253307836,7062.822285641998,7268.4231640740745,7173.092755226488,7268.4231640740745,7095.720289964108,0.6895775000000001,13772945.798928063,13736332.08694059,36613.71198747307,160,115,59,2025-06-07,3009.36553740222,2025-08-28,-2226.699646280962
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,april_december,2025-04-01,2025-12-31,275,fixed_raw,fixed_w14,11438135.242117018,11401468.175818384,36667.066298633814,-15356.786234443029,52023.85253307836,7062.822285641998,7465.440572772747,7173.092755226488,7465.440572772747,7095.720289964108,0.6895775000000001,11438336.838594172,11401723.126606703,36613.711987469345,160,115,0,2025-06-07,3009.36553740222,2025-08-28,-2226.699646280962
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,february_december,2025-02-01,2025-12-31,334,fixed_raw,fixed_w28,13772880.061223056,13726733.574967869,46146.48625518754,-13275.085660196273,59421.57191538206,8550.495169763275,7268.4231640740745,7173.092755226488,7268.4231640740745,7114.890175392208,0.6895775000000001,13772945.798928063,13726839.447862372,46106.35106569156,153,122,59,2025-06-07,2876.7437659079296,2025-08-28,-2005.7373965702645
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,april_december,2025-04-01,2025-12-31,275,fixed_raw,fixed_w28,11438135.242117018,11391988.755861834,46146.486255183816,-13275.085660196273,59421.571915382054,8550.495169763275,7465.440572772747,7173.092755226488,7465.440572772747,7114.890175392208,0.6895775000000001,11438336.838594172,11392230.487528482,46106.3510656897,153,122,0,2025-06-07,2876.7437659079296,2025-08-28,-2005.7373965702645
fixed_w56_vs_raw,Fixed price: 56-day correction vs raw PV,february_december,2025-02-01,2025-12-31,334,fixed_raw,fixed_w56,13772880.061223056,13724087.09061873,48792.970604326576,-11696.611209886076,60489.58181420974,9062.062460787196,7268.4231640740745,7173.092755226488,7268.4231640740745,7114.387035476335,0.6895775000000001,13772945.798928063,13724193.310467198,48752.48846086487,158,117,59,2025-06-07,2839.050130936743,2025-09-07,-1187.379788926948
fixed_w56_vs_raw,Fixed price: 56-day correction vs raw PV,april_december,2025-04-01,2025-12-31,275,fixed_raw,fixed_w56,11438135.242117018,11389342.271512693,48792.97060432471,-11696.611209886076,60489.58181420974,9062.062460787196,7465.440572772747,7173.092755226488,7465.440572772747,7114.387035476335,0.6895775000000001,11438336.838594172,11389584.350133307,48752.48846086487,158,117,0,2025-06-07,2839.050130936743,2025-09-07,-1187.379788926948
efficiency_w28_vs_raw,Higher efficiency: 28-day correction vs raw PV,february_december,2025-02-01,2025-12-31,334,efficiency_raw,efficiency_w28,13306927.336907811,13255998.709691063,50928.62721674889,-11430.792703799387,62359.41992054733,8893.481139161879,7268.4231640740745,7532.2541626392085,7268.4231640740745,7429.686773909366,0.6895775000000001,13306745.404987399,13255887.50593415,50857.899053247645,156,119,59,2025-06-07,2857.352190554615,2025-06-10,-1363.0710726518591
efficiency_w28_vs_raw,Higher efficiency: 28-day correction vs raw PV,april_december,2025-04-01,2025-12-31,275,efficiency_raw,efficiency_w28,11055054.933124851,11004126.305908103,50928.62721674889,-11430.792703799387,62359.41992054732,8893.481139161879,7614.02097434675,7532.2541626392085,7614.02097434675,7429.686773909366,0.6895775000000001,11055111.317678452,11004253.418625204,50857.899053247645,156,119,0,2025-06-07,2857.352190554615,2025-06-10,-1363.0710726518591
soft_w28_vs_raw,Soft terminal: 28-day correction vs raw PV,february_december,2025-02-01,2025-12-31,334,soft_raw,soft_w28,13772796.986768603,13726608.563173935,46188.42359466851,-13254.146569479712,59442.57016415239,8560.736667936599,7268.4231640740745,7086.667934802389,7268.4231640740745,7091.963624233157,0.6895775000000001,13772922.321085216,13726730.245702269,46192.07538294792,153,122,59,2025-06-07,2876.8210994514375,2025-08-28,-2005.7373965702645
soft_w28_vs_raw,Soft terminal: 28-day correction vs raw PV,april_december,2025-04-01,2025-12-31,275,soft_raw,soft_w28,11438052.167662568,11391863.744067894,46188.423594674096,-13254.14656947971,59442.570164152385,8560.736667936599,7465.44057277274,7086.667934802389,7465.44057277274,7091.963624233157,0.6895775000000001,11438313.360751329,11392121.285368375,46192.07538295351,153,122,0,2025-06-07,2876.8210994514375,2025-08-28,-2005.7373965702645
variable_w28_vs_raw,Variable price: 28-day correction vs raw PV,february_december,2025-02-01,2025-12-31,334,variable_raw,variable_w28,14534062.642403048,14492279.546435218,41783.09596782923,-17352.5893462421,59135.68531407408,8347.801786546597,7268.4231640740745,7804.593371646801,7268.4231640740745,7804.649180960779,0.6895775000000001,14533692.911491735,14491909.777039059,41783.1344526764,151,124,59,2025-11-05,2239.681299313852,2025-06-10,-1603.4562520178952
variable_w28_vs_raw,Variable price: 28-day correction vs raw PV,april_december,2025-04-01,2025-12-31,275,variable_raw,variable_w28,12142444.109469593,12100661.01350176,41783.09596783295,-17352.5893462421,59135.685314074086,8347.801786546597,8054.704216464873,7804.593371646801,8054.704216464873,7804.649180960779,0.6895775000000001,12142616.580280686,12100833.445828006,41783.134452680126,151,124,0,2025-11-05,2239.681299313852,2025-06-10,-1603.4562520178952
