charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,date,slot_id,interval_start,interval_end,active_issue_hour,load_actual_kwh,pv_actual_kwh,load_forecast_kwh,pv_forecast_kwh,grid_original_kwh,grid_effective_kwh,price_yuan_per_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan
420.94430420853735,0.0,0.0,0.0,0.0,0.0,6000.0,6378.8498737876835,2025-07-14,1,2025-07-14 00:00:00,2025-07-14 00:10:00,0,767.4815,0.0,777.8154928939872,0.8279444805356206,1188.4258042085373,1188.4258042085373,0.5394,641.036878790085,0.0,-0.0,641.036878790085,0.0,641.036878790085
433.46999994116163,0.0,0.0,0.0,0.0,0.0,6378.8498737876835,6768.972873734729,2025-07-14,2,2025-07-14 00:10:00,2025-07-14 00:20:00,0,773.08025,0.0,775.8176345715225,0.7984528719703334,1206.5502499411616,1206.5502499411616,0.5333,643.4532482936215,0.0,-0.0,643.4532482936215,0.0,643.4532482936215
397.0589918484105,0.0,0.0,0.0,0.0,0.0,6768.972873734729,7126.325966398298,2025-07-14,3,2025-07-14 00:20:00,2025-07-14 00:30:00,0,772.5949999999999,0.0,817.7512089706446,0.0,1169.6539918484104,1169.6539918484104,0.5036,589.0377502948595,0.0,-0.0,589.0377502948595,0.0,589.0377502948595
375.6026291312129,0.0,0.0,0.0,0.0,0.0,7126.325966398298,7464.36833261639,2025-07-14,4,2025-07-14 00:30:00,2025-07-14 00:40:00,0,794.4488500000001,0.0,821.5218742288181,0.0,1170.051479131213,1170.051479131213,0.5117,598.7153418714418,0.0,-0.0,598.7153418714418,0.0,598.7153418714418
371.7016984615643,0.0,0.0,0.0,0.0,0.0,7464.36833261639,7798.899861231798,2025-07-14,5,2025-07-14 00:40:00,2025-07-14 00:50:00,0,790.6747333333333,0.0,816.2021625638572,0.0,1162.3764317948976,1162.3764317948976,0.5478,636.7498093372449,0.0,-0.0,636.7498093372449,0.0,636.7498093372449
257.75614115489964,0.0,0.0,0.0,0.0,0.0,7798.899861231798,8030.880388271208,2025-07-14,6,2025-07-14 00:50:00,2025-07-14 01:00:00,0,770.235,0.0,817.7622323862403,0.0,1027.9911411548997,1027.9911411548997,0.5989,615.6638944376693,0.0,-0.0,615.6638944376693,0.0,615.6638944376693
213.83041418667779,0.0,0.0,0.0,0.0,0.0,8030.880388271208,8223.327761039218,2025-07-14,7,2025-07-14 01:00:00,2025-07-14 01:10:00,0,784.2873500000001,0.0,803.5769700719184,0.0,998.1177641866778,998.1177641866778,0.6458,644.5844521117566,0.0,-0.0,644.5844521117566,0.0,644.5844521117566
166.81412062615448,0.0,0.0,0.0,0.0,0.0,8223.327761039218,8373.460469602756,2025-07-14,8,2025-07-14 01:10:00,2025-07-14 01:20:00,0,752.5646833333334,0.0,767.4450736690112,0.0,919.3788039594879,919.3788039594879,0.5903,542.7093079772857,0.0,-0.0,542.7093079772857,0.0,542.7093079772857
164.25310204923164,0.0,0.0,0.0,0.0,0.0,8373.460469602756,8521.288261447065,2025-07-14,9,2025-07-14 01:20:00,2025-07-14 01:30:00,0,708.6750000000001,0.0,743.8840576702803,0.0,872.9281020492317,872.9281020492317,0.507,442.57454773896046,0.0,-0.0,442.57454773896046,0.0,442.57454773896046
165.49758071551412,0.0,0.0,0.0,0.0,0.0,8521.288261447065,8670.236084091028,2025-07-14,10,2025-07-14 01:30:00,2025-07-14 01:40:00,0,766.4814,0.0,773.723195211342,0.0,931.9789807155141,931.9789807155141,0.5715,532.6259874789164,0.0,-0.0,532.6259874789164,0.0,532.6259874789164
151.5023945114059,0.0,0.0,0.0,0.0,0.0,8670.236084091028,8806.588239151293,2025-07-14,11,2025-07-14 01:40:00,2025-07-14 01:50:00,0,778.7719999999999,0.0,782.8917901866719,0.0,930.2743945114058,930.2743945114058,0.6014,559.4670208591596,0.0,-0.0,559.4670208591596,0.0,559.4670208591596
176.63095241451617,0.0,0.0,0.0,0.0,0.0,8806.588239151293,8965.556096324357,2025-07-14,12,2025-07-14 01:50:00,2025-07-14 02:00:00,0,717.9833333333332,0.0,769.3155829810013,0.0,894.6142857478494,894.6142857478494,0.5339,477.63456716077684,0.0,-0.0,477.63456716077684,0.0,477.63456716077684
217.235731289682,0.0,0.0,0.0,0.0,0.0,8965.556096324357,9161.068254485072,2025-07-14,13,2025-07-14 02:00:00,2025-07-14 02:10:00,0,707.42655,0.0,795.9770959471068,0.0,924.662281289682,924.662281289682,0.4907,453.731781428847,0.0,-0.0,453.731781428847,0.0,453.731781428847
208.94112762323425,0.0,0.0,0.0,0.0,0.0,9161.068254485072,9349.115269345983,2025-07-14,14,2025-07-14 02:10:00,2025-07-14 02:20:00,0,727.92105,0.0,786.5019597887926,0.0,936.8621776232343,936.8621776232343,0.4848,454.190783711744,0.0,-0.0,454.190783711744,0.0,454.190783711744
