charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,date,slot_id,interval_start,interval_end,active_issue_hour,load_actual_kwh,pv_actual_kwh,load_forecast_kwh,pv_forecast_kwh,grid_original_kwh,grid_effective_kwh,price_yuan_per_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan
252.57146217178604,0.0,0.0,0.0,0.0,0.0,6000.0,6227.314315954607,2025-07-14,1,2025-07-14 00:00:00,2025-07-14 00:10:00,0,767.4815,0.0,777.8154928939872,0.0,1020.052962171786,1020.052962171786,0.4248,433.3184983305747,0.0,-0.0,433.3184983305747,0.0,433.3184983305747
274.63349098931667,0.0,0.0,0.0,0.0,0.0,6227.314315954607,6474.484457844992,2025-07-14,2,2025-07-14 00:10:00,2025-07-14 00:20:00,0,773.08025,0.0,775.8176345715225,0.0,1047.7137409893166,1047.7137409893166,0.4245,444.7544830499649,0.0,-0.0,444.7544830499649,0.0,444.7544830499649
267.00704631399833,0.0,0.0,0.0,0.0,0.0,6474.484457844992,6714.790799527591,2025-07-14,3,2025-07-14 00:20:00,2025-07-14 00:30:00,0,772.5949999999999,0.0,817.7512089706446,0.0,1039.6020463139982,1039.6020463139982,0.4269,443.80611357144585,0.0,-0.0,443.80611357144585,0.0,443.80611357144585
241.714271643801,0.0,0.0,0.0,0.0,0.0,6714.790799527591,6932.333644007012,2025-07-14,4,2025-07-14 00:30:00,2025-07-14 00:40:00,0,794.4488500000001,0.0,821.5218742288181,0.0,1036.163121643801,1036.163121643801,0.4272,442.64888556623185,0.0,-0.0,442.64888556623185,0.0,442.64888556623185
227.5360076843806,0.0,0.0,0.0,0.0,0.0,6932.333644007012,7137.116050922954,2025-07-14,5,2025-07-14 00:40:00,2025-07-14 00:50:00,0,790.6747333333333,0.0,816.2021625638572,0.0,1018.2107410177139,1018.2107410177139,0.4271,434.87780748866555,0.0,-0.0,434.87780748866555,0.0,434.87780748866555
218.4287469277342,0.0,0.0,0.0,0.0,0.0,7137.116050922954,7333.701923157914,2025-07-14,6,2025-07-14 00:50:00,2025-07-14 01:00:00,0,770.235,0.0,817.7622323862403,0.0,988.6637469277342,988.6637469277342,0.4285,423.6424155585341,0.0,-0.0,423.6424155585341,0.0,423.6424155585341
195.63482733901492,0.0,0.0,0.0,0.0,0.0,7333.701923157914,7509.773267763027,2025-07-14,7,2025-07-14 01:00:00,2025-07-14 01:10:00,0,784.2873500000001,0.0,803.5769700719184,0.0,979.922177339015,979.922177339015,0.4311,422.4444506508493,0.0,-0.0,422.4444506508493,0.0,422.4444506508493
158.98184868735189,0.0,0.0,0.0,0.0,0.0,7509.773267763027,7652.856931581644,2025-07-14,8,2025-07-14 01:10:00,2025-07-14 01:20:00,0,752.5646833333334,0.0,767.4450736690112,0.0,911.5465320206853,911.5465320206853,0.4302,392.1473180752988,0.0,-0.0,392.1473180752988,0.0,392.1473180752988
221.95973496042245,0.0,0.0,0.0,0.0,0.0,7652.856931581644,7852.620693046024,2025-07-14,9,2025-07-14 01:20:00,2025-07-14 01:30:00,0,708.6750000000001,0.0,743.8840576702803,0.0,930.6347349604225,930.6347349604225,0.4279,398.2186030895648,0.0,-0.0,398.2186030895648,0.0,398.2186030895648
146.49319442422097,0.0,0.0,0.0,0.0,0.0,7852.620693046024,7984.464568027823,2025-07-14,10,2025-07-14 01:30:00,2025-07-14 01:40:00,0,766.4814,0.0,773.723195211342,0.0,912.974594424221,912.974594424221,0.4312,393.6746451157241,0.0,-0.0,393.6746451157241,0.0,393.6746451157241
138.8364026087528,0.0,0.0,0.0,0.0,0.0,7984.464568027823,8109.4173303757,2025-07-14,11,2025-07-14 01:40:00,2025-07-14 01:50:00,0,778.7719999999999,0.0,782.8917901866719,0.0,917.6084026087527,917.6084026087527,0.4333,397.5997208503726,0.0,-0.0,397.5997208503726,0.0,397.5997208503726
172.91876074557013,0.0,0.0,0.0,0.0,0.0,8109.4173303757,8265.044215046713,2025-07-14,12,2025-07-14 01:50:00,2025-07-14 02:00:00,0,717.9833333333332,0.0,769.3155829810013,0.0,890.9020940789034,890.9020940789034,0.4311,384.0678927574152,0.0,-0.0,384.0678927574152,0.0,384.0678927574152
222.5247673918184,0.0,0.0,0.0,0.0,0.0,8265.044215046713,8465.31650569935,2025-07-14,13,2025-07-14 02:00:00,2025-07-14 02:10:00,0,707.42655,0.0,795.9770959471068,0.0,929.9513173918184,929.9513173918184,0.4293,399.22810055630765,0.0,-0.0,399.22810055630765,0.0,399.22810055630765
198.20698179858744,0.0,0.0,0.0,0.0,0.0,8465.31650569935,8643.702789318078,2025-07-14,14,2025-07-14 02:10:00,2025-07-14 02:20:00,0,727.92105,0.0,786.5019597887926,0.0,926.1280317985875,926.1280317985875,0.4324,400.4577609497092,0.0,-0.0,400.4577609497092,0.0,400.4577609497092
129.16573746979952,0.0,0.0,0.0,0.0,0.0,8643.702789318078,8759.951953040898,2025-07-14,15,2025-07-14 02:20:00,2025-07-14 02:30:00,0,726.3733333333333,0.0,739.8218972209179,0.0,855.5390708031329,855.5390708031329,0.4367,373.6139122197281,0.0,-0.0,373.6139122197281,0.0,373.6139122197281
186.10210156586527,0.0,0.0,0.0,0.0,0.0,8759.951953040898,8927.443844450177,2025-07-14,16,2025-07-14 02:30:00,2025-07-14 02:40:00,0,683.9798166666666,0.0,738.0919507788918,0.0,870.0819182325318,870.0819182325318,0.4348,378.31161804750485,0.0,-0.0,378.31161804750485,0.0,378.31161804750485
186.14147887233855,0.0,0.0,0.0,0.0,0.0,8927.443844450177,9094.971175435283,2025-07-14,17,2025-07-14 02:40:00,2025-07-14 02:50:00,0,698.0507833333332,0.0,752.5409196948729,0.0,884.1922622056718,884.1922622056718,0.4335,383.2973456661587,0.0,-0.0,383.2973456661587,0.0,383.2973456661587
131.27147328252317,0.0,0.0,0.0,0.0,0.0,9094.971175435283,9213.115501389553,2025-07-14,18,2025-07-14 02:50:00,2025-07-14 03:00:00,0,758.2483333333333,0.0,752.8941759456953,0.0,889.5198066158565,889.5198066158565,0.4357,387.56377974252865,0.0,-0.0,387.56377974252865,0.0,387.56377974252865
107.46054902196477,0.0,0.0,0.0,0.0,0.0,9213.115501389553,9309.82999550932,2025-07-14,19,2025-07-14 03:00:00,2025-07-14 03:10:00,0,757.3817,0.00019999999999999998,742.6741833442037,0.0,864.8420490219648,864.8420490219648,0.4374,378.28191224220745,0.0,-0.0,378.28191224220745,0.0,378.28191224220745
137.70594072221957,0.0,0.0,0.0,0.0,0.0,9309.82999550932,9433.765342159319,2025-07-14,20,2025-07-14 03:10:00,2025-07-14 03:20:00,0,744.8971833333334,0.0,749.0147454369411,0.0,882.6031240555529,882.6031240555529,0.4371,385.7858255246822,0.0,-0.0,385.7858255246822,0.0,385.7858255246822
136.48298427377085,0.0,0.0,0.0,0.0,0.0,9433.765342159319,9556.600028005712,2025-07-14,21,2025-07-14 03:20:00,2025-07-14 03:30:00,0,754.1933333333333,0.0,764.293117148786,0.0,890.6763176071041,890.6763176071041,0.4356,387.97860394965454,0.0,-0.0,387.97860394965454,0.0,387.97860394965454
120.33641091503182,0.0,0.0,0.0,0.0,0.0,9556.600028005712,9664.902797829242,2025-07-14,22,2025-07-14 03:30:00,2025-07-14 03:40:00,0,761.0880333333333,0.0027333333333333337,750.9061058241349,0.0,881.4217109150318,881.4217109150318,0.4353,383.6828707613133,0.0,-0.0,383.6828707613133,0.0,383.6828707613133
99.29236694146084,0.0,0.0,0.0,0.0,0.0,9664.902797829242,9754.265928076557,2025-07-14,23,2025-07-14 03:40:00,2025-07-14 03:50:00,0,739.6364166666667,0.0,713.7959215081523,0.0,838.9287836081276,838.9287836081276,0.436,365.7729496531436,0.0,-0.0,365.7729496531436,0.0,365.7729496531436
99.2446171350083,0.0,0.0,0.0,0.0,0.0,9754.265928076557,9843.586083498063,2025-07-14,24,2025-07-14 03:50:00,2025-07-14 04:00:00,0,703.3366666666667,0.0,692.5654912900197,0.0,802.581283801675,802.581283801675,0.4378,351.3700860483733,0.0,-0.0,351.3700860483733,0.0,351.3700860483733
135.2214617604434,0.0,0.0,0.0,0.0,0.0,9843.586083498063,9965.285399082462,2025-07-14,25,2025-07-14 04:00:00,2025-07-14 04:10:00,0,691.26255,0.03808333333333334,723.4859823746674,0.0,826.4459284271101,826.4459284271101,0.4401,363.7188531007711,0.0,-0.0,363.7188531007711,0.0,363.7188531007711
174.05235302843698,0.0,0.0,0.0,0.0,0.0,9965.285399082462,10121.932516808056,2025-07-14,26,2025-07-14 04:10:00,2025-07-14 04:20:00,0,688.7108833333333,0.0,738.5842725629473,0.0,862.7632363617703,862.7632363617703,0.4389,378.666784439181,0.0,-0.0,378.666784439181,0.0,378.666784439181
140.22717116829278,0.0,0.0,0.0,0.0,0.0,10121.932516808056,10248.13697085952,2025-07-14,27,2025-07-14 04:20:00,2025-07-14 04:30:00,0,689.0133333333333,0.0,721.058832168964,0.0,829.2405045016261,829.2405045016261,0.4364,361.88055616450964,0.0,-0.0,361.88055616450964,0.0,361.88055616450964
114.46004383901209,0.0,0.0,0.0,0.0,0.0,10248.13697085952,10351.15101031463,2025-07-14,28,2025-07-14 04:30:00,2025-07-14 04:40:00,0,697.5955166666666,0.53055,719.4582946665048,0.0,811.5250105056788,811.5250105056788,0.4393,356.50293711514473,0.0,-0.0,356.50293711514473,0.0,356.50293711514473
135.3844046998862,0.0,0.0,0.0,0.0,0.0,10351.15101031463,10472.996974544527,2025-07-14,29,2025-07-14 04:40:00,2025-07-14 04:50:00,0,683.3545333333333,0.0,733.2227131784565,0.0,818.7389380332195,818.7389380332195,0.4422,362.0463583982896,0.0,-0.0,362.0463583982896,0.0,362.0463583982896
179.02705715542686,0.0,0.0,0.0,0.0,0.0,10472.996974544527,10634.121325984412,2025-07-14,30,2025-07-14 04:50:00,2025-07-14 05:00:00,0,668.09,0.0,736.3276109171431,0.0,847.1170571554269,847.1170571554269,0.4395,372.30794661981014,0.0,-0.0,372.30794661981014,0.0,372.30794661981014
