date,issue_hour,issue_time,slot_id,interval_start,interval_end,grid_original_kwh,grid_kwh,load_forecast_kwh,pv_forecast_kwh,pv_raw_forecast_kwh,price_forecast_yuan_per_kwh,selected_index
2025-07-14,0,2025-07-14 00:00:00,1,2025-07-14 00:00:00,2025-07-14 00:10:00,1020.052962171786,1020.052962171786,777.8154928939872,0.0,0.0,0.4248,1
2025-07-14,0,2025-07-14 00:00:00,2,2025-07-14 00:10:00,2025-07-14 00:20:00,1047.7137409893166,1047.7137409893166,775.8176345715225,0.0,0.0,0.4245,1
2025-07-14,0,2025-07-14 00:00:00,3,2025-07-14 00:20:00,2025-07-14 00:30:00,1039.6020463139982,1039.6020463139982,817.7512089706446,0.0,0.0,0.4269,1
2025-07-14,0,2025-07-14 00:00:00,4,2025-07-14 00:30:00,2025-07-14 00:40:00,1036.163121643801,1036.163121643801,821.5218742288181,0.0,0.0,0.4272,1
2025-07-14,0,2025-07-14 00:00:00,5,2025-07-14 00:40:00,2025-07-14 00:50:00,1018.2107410177139,1018.2107410177139,816.2021625638572,0.0,0.0,0.4271,1
2025-07-14,0,2025-07-14 00:00:00,6,2025-07-14 00:50:00,2025-07-14 01:00:00,988.6637469277342,988.6637469277342,817.7622323862403,0.0,0.0,0.4285,1
2025-07-14,0,2025-07-14 00:00:00,7,2025-07-14 01:00:00,2025-07-14 01:10:00,979.922177339015,979.922177339015,803.5769700719184,0.0,0.0,0.4311,1
2025-07-14,0,2025-07-14 00:00:00,8,2025-07-14 01:10:00,2025-07-14 01:20:00,911.5465320206853,911.5465320206853,767.4450736690112,0.0,0.0,0.4302,1
2025-07-14,0,2025-07-14 00:00:00,9,2025-07-14 01:20:00,2025-07-14 01:30:00,930.6347349604225,930.6347349604225,743.8840576702803,0.0,0.0,0.4279,1
2025-07-14,0,2025-07-14 00:00:00,10,2025-07-14 01:30:00,2025-07-14 01:40:00,912.974594424221,912.974594424221,773.723195211342,0.0,0.0,0.4312,1
2025-07-14,0,2025-07-14 00:00:00,11,2025-07-14 01:40:00,2025-07-14 01:50:00,917.6084026087527,917.6084026087527,782.8917901866719,0.0,0.0,0.4333,1
2025-07-14,0,2025-07-14 00:00:00,12,2025-07-14 01:50:00,2025-07-14 02:00:00,890.9020940789034,890.9020940789034,769.3155829810013,0.0,0.0,0.4311,1
