candidate,reference,month,saving_yuan
q3_soc,q3_no_update,2025-02,8288.72710910792
q3_soc,q3_no_update,2025-03,37307.56854697866
q3_soc,q3_no_update,2025-04,21052.50399154093
q3_soc,q3_no_update,2025-05,15160.521520844042
q3_soc,q3_no_update,2025-06,11002.21922337601
q3_soc,q3_no_update,2025-07,120023.17787777002
q3_soc,q3_no_update,2025-08,8428.044135543234
q3_soc,q3_no_update,2025-09,18394.11281550989
q3_soc,q3_no_update,2025-10,5929.402921317924
q3_soc,q3_no_update,2025-11,-834.069537137606
q3_soc,q3_no_update,2025-12,40821.53266329219
q3_raw,q3_soc,2025-02,26410.797661516615
q3_raw,q3_soc,2025-03,34907.067751221286
q3_raw,q3_soc,2025-04,11725.117547674095
q3_raw,q3_soc,2025-05,431.9930976769301
q3_raw,q3_soc,2025-06,-10450.966967267032
q3_raw,q3_soc,2025-07,9237.149378662089
q3_raw,q3_soc,2025-08,13940.05114411646
q3_raw,q3_soc,2025-09,17775.350031504808
q3_raw,q3_soc,2025-10,30882.75385756613
q3_raw,q3_soc,2025-11,7030.40020343299
q3_raw,q3_soc,2025-12,3389.953026725125
q3_w28,q3_raw,2025-02,0.0
q3_w28,q3_raw,2025-03,0.0
q3_w28,q3_raw,2025-04,-3849.374394428489
q3_w28,q3_raw,2025-05,2334.3400115807235
q3_w28,q3_raw,2025-06,6767.945810895402
q3_w28,q3_raw,2025-07,-4417.648624396803
q3_w28,q3_raw,2025-08,4648.046422578729
q3_w28,q3_raw,2025-09,3016.0347063334702
q3_w28,q3_raw,2025-10,-2368.8971987139776
q3_w28,q3_raw,2025-11,-7114.065829220526
q3_w28,q3_raw,2025-12,-2053.309174063659
q3_raw,old_q3_raw,2025-02,23727.921133422293
q3_raw,old_q3_raw,2025-03,23049.413554519302
q3_raw,old_q3_raw,2025-04,34185.36495069971
q3_raw,old_q3_raw,2025-05,22676.975084374368
q3_raw,old_q3_raw,2025-06,1670.597405005341
q3_raw,old_q3_raw,2025-07,-1871.3530299487975
q3_raw,old_q3_raw,2025-08,97.27178817073946
q3_raw,old_q3_raw,2025-09,69327.8513954507
q3_raw,old_q3_raw,2025-10,43472.0703554795
q3_raw,old_q3_raw,2025-11,-623.8411405129191
q3_raw,old_q3_raw,2025-12,-4665.663687559743
q3_w28,old_q3_w28,2025-02,23727.921133422293
q3_w28,old_q3_w28,2025-03,23049.413554519302
q3_w28,old_q3_w28,2025-04,20811.13138148623
q3_w28,old_q3_w28,2025-05,11981.456802283728
q3_w28,old_q3_w28,2025-06,7807.2153980610565
q3_w28,old_q3_w28,2025-07,-4879.277100739266
q3_w28,old_q3_w28,2025-08,-5280.50780514488
q3_w28,old_q3_w28,2025-09,70222.43704669483
q3_w28,old_q3_w28,2025-10,33841.704943117074
q3_w28,old_q3_w28,2025-11,-13202.2645433943
q3_w28,old_q3_w28,2025-12,-6216.037525826574
q42_ols,q42_fixed,2025-02,-715.6859969285815
q42_ols,q42_fixed,2025-03,2946.944958186159
q42_ols,q42_fixed,2025-04,893.318337368095
q42_ols,q42_fixed,2025-05,-571.8586943228474
q42_ols,q42_fixed,2025-06,295.3899055821348
q42_ols,q42_fixed,2025-07,-17951.376283750178
q42_ols,q42_fixed,2025-08,2462.28884614406
q42_ols,q42_fixed,2025-09,3921.036660282105
q42_ols,q42_fixed,2025-10,-6036.029075851133
q42_ols,q42_fixed,2025-11,7869.395483430006
q42_ols,q42_fixed,2025-12,-71.25524815539393
q42_ols,old_q42_ols,2025-02,92428.34488077238
q42_ols,old_q42_ols,2025-03,148729.26357167025
q42_ols,old_q42_ols,2025-04,153704.16472818766
q42_ols,old_q42_ols,2025-05,160569.22677200314
q42_ols,old_q42_ols,2025-06,172344.5603695665
q42_ols,old_q42_ols,2025-07,163548.001959214
q42_ols,old_q42_ols,2025-08,259220.2306111484
q42_ols,old_q42_ols,2025-09,427330.32568533794
q42_ols,old_q42_ols,2025-10,313838.56866747333
q42_ols,old_q42_ols,2025-11,264242.28116553207
q42_ols,old_q42_ols,2025-12,189429.43616525808
q43_w28_ols,q43_raw_ols,2025-02,0.0
q43_w28_ols,q43_raw_ols,2025-03,0.0
q43_w28_ols,q43_raw_ols,2025-04,-3287.3014468729216
q43_w28_ols,q43_raw_ols,2025-05,3098.7682065059616
q43_w28_ols,q43_raw_ols,2025-06,4775.01353094606
q43_w28_ols,q43_raw_ols,2025-07,-1599.9733513631181
q43_w28_ols,q43_raw_ols,2025-08,4379.967849628774
q43_w28_ols,q43_raw_ols,2025-09,705.5293199679963
q43_w28_ols,q43_raw_ols,2025-10,-1392.2589626255376
q43_w28_ols,q43_raw_ols,2025-11,-5880.860805687298
q43_w28_ols,q43_raw_ols,2025-12,-4088.1470547935496
q43_w28_fixed,q43_raw_fixed,2025-02,0.0
q43_w28_fixed,q43_raw_fixed,2025-03,0.0
q43_w28_fixed,q43_raw_fixed,2025-04,-3123.935150222658
q43_w28_fixed,q43_raw_fixed,2025-05,2284.656937124646
q43_w28_fixed,q43_raw_fixed,2025-06,6288.63925275749
q43_w28_fixed,q43_raw_fixed,2025-07,-4604.480039474303
q43_w28_fixed,q43_raw_fixed,2025-08,4789.559507429287
q43_w28_fixed,q43_raw_fixed,2025-09,2846.8941086717496
q43_w28_fixed,q43_raw_fixed,2025-10,-1920.751787483503
q43_w28_fixed,q43_raw_fixed,2025-11,-7425.276965699362
q43_w28_fixed,q43_raw_fixed,2025-12,-2974.7375385907544
q43_raw_ols,q43_raw_fixed,2025-02,513.7865786006969
q43_raw_ols,q43_raw_fixed,2025-03,6060.318859071966
q43_raw_ols,q43_raw_fixed,2025-04,428.4824161966353
