candidate,reference,purpose,total_saving_yuan,contract_saving_yuan,emergency_saving_yuan,winning_days,losing_days,tied_days,losing_months,winning_months,inventory_adjusted_saving_yuan,block7_lower_yuan,block7_upper_yuan,block7_crosses_zero,block14_lower_yuan,block14_upper_yuan,block14_crosses_zero
q3_soc,q3_no_update,SOC feedback,285573.74126814323,-77300.29761177032,362874.0388799136,232,98,4,2025-11,10,285429.68491289765,141272.71047568216,486662.6795516698,False,132455.21110351765,497050.5419570654,False
q3_raw,q3_soc,new PV incremental,145279.6667328295,167734.1245546568,-22454.4578218273,225,109,0,2025-06,10,145286.77619245648,89339.7202101485,198381.97012008185,False,73592.37751848303,213867.0983764083,False
q3_w28,q3_raw,PV correction,-3036.9282694351296,-24524.489114851174,21487.56084541607,113,162,59,"2025-04,2025-07,2025-10,2025-11,2025-12",4,-3098.606124807149,-25503.200884798887,22525.43488188007,True,-28465.813316997406,23630.336361023594,True
q3_raw,old_q3_raw,direct family raw migration,211046.60780910053,-208706.84912062608,419753.4569297265,193,141,0,"2025-07,2025-11,2025-12",8,207783.94235901907,75720.71884465104,352017.4370193203,False,49330.18965942981,357212.5971456101,False
q3_w28,old_q3_w28,direct family corrected migration,161863.1932844795,-219956.252575281,381819.4458597605,194,140,0,"2025-07,2025-08,2025-11,2025-12",7,158578.98516852036,29497.358936418277,294365.2586967786,False,10789.76673142678,299396.08135908307,False
q42_ols,q42_fixed,Q42 planning price,-6957.8311080155745,-10099.22479362492,3141.393685609342,167,167,0,"2025-02,2025-05,2025-07,2025-10,2025-12",6,-6869.4442492462695,-34726.2871934107,20236.561208639112,True,-39888.45438824887,23827.985948189773,True
q42_ols,old_q42_ols,Q42 migration,2345384.4045761637,-1134434.7191612895,3479819.123737453,258,76,0,,11,2345529.9512951,1779618.7664788417,2966283.9445540076,False,1726547.0992090588,3038424.2730043265,False
q43_w28_ols,q43_raw_ols,Q43 PV correction OLS,-3289.2627142936326,-23393.475147981397,20104.212433687753,117,158,59,"2025-04,2025-07,2025-10,2025-11,2025-12",4,-3306.6920553073287,-27994.522835414165,22513.881163968916,True,-27323.512343417908,22689.81599982056,True
q43_w28_fixed,q43_raw_fixed,Q43 PV correction fixed,-3839.431675487409,-24500.081295350552,20660.64961986315,116,159,59,"2025-04,2025-07,2025-10,2025-11,2025-12",4,-3901.109530860558,-27014.786357906614,20073.683008372544,True,-29487.809026836727,21434.661071029645,True
q43_raw_ols,q43_raw_fixed,Q43 planning price raw,13191.161785979684,12870.380056733822,320.78172924589535,189,145,0,"2025-05,2025-07,2025-09,2025-10",7,13153.487573346123,-385.95297548118344,26897.336171416362,True,-1444.798397383528,27751.515572222474,True
q43_w28_ols,q43_w28_fixed,Q43 planning price corrected,13741.33074717346,13976.98620410298,-235.65545692950218,186,148,0,"2025-05,2025-08,2025-09,2025-10",7,13747.905048899353,-4187.407633766289,31193.873521844715,True,-5637.049783090623,32277.897035215585,True
q3_raw,old_q3_w28,selected versus previous deployed,164900.12155391462,-195431.76346042985,360331.88501434436,191,143,0,"2025-07,2025-08,2025-11,2025-12",7,161677.5912933275,42367.62819084993,288673.69626576034,False,29297.321727952014,298276.5360861825,False
q42_fixed,old_q42_ols,selected versus previous deployed,2352342.2356841797,-1124335.4943676644,3476677.730051844,259,75,0,,11,2352399.3955443464,1782542.857794517,2988754.813619577,False,1714962.4138715807,3025670.5684670354,False
q43_raw_ols,old_q43_w28_ols,selected versus previous deployed,170421.1758891414,-181110.03983052654,351531.21571966796,190,144,0,"2025-08,2025-12",9,166685.3291252572,61481.734421754496,297756.8461484894,False,39504.51294518465,307420.45686969557,False
