date,grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh
2025-02-01,38006.829012397815,38006.829012397815,0.0,16855.67770238157,0.0,0.0,16855.67770238157,0.0,16855.67770238157,13277.04105992804,15059.807714951558,5411.419734087997,1640.0852340879972,3771.3345000000004,7268.4231640740745,2484.6404347298044
2025-02-02,89664.37084756243,89664.37084756243,0.0,63216.85416188728,0.0,0.0,63216.85416188728,0.0,63216.85416188728,21367.89872189069,17039.615273044063,6979.809448715805,6920.635382049139,59.17406666666659,2484.6404347298044,2782.8434254935814
2025-02-03,87970.16495444634,87970.16495444634,0.0,63163.855935831896,0.0,0.0,63163.855935831896,0.0,63163.855935831896,21329.189219060412,17640.283740327613,4064.3429757135423,4064.3429757135423,0.0,2782.8434254935814,2378.798455617273
2025-02-04,89281.56076937633,89281.56076937633,0.0,64067.94997373554,0.0,0.0,64067.94997373554,0.0,64067.94997373554,22896.7871507792,18403.61068552071,3593.5203541178353,3593.168570784502,0.35178333333340106,2378.798455617273,2537.4505740733284
2025-02-05,87605.24696774769,87605.24696774769,0.0,63114.68570448727,0.0,0.0,63114.68570448727,0.0,63114.68570448727,22019.130229611423,18105.558617492006,2943.248372294946,2941.195872294946,2.0524999999999807,2537.4505740733284,2237.380427954716
2025-02-06,88854.4340397271,88854.4340397271,0.0,64092.20021852979,0.0,0.0,64092.20021852979,0.0,64092.20021852979,21341.48604586071,17038.26236407812,4280.153141277845,4278.752324611178,1.4008166666668558,2237.380427954716,2513.315242475886
2025-02-07,41925.63465910853,41925.63465910853,0.0,17824.44011583986,0.0,0.0,17824.44011583986,0.0,17824.44011583986,18385.067276583075,15545.555299250558,7280.443015109353,2245.6433540876405,5034.7996610217115,2513.315242475886,1787.0365700111436
2025-02-08,37818.70261837905,37818.70261837905,0.0,16059.336030052606,0.0,0.0,16059.336030052606,0.0,16059.336030052606,18666.03059409241,15160.548581082307,2736.05788870228,161.97617887205868,2574.0817098302214,1787.0365700111436,1741.4101257139685
2025-02-09,83647.79472187167,83647.79472187167,372.19377604146746,58475.91072816278,0.0,0.0,58475.91072816278,2233.575493382342,60709.48622154512,23272.731092086837,19192.583753847844,384.4251930074871,384.4251930074871,0.0,1741.4101257139685,1361.77504876118
2025-02-10,85546.2276400355,85546.2276400355,0.0,58847.45942637964,0.0,0.0,58847.45942637964,0.0,58847.45942637964,20595.39511287666,16441.094430042154,7065.289373867672,6565.626340534339,499.6630333333335,1361.77504876118,1629.7479503033367
2025-02-11,83393.75788306931,83393.75788306931,0.0,57556.809054448444,0.0,0.0,57556.809054448444,0.0,57556.809054448444,22199.05592216473,18065.113282432656,4039.218110003895,3795.760410003895,243.45770000000041,1629.7479503033367,1536.550188659753
2025-02-12,83113.84199990836,83113.84199990836,0.0,56954.16418657381,0.0,0.0,56954.16418657381,0.0,56954.16418657381,22104.400335747352,17941.800890721723,3684.506421549398,3470.9441165536928,213.5623049957053,1536.550188659753,1495.1761678082282
2025-02-13,82673.16643246479,82673.16643246479,0.0,56067.1747314036,0.0,0.0,56067.1747314036,0.0,56067.1747314036,20143.55744034571,16129.910673821023,7330.040649273428,6909.787394294608,420.2532549788208,1495.1761678082282,1702.2548932071202
2025-02-14,35106.346985333716,35106.346985333716,63.32976625454044,14973.304062337576,0.0,0.0,14973.304062337576,289.3205129009224,15262.6245752385,18201.229016784127,15181.373634781838,2348.0195529192983,207.38590291930012,2140.6336499999984,1702.2548932071202,1215.1680807774578
2025-02-15,35257.72266544578,35257.72266544578,338.78034744812055,15213.811497226747,0.0,0.0,15213.811497226747,1096.86664057014,16310.678137796887,18488.404136105135,14989.258622944875,2817.266399733639,0.13894648582471625,2817.127453247814,1215.1680807774578,1200.0
2025-02-16,80602.67169545237,80602.67169545237,0.0,54638.74034585894,0.0,0.0,54638.74034585894,0.0,54638.74034585894,23831.498918214205,18946.966864738377,340.76054197654946,340.76054197654946,0.0,1200.0,1596.1636211279204
2025-02-17,79359.34525349933,79359.34525349933,0.0,53667.79632442155,0.0,0.0,53667.79632442155,0.0,53667.79632442155,20473.941613879393,16614.370338541852,4315.910811495114,3521.429611495114,794.4812000000005,1596.1636211279204,1562.2995863506467
2025-02-18,78898.7223454807,78898.7223454807,5.39264975037986,52731.34674674548,0.0,0.0,52731.34674674548,27.00369362502715,52758.35044037051,21437.76409990516,17209.07945090682,2584.042562899399,2488.2062521998114,95.83631069958757,1562.2995863506467,1735.0878863688267
2025-02-19,78226.96227080513,78226.96227080513,0.0,52153.09144022389,0.0,0.0,52153.09144022389,0.0,52153.09144022389,22707.03417703096,18793.837173499145,1434.4378839399874,1434.4378839399874,0.0,1735.0878863688267,1289.377341808757
2025-02-20,78284.06666012893,78284.06666012893,6.213821721953877,52820.5666866497,0.0,0.0,52820.5666866497,34.86264677102223,52855.429333420725,21981.25560350987,17604.55855236947,2920.4496973771475,2528.635214043814,391.81448333333356,1289.377341808757,1511.8867712237789
