date,issue_hour,issue_time,slot_id,interval_start,interval_end,grid_original_kwh,grid_kwh,load_forecast_kwh,pv_forecast_kwh,pv_raw_forecast_kwh,price_forecast_yuan_per_kwh,selected_index
2025-02-01,0,2025-02-01 00:00:00,1,2025-02-01 00:00:00,2025-02-01 00:10:00,702.8318183480582,702.8318183480582,446.62184779000137,0.0,0.0,0.3397085923058723,4
2025-02-01,0,2025-02-01 00:00:00,2,2025-02-01 00:10:00,2025-02-01 00:20:00,505.0206942222422,505.0206942222422,441.33740164805374,0.0,0.0,0.3565991922513303,4
2025-02-01,0,2025-02-01 00:00:00,3,2025-02-01 00:20:00,2025-02-01 00:30:00,1071.207465616735,1071.207465616735,439.3940358801821,0.0,0.0,0.3178313965956786,4
2025-02-01,0,2025-02-01 00:00:00,4,2025-02-01 00:30:00,2025-02-01 00:40:00,1114.5396508818367,1114.5396508818367,467.9889913571435,0.0,0.0,0.31695486451740185,4
2025-02-01,0,2025-02-01 00:00:00,5,2025-02-01 00:40:00,2025-02-01 00:50:00,724.8394099640578,724.8394099640578,473.85663408715675,0.0,0.0,0.34065855792802924,4
2025-02-01,0,2025-02-01 00:00:00,6,2025-02-01 00:50:00,2025-02-01 01:00:00,556.6181278486551,556.6181278486551,460.54400507294906,0.0,0.0,0.3584844767163285,4
2025-02-01,0,2025-02-01 00:00:00,7,2025-02-01 01:00:00,2025-02-01 01:10:00,567.6015105693843,567.6015105693843,480.5570409484658,0.0,0.0,0.35751427322798024,4
2025-02-01,0,2025-02-01 00:00:00,8,2025-02-01 01:10:00,2025-02-01 01:20:00,580.263070678307,580.263070678307,476.8780047104005,0.0,0.0,0.349688093099145,4
2025-02-01,0,2025-02-01 00:00:00,9,2025-02-01 01:20:00,2025-02-01 01:30:00,543.539763872064,543.539763872064,456.92792090405095,0.0,0.0,0.35645837136923,4
2025-02-01,0,2025-02-01 00:00:00,10,2025-02-01 01:30:00,2025-02-01 01:40:00,463.0816268137233,463.0816268137233,486.37817986200923,0.0,0.0,0.3832502003885034,4
2025-02-01,0,2025-02-01 00:00:00,11,2025-02-01 01:40:00,2025-02-01 01:50:00,524.0644155787608,524.0644155787608,497.2715434162344,0.0,0.0,0.36354776172768266,4
2025-02-01,0,2025-02-01 00:00:00,12,2025-02-01 01:50:00,2025-02-01 02:00:00,1222.6894300398276,1222.6894300398276,479.3258722264782,0.0,0.0,0.3119733278176933,4
2025-02-01,0,2025-02-01 00:00:00,13,2025-02-01 02:00:00,2025-02-01 02:10:00,1142.8350131226002,1142.8350131226002,491.73279970503086,0.0,0.0,0.316233780894919,4
2025-02-01,0,2025-02-01 00:00:00,14,2025-02-01 02:10:00,2025-02-01 02:20:00,581.7353787062892,581.7353787062892,504.6851195553068,0.0,0.0,0.3592147452289181,4
2025-02-01,0,2025-02-01 00:00:00,15,2025-02-01 02:20:00,2025-02-01 02:30:00,534.9614854127809,534.9614854127809,499.43117337786794,0.0,0.0,0.3894666344202993,4
2025-02-01,0,2025-02-01 00:00:00,16,2025-02-01 02:30:00,2025-02-01 02:40:00,502.073817127214,502.073817127214,491.44378426330286,0.0,0.0,0.37481843756277716,4
2025-02-01,0,2025-02-01 00:00:00,17,2025-02-01 02:40:00,2025-02-01 02:50:00,555.0449971682897,555.0449971682897,495.12806839393573,0.0,0.0,0.38414149700735306,4
2025-02-01,0,2025-02-01 00:00:00,18,2025-02-01 02:50:00,2025-02-01 03:00:00,425.96588368661264,425.96588368661264,508.40612383770815,0.0,0.0,0.41938014581959543,4
2025-02-01,0,2025-02-01 00:00:00,19,2025-02-01 03:00:00,2025-02-01 03:10:00,524.9015378419176,524.9015378419176,516.1661777369932,0.0,0.0,0.4152589778084269,4
2025-02-01,0,2025-02-01 00:00:00,20,2025-02-01 03:10:00,2025-02-01 03:20:00,508.67106509571227,508.67106509571227,514.6678857186517,0.0,0.0,0.4049626375584027,4
2025-02-01,0,2025-02-01 00:00:00,21,2025-02-01 03:20:00,2025-02-01 03:30:00,475.1382452580673,475.1382452580673,506.6315144561578,0.0,0.0,0.410225885145843,4
2025-02-01,0,2025-02-01 00:00:00,22,2025-02-01 03:30:00,2025-02-01 03:40:00,420.6362658063946,420.6362658063946,499.91753426103463,0.0,0.0,0.41572142653340255,4
2025-02-01,0,2025-02-01 00:00:00,23,2025-02-01 03:40:00,2025-02-01 03:50:00,499.2214185081876,499.2214185081876,508.1103918160785,0.0,0.0,0.4067998505037975,4
2025-02-01,0,2025-02-01 00:00:00,24,2025-02-01 03:50:00,2025-02-01 04:00:00,487.72419766238784,487.72419766238784,522.0263828279076,0.0,0.0,0.39465022403078,4
2025-02-01,0,2025-02-01 00:00:00,25,2025-02-01 04:00:00,2025-02-01 04:10:00,497.8411818193889,497.8411818193889,519.2095965273193,0.0,0.0,0.40206396668958266,4
2025-02-01,0,2025-02-01 00:00:00,26,2025-02-01 04:10:00,2025-02-01 04:20:00,518.3674961360052,518.3674961360052,519.7225439469096,0.0,0.0,0.3973152243959432,4
2025-02-01,0,2025-02-01 00:00:00,27,2025-02-01 04:20:00,2025-02-01 04:30:00,570.6197027603968,570.6197027603968,530.8990721753073,0.0,0.0,0.3779833305214571,4
2025-02-01,0,2025-02-01 00:00:00,28,2025-02-01 04:30:00,2025-02-01 04:40:00,559.3661775080544,559.3661775080544,539.8937964848142,0.0,0.0,0.37944994584811675,4
2025-02-01,0,2025-02-01 00:00:00,29,2025-02-01 04:40:00,2025-02-01 04:50:00,552.2975937064725,552.2975937064725,547.2005995210218,0.0,0.0,0.41261239830781776,4
2025-02-01,0,2025-02-01 00:00:00,30,2025-02-01 04:50:00,2025-02-01 05:00:00,489.1232192840806,489.1232192840806,546.9281626425844,0.0,0.0,0.43919850463983656,4
2025-02-01,0,2025-02-01 00:00:00,31,2025-02-01 05:00:00,2025-02-01 05:10:00,530.3736375086212,530.3736375086212,532.8054193207905,0.0,0.0,0.41149794890057095,4
2025-02-01,0,2025-02-01 00:00:00,32,2025-02-01 05:10:00,2025-02-01 05:20:00,538.8253149549394,538.8253149549394,535.4194009237763,0.0,0.0,0.4105671673611343,4
2025-02-01,0,2025-02-01 00:00:00,33,2025-02-01 05:20:00,2025-02-01 05:30:00,540.1275300994579,540.1275300994579,559.6147337977992,0.0,0.0,0.427986250877256,4
2025-02-01,0,2025-02-01 00:00:00,34,2025-02-01 05:30:00,2025-02-01 05:40:00,584.7437984025869,584.7437984025869,576.1897434735372,0.0,0.0,0.40645676570426703,4
2025-02-01,0,2025-02-01 00:00:00,35,2025-02-01 05:40:00,2025-02-01 05:50:00,178.13185977662033,178.13185977662033,562.0017881032121,0.0,0.0,0.5650622778120156,4
2025-02-01,0,2025-02-01 00:00:00,36,2025-02-01 05:50:00,2025-02-01 06:00:00,0.0,0.0,540.793132680027,0.0,0.0,0.8355765241238455,4
