date,grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh
2025-02-01,39551.37240779922,39551.37240779922,0.0,21918.659742162916,0.0,0.0,21918.659742162916,0.0,21918.659742162916,13203.823809336056,14917.908925742784,6887.28159087262,3235.5271135398766,3651.754477332743,7268.4231640740745,2576.4102305400984
2025-02-02,90374.53302880672,89549.71002295852,0.0,57673.01787178083,9.962197959233094e-05,-221.42628872608302,57451.59168267673,0.0,57451.59168267673,21488.632953253145,17203.943717107177,6908.7428368125475,6849.56877014588,59.17406666666682,2576.4102305400984,2800.6868694599575
2025-02-03,92042.87768418867,91213.67109475416,0.0,59098.31847185715,0.004708784027460791,-218.65163973413402,58879.671540907046,0.0,58879.671540907046,20578.15936072031,16981.79149720821,7400.386731242057,7400.386731242057,0.0,2800.6868694599575,2452.3730749880024
2025-02-04,95540.80099702919,94917.81638939441,0.0,61830.18755076558,0.09950034423002124,-159.45763189606143,61670.82941921375,0.0,61670.82941921375,21524.39348305212,17338.31729086393,9536.876247206224,9536.524463872893,0.3517833333332874,2452.3730749880024,2559.530219886097
2025-02-05,89022.71365357022,89022.71365357022,0.0,57015.1997598773,0.0,0.0,57015.1997598773,0.0,57015.1997598773,22031.194620816816,18180.30118124992,4423.393230669995,4423.393230669995,0.0,2559.530219886097,2187.27073278799
2025-02-06,95705.04426991697,94936.52472499937,0.0,61870.80366467507,0.0005454635115198016,-176.7714480911881,61694.0327620474,0.0,61694.0327620474,21089.768328343576,16749.743810752887,10325.442990742009,10324.042174075343,1.4008166666668558,2187.27073278799,2557.2357719051133
2025-02-07,45086.74230864691,43179.51335086655,0.0,24176.631430237452,0.351203789353331,-433.9461831340655,23743.036450892738,0.0,23743.036450892738,17582.833127591737,15042.659947153796,8833.660503761947,3156.0473196349617,5677.6131841269835,2557.2357719051133,1667.7189787890143
2025-02-08,35686.531520674864,36130.12126333737,103.02987259781139,18492.244366183695,761.9340678558168,0.0,19254.178434039513,629.821611190421,19884.000045229932,18790.024935180798,15399.408831198976,1265.372315286696,8.74608400227578,1256.62623128442,1667.7189787890143,1468.2871635639804
2025-02-09,88103.72469099799,86824.45176437346,0.0,55678.85652633616,0.00040250355895812503,-335.9134111516472,55342.94351768807,0.0,55342.94351768807,22385.044670959618,18037.538720031953,2921.5298467791204,2921.5298467791204,0.0,1468.2871635639804,1573.1176785032442
2025-02-10,84913.61995136642,83404.3023094028,0.0,53663.453517358495,0.2100934607485983,-360.352301615052,53303.31130920419,0.0,53303.31130920419,21208.447966069398,17120.15698491841,4989.373744918485,4796.169078251818,193.2046666666667,1573.1176785032442,1638.3241980563607
