date,issue_hour,issue_time,slot_id,interval_start,interval_end,grid_original_kwh,grid_kwh,load_forecast_kwh,pv_forecast_kwh,pv_raw_forecast_kwh,price_forecast_yuan_per_kwh,selected_index
2025-02-01,0,2025-02-01 00:00:00,1,2025-02-01 00:00:00,2025-02-01 00:10:00,609.3526934799213,609.3526934799213,446.62184779000137,0.0,0.0,0.4248,4
2025-02-01,0,2025-02-01 00:00:00,2,2025-02-01 00:10:00,2025-02-01 00:20:00,602.6745801750061,602.6745801750061,441.33740164805374,0.0,0.0,0.4245,4
2025-02-01,0,2025-02-01 00:00:00,3,2025-02-01 00:20:00,2025-02-01 00:30:00,593.6604917386378,593.6604917386378,439.3940358801821,0.0,0.0,0.4269,4
2025-02-01,0,2025-02-01 00:00:00,4,2025-02-01 00:30:00,2025-02-01 00:40:00,653.4820417019761,653.4820417019761,467.9889913571435,0.0,0.0,0.4272,4
2025-02-01,0,2025-02-01 00:00:00,5,2025-02-01 00:40:00,2025-02-01 00:50:00,668.7250215842906,668.7250215842906,473.85663408715675,0.0,0.0,0.4271,4
2025-02-01,0,2025-02-01 00:00:00,6,2025-02-01 00:50:00,2025-02-01 01:00:00,614.9049491795648,614.9049491795648,460.54400507294906,0.0,0.0,0.4285,4
2025-02-01,0,2025-02-01 00:00:00,7,2025-02-01 01:00:00,2025-02-01 01:10:00,614.1021761147621,614.1021761147621,480.5570409484658,0.0,0.0,0.4311,4
2025-02-01,0,2025-02-01 00:00:00,8,2025-02-01 01:10:00,2025-02-01 01:20:00,608.9829653021014,608.9829653021014,476.8780047104005,0.0,0.0,0.4302,4
2025-02-01,0,2025-02-01 00:00:00,9,2025-02-01 01:20:00,2025-02-01 01:30:00,633.2293466111963,633.2293466111963,456.92792090405095,0.0,0.0,0.4279,4
2025-02-01,0,2025-02-01 00:00:00,10,2025-02-01 01:30:00,2025-02-01 01:40:00,605.942180305694,605.942180305694,486.37817986200923,0.0,0.0,0.4312,4
2025-02-01,0,2025-02-01 00:00:00,11,2025-02-01 01:40:00,2025-02-01 01:50:00,589.9460668040638,589.9460668040638,497.2715434162344,0.0,0.0,0.4333,4
2025-02-01,0,2025-02-01 00:00:00,12,2025-02-01 01:50:00,2025-02-01 02:00:00,612.6758225020347,612.6758225020347,479.3258722264782,0.0,0.0,0.4311,4
2025-02-01,0,2025-02-01 00:00:00,13,2025-02-01 02:00:00,2025-02-01 02:10:00,655.3514437150507,655.3514437150507,491.73279970503086,0.0,0.0,0.4293,4
2025-02-01,0,2025-02-01 00:00:00,14,2025-02-01 02:10:00,2025-02-01 02:20:00,620.1793789398812,620.1793789398812,504.6851195553068,0.0,0.0,0.4324,4
2025-02-01,0,2025-02-01 00:00:00,15,2025-02-01 02:20:00,2025-02-01 02:30:00,542.647560569125,542.647560569125,499.43117337786794,0.0,0.0,0.4367,4
