charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,date,slot_id,interval_start,interval_end,active_issue_hour,load_actual_kwh,pv_actual_kwh,load_forecast_kwh,pv_forecast_kwh,grid_original_kwh,grid_effective_kwh,price_yuan_per_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan
280.8014516813915,0.0,0.0,0.0,0.0,0.0,7268.4231640740745,7521.144470587327,2025-02-01,1,2025-02-01 00:00:00,2025-02-01 00:10:00,0,422.0303666666667,0.0,446.62184779000137,0.0,702.8318183480582,702.8318183480582,0.3281,230.5991195999979,0.0,-0.0,230.5991195999979,0.0,230.5991195999979
89.61337755557548,0.0,0.0,0.0,0.0,0.0,7521.144470587327,7601.796510387345,2025-02-01,2,2025-02-01 00:10:00,2025-02-01 00:20:00,0,415.4073166666667,0.0,441.33740164805374,0.0,505.0206942222422,505.0206942222422,0.3257,164.48524010818429,0.0,-0.0,164.48524010818429,0.0,164.48524010818429
660.4907989500682,0.0,0.0,0.0,0.0,0.0,7601.796510387345,8196.238229442406,2025-02-01,3,2025-02-01 00:20:00,2025-02-01 00:30:00,0,410.7166666666667,0.0,439.3940358801821,0.0,1071.207465616735,1071.207465616735,0.3041,325.75419029404907,0.0,-0.0,325.75419029404907,0.0,325.75419029404907
684.2448508818368,0.0,0.0,0.0,0.0,0.0,8196.238229442406,8812.05859523606,2025-02-01,4,2025-02-01 00:30:00,2025-02-01 00:40:00,0,430.29479999999995,0.0,467.9889913571435,0.0,1114.5396508818367,1114.5396508818367,0.3126,348.40509486566214,0.0,-0.0,348.40509486566214,0.0,348.40509486566214
300.42882663072453,0.0,0.0,0.0,0.0,0.0,8812.05859523606,9082.444539203712,2025-02-01,5,2025-02-01 00:40:00,2025-02-01 00:50:00,0,424.4105833333333,0.0,473.85663408715675,0.0,724.8394099640578,724.8394099640578,0.3286,238.1822301141894,0.0,-0.0,238.1822301141894,0.0,238.1822301141894
150.56646118198847,0.0,0.0,0.0,0.0,0.0,9082.444539203712,9217.954354267502,2025-02-01,6,2025-02-01 00:50:00,2025-02-01 01:00:00,0,406.0516666666667,0.0,460.54400507294906,0.0,556.6181278486551,556.6181278486551,0.3438,191.36531235436763,0.0,-0.0,191.36531235436763,0.0,191.36531235436763
130.85132723605102,0.0,0.0,0.0,0.0,0.0,9217.954354267502,9335.720548779947,2025-02-01,7,2025-02-01 01:00:00,2025-02-01 01:10:00,0,436.7501833333333,0.0,480.5570409484658,0.0,567.6015105693843,567.6015105693843,0.3704,210.23959951489996,0.0,-0.0,210.23959951489996,0.0,210.23959951489996
128.46538734497375,0.0,0.0,0.0,0.0,0.0,9335.720548779947,9451.339397390424,2025-02-01,8,2025-02-01 01:10:00,2025-02-01 01:20:00,0,451.7976833333333,0.0,476.8780047104005,0.0,580.263070678307,580.263070678307,0.3746,217.3665462760938,0.0,-0.0,217.3665462760938,0.0,217.3665462760938
97.459763872064,0.0,0.0,0.0,0.0,0.0,9451.339397390424,9539.053184875282,2025-02-01,9,2025-02-01 01:20:00,2025-02-01 01:30:00,0,446.08,0.0,456.92792090405095,0.0,543.539763872064,543.539763872064,0.3606,196.00043885226626,0.0,-0.0,196.00043885226626,0.0,196.00043885226626
0.0,8.684706519610017,0.0,0.0,0.0,0.0,9539.053184875282,9529.403510964605,2025-02-01,10,2025-02-01 01:30:00,2025-02-01 01:40:00,0,471.7663333333333,0.0,486.37817986200923,0.0,463.0816268137233,463.0816268137233,0.3582,165.8758387246757,0.0,-0.0,165.8758387246757,0.0,165.8758387246757
